county,office,district,candidate,party,votes,precinct
,State House,29,Benjamin Carpenter,REP,68,29-140
,State House,29,Write-ins,,0,29-140
,U.S. House,29,Alyse Galvin,DEM,210,29-150
,U.S. House,29,Don Young,REP,627,29-150
,U.S. House,29,Write-ins,,7,29-150
,Governor,29,Mark Begich,DEM,151,29-150
,Governor,29,Mike Dunleavy,REP,653,29-150
,Governor,29,Billy Toien,LIB,26,29-150
,Governor,29,Bill Walker,,9,29-150
,Governor,29,Write-ins,,6,29-150
,State Senate,29,Peter Micciche,REP,520,29-150
,State Senate,29,Write-ins,,264,29-150
,State House,29,Shawn Butler,DEM,174,29-150
,State House,29,Benjamin Carpenter,REP,649,29-150
,State House,29,Write-ins,,5,29-150
,U.S. House,29,Alyse Galvin,DEM,204,29-160
,U.S. House,29,Don Young,REP,696,29-160
,U.S. House,29,Write-ins,,9,29-160
,Governor,29,Mark Begich,DEM,168,29-160
,Governor,29,Mike Dunleavy,REP,704,29-160
,Governor,29,Billy Toien,LIB,27,29-160
,Governor,29,Bill Walker,,5,29-160
,Governor,29,Write-ins,,5,29-160
,State Senate,29,Peter Micciche,REP,550,29-160
,State Senate,29,Write-ins,,296,29-160
,State House,29,Shawn Butler,DEM,183,29-160
,State House,29,Benjamin Carpenter,REP,701,29-160
,State House,29,Write-ins,,6,29-160
,U.S. House,29,Alyse Galvin,DEM,329,29-170
,U.S. House,29,Don Young,REP,240,29-170
,U.S. House,29,Write-ins,,2,29-170
,Governor,29,Mark Begich,DEM,310,29-170
,Governor,29,Mike Dunleavy,REP,234,29-170
,Governor,29,Billy Toien,LIB,20,29-170
,Governor,29,Bill Walker,,12,29-170
,Governor,29,Write-ins,,1,29-170
,State Senate,29,Peter Micciche,REP,382,29-170
,State Senate,29,Write-ins,,55,29-170
,State House,29,Shawn Butler,DEM,302,29-170
,State House,29,Benjamin Carpenter,REP,254,29-170
,State House,29,Write-ins,,0,29-170
,U.S. House,29,Alyse Galvin,DEM,122,29-180
,U.S. House,29,Don Young,REP,506,29-180
,U.S. House,29,Write-ins,,3,29-180
,Governor,29,Mark Begich,DEM,99,29-180
,Governor,29,Mike Dunleavy,REP,522,29-180
,Governor,29,Billy Toien,LIB,16,29-180
,Governor,29,Bill Walker,,5,29-180
,Governor,29,Write-ins,,2,29-180
,State Senate,29,Peter Micciche,REP,351,29-180
,State Senate,29,Write-ins,,247,29-180
,State House,29,Shawn Butler,DEM,112,29-180
,State House,29,Benjamin Carpenter,REP,505,29-180
,State House,29,Write-ins,,0,29-180
,U.S. House,29,Alyse Galvin,DEM,189,29-190
,U.S. House,29,Don Young,REP,549,29-190
,U.S. House,29,Write-ins,,3,29-190
,Governor,29,Mark Begich,DEM,156,29-190
,Governor,29,Mike Dunleavy,REP,574,29-190
,Governor,29,Billy Toien,LIB,16,29-190
,Governor,29,Bill Walker,,5,29-190
,Governor,29,Write-ins,,2,29-190
,State Senate,29,Peter Micciche,REP,407,29-190
,State Senate,29,Write-ins,,282,29-190
,State House,29,Shawn Butler,DEM,160,29-190
,State House,29,Benjamin Carpenter,REP,555,29-190
,State House,29,Write-ins,,3,29-190
,U.S. House,29,Alyse Galvin,DEM,681,Absentee
,U.S. House,29,Don Young,REP,1143,Absentee
,U.S. House,29,Write-ins,,11,Absentee
,Governor,29,Mark Begich,DEM,623,Absentee
,Governor,29,Mike Dunleavy,REP,1123,Absentee
,Governor,29,Billy Toien,LIB,21,Absentee
,Governor,29,Bill Walker,,75,Absentee
,Governor,29,Write-ins,,4,Absentee
,State Senate,29,Peter Micciche,REP,1122,Absentee
,State Senate,29,Write-ins,,388,Absentee
,State House,29,Shawn Butler,DEM,601,Absentee
,State House,29,Benjamin Carpenter,REP,1119,Absentee
,State House,29,Write-ins,,9,Absentee
,U.S. House,29,Alyse Galvin,DEM,57,Question
,U.S. House,29,Don Young,REP,142,Question
,U.S. House,29,Write-ins,,0,Question
,Governor,29,Mark Begich,DEM,56,Question
,Governor,29,Mike Dunleavy,REP,133,Question
,Governor,29,Billy Toien,LIB,9,Question
,Governor,29,Bill Walker,,2,Question
,Governor,29,Write-ins,,2,Question
,State Senate,29,Peter Micciche,REP,67,Question
,State Senate,29,Write-ins,,19,Question
,State House,29,Shawn Butler,DEM,20,Question
,State House,29,Benjamin Carpenter,REP,56,Question
,State House,29,Write-ins,,0,Question
,U.S. House,29,Alyse Galvin,DEM,318,Early Voting
,U.S. House,29,Don Young,REP,689,Early Voting
,U.S. House,29,Write-ins,,6,Early Voting
,Governor,29,Mark Begich,DEM,279,Early Voting
,Governor,29,Mike Dunleavy,REP,711,Early Voting
,Governor,29,Billy Toien,LIB,15,Early Voting
,Governor,29,Bill Walker,,13,Early Voting
,Governor,29,Write-ins,,5,Early Voting
,State Senate,29,Peter Micciche,REP,608,Early Voting
,State Senate,29,Write-ins,,307,Early Voting
,State House,29,Shawn Butler,DEM,285,Early Voting
,State House,29,Benjamin Carpenter,REP,715,Early Voting
,State House,29,Write-ins,,4,Early Voting
