county,office,district,candidate,party,votes,precinct
,U.S. House,29,Alyse Galvin,DEM,300,29-100
,U.S. House,29,Don Young,REP,343,29-100
,U.S. House,29,Write-ins,,0,29-100
,Governor,29,Mark Begich,DEM,274,29-100
,Governor,29,Mike Dunleavy,REP,342,29-100
,Governor,29,Billy Toien,LIB,16,29-100
,Governor,29,Bill Walker,,11,29-100
,Governor,29,Write-ins,,0,29-100
,State Senate,29,Peter Micciche,REP,439,29-100
,State Senate,29,Write-ins,,80,29-100
,State House,29,Shawn Butler,DEM,278,29-100
,State House,29,Benjamin Carpenter,REP,338,29-100
,State House,29,Write-ins,,4,29-100
,U.S. House,29,Alyse Galvin,DEM,70,29-110
,U.S. House,29,Don Young,REP,61,29-110
,U.S. House,29,Write-ins,,0,29-110
,Governor,29,Mark Begich,DEM,62,29-110
,Governor,29,Mike Dunleavy,REP,65,29-110
,Governor,29,Billy Toien,LIB,3,29-110
,Governor,29,Bill Walker,,3,29-110
,Governor,29,Write-ins,,0,29-110
,State Senate,29,Peter Micciche,REP,79,29-110
,State Senate,29,Write-ins,,30,29-110
,State House,29,Shawn Butler,DEM,77,29-110
,State House,29,Benjamin Carpenter,REP,52,29-110
,State House,29,Write-ins,,0,29-110
,U.S. House,29,Alyse Galvin,DEM,91,29-115
,U.S. House,29,Don Young,REP,218,29-115
,U.S. House,29,Write-ins,,4,29-115
,Governor,29,Mark Begich,DEM,64,29-115
,Governor,29,Mike Dunleavy,REP,240,29-115
,Governor,29,Billy Toien,LIB,7,29-115
,Governor,29,Bill Walker,,5,29-115
,Governor,29,Write-ins,,0,29-115
,State Senate,29,Peter Micciche,REP,173,29-115
,State Senate,29,Write-ins,,119,29-115
,State House,29,Shawn Butler,DEM,63,29-115
,State House,29,Benjamin Carpenter,REP,240,29-115
,State House,29,Write-ins,,1,29-115
,U.S. House,29,Alyse Galvin,DEM,50,29-120
,U.S. House,29,Don Young,REP,23,29-120
,U.S. House,29,Write-ins,,0,29-120
,Governor,29,Mark Begich,DEM,46,29-120
,Governor,29,Mike Dunleavy,REP,20,29-120
,Governor,29,Billy Toien,LIB,4,29-120
,Governor,29,Bill Walker,,1,29-120
,Governor,29,Write-ins,,1,29-120
,State Senate,29,Peter Micciche,REP,36,29-120
,State Senate,29,Write-ins,,9,29-120
,State House,29,Shawn Butler,DEM,61,29-120
,State House,29,Benjamin Carpenter,REP,10,29-120
,State House,29,Write-ins,,0,29-120
,U.S. House,29,Alyse Galvin,DEM,123,29-130
,U.S. House,29,Don Young,REP,276,29-130
,U.S. House,29,Write-ins,,0,29-130
,Governor,29,Mark Begich,DEM,100,29-130
,Governor,29,Mike Dunleavy,REP,297,29-130
,Governor,29,Billy Toien,LIB,0,29-130
,Governor,29,Bill Walker,,0,29-130
,Governor,29,Write-ins,,0,29-130
,State Senate,29,Peter Micciche,REP,244,29-130
,State Senate,29,Write-ins,,120,29-130
,State House,29,Shawn Butler,DEM,87,29-130
,State House,29,Benjamin Carpenter,REP,288,29-130
,State House,29,Write-ins,,0,29-130
,U.S. House,29,Alyse Galvin,DEM,90,29-140
,U.S. House,29,Don Young,REP,62,29-140
,U.S. House,29,Write-ins,,2,29-140
,Governor,29,Mark Begich,DEM,84,29-140
,Governor,29,Mike Dunleavy,REP,66,29-140
,Governor,29,Billy Toien,LIB,4,29-140
,Governor,29,Bill Walker,,0,29-140
,Governor,29,Write-ins,,1,29-140
,State Senate,29,Peter Micciche,REP,85,29-140
,State Senate,29,Write-ins,,30,29-140
,State House,29,Shawn Butler,DEM,84,29-140
