county,office,district,candidate,party,votes,precinct
,U.S. House,12,Alyse Galvin,DEM,99,12-200
,U.S. House,12,Don Young,REP,367,12-200
,U.S. House,12,Write-ins,,6,12-200
,Governor,12,Mark Begich,DEM,91,12-200
,Governor,12,Mike Dunleavy,REP,381,12-200
,Governor,12,Billy Toien,LIB,3,12-200
,Governor,12,Bill Walker,,0,12-200
,Governor,12,Write-ins,,0,12-200
,State House,12,Cathy Tilton,REP,390,12-200
,State House,12,Stephany Jeffers,DEM,78,12-200
,State House,12,Write-ins,,1,12-200
,U.S. House,12,Alyse Galvin,DEM,153,12-205
,U.S. House,12,Don Young,REP,375,12-205
,U.S. House,12,Write-ins,,3,12-205
,Governor,12,Mark Begich,DEM,132,12-205
,Governor,12,Mike Dunleavy,REP,392,12-205
,Governor,12,Billy Toien,LIB,7,12-205
,Governor,12,Bill Walker,,6,12-205
,Governor,12,Write-ins,,0,12-205
,State House,12,Cathy Tilton,REP,409,12-205
,State House,12,Stephany Jeffers,DEM,118,12-205
,State House,12,Write-ins,,1,12-205
,U.S. House,12,Alyse Galvin,DEM,221,12-210
,U.S. House,12,Don Young,REP,666,12-210
,U.S. House,12,Write-ins,,4,12-210
,Governor,12,Mark Begich,DEM,189,12-210
,Governor,12,Mike Dunleavy,REP,690,12-210
,Governor,12,Billy Toien,LIB,12,12-210
,Governor,12,Bill Walker,,4,12-210
,Governor,12,Write-ins,,3,12-210
,State House,12,Cathy Tilton,REP,710,12-210
,State House,12,Stephany Jeffers,DEM,162,12-210
,State House,12,Write-ins,,6,12-210
,U.S. House,12,Alyse Galvin,DEM,374,12-220
,U.S. House,12,Don Young,REP,966,12-220
,U.S. House,12,Write-ins,,10,12-220
,Governor,12,Mark Begich,DEM,335,12-220
,Governor,12,Mike Dunleavy,REP,981,12-220
,Governor,12,Billy Toien,LIB,27,12-220
,Governor,12,Bill Walker,,13,12-220
,Governor,12,Write-ins,,1,12-220
,State House,12,Cathy Tilton,REP,1017,12-220
,State House,12,Stephany Jeffers,DEM,314,12-220
,State House,12,Write-ins,,8,12-220
,U.S. House,12,Alyse Galvin,DEM,263,12-225
,U.S. House,12,Don Young,REP,477,12-225
,U.S. House,12,Write-ins,,2,12-225
,Governor,12,Mark Begich,DEM,245,12-225
,Governor,12,Mike Dunleavy,REP,483,12-225
,Governor,12,Billy Toien,LIB,13,12-225
,Governor,12,Bill Walker,,4,12-225
,Governor,12,Write-ins,,4,12-225
,State House,12,Cathy Tilton,REP,500,12-225
,State House,12,Stephany Jeffers,DEM,232,12-225
,State House,12,Write-ins,,3,12-225
,U.S. House,12,Alyse Galvin,DEM,352,12-230
,U.S. House,12,Don Young,REP,796,12-230
,U.S. House,12,Write-ins,,3,12-230
,Governor,12,Mark Begich,DEM,310,12-230
,Governor,12,Mike Dunleavy,REP,813,12-230
,Governor,12,Billy Toien,LIB,20,12-230
,Governor,12,Bill Walker,,7,12-230
,Governor,12,Write-ins,,1,12-230
,State House,12,Cathy Tilton,REP,846,12-230
,State House,12,Stephany Jeffers,DEM,279,12-230
,State House,12,Write-ins,,3,12-230
,U.S. House,12,Alyse Galvin,DEM,137,12-233
,U.S. House,12,Don Young,REP,367,12-233
,U.S. House,12,Write-ins,,0,12-233
,Governor,12,Mark Begich,DEM,141,12-233
,Governor,12,Mike Dunleavy,REP,354,12-233
,Governor,12,Billy Toien,LIB,8,12-233
,Governor,12,Bill Walker,,4,12-233
,Governor,12,Write-ins,,0,12-233
,State House,12,Cathy Tilton,REP,368,12-233
,State House,12,Stephany Jeffers,DEM,126,12-233
,State House,12,Write-ins,,3,12-233
,U.S. House,12,Alyse Galvin,DEM,436,Absentee
,U.S. House,12,Don Young,REP,965,Absentee
,U.S. House,12,Write-ins,,3,Absentee
,Governor,12,Mark Begich,DEM,386,Absentee
,Governor,12,Mike Dunleavy,REP,968,Absentee
,Governor,12,Billy Toien,LIB,12,Absentee
,Governor,12,Bill Walker,,39,Absentee
,Governor,12,Write-ins,,0,Absentee
,State House,12,Cathy Tilton,REP,987,Absentee
,State House,12,Stephany Jeffers,DEM,328,Absentee
,State House,12,Write-ins,,0,Absentee
,U.S. House,12,Alyse Galvin,DEM,81,Question
,U.S. House,12,Don Young,REP,161,Question
,U.S. House,12,Write-ins,,1,Question
,Governor,12,Mark Begich,DEM,55,Question
,Governor,12,Mike Dunleavy,REP,179,Question
,Governor,12,Billy Toien,LIB,7,Question
,Governor,12,Bill Walker,,4,Question
,Governor,12,Write-ins,,0,Question
,State House,12,Cathy Tilton,REP,40,Question
,State House,12,Stephany Jeffers,DEM,18,Question
,State House,12,Write-ins,,0,Question
,U.S. House,12,Alyse Galvin,DEM,395,Early Voting
,U.S. House,12,Don Young,REP,783,Early Voting
,U.S. House,12,Write-ins,,1,Early Voting
,Governor,12,Mark Begich,DEM,386,Early Voting
,Governor,12,Mike Dunleavy,REP,778,Early Voting
,Governor,12,Billy Toien,LIB,15,Early Voting
,Governor,12,Bill Walker,,6,Early Voting
,Governor,12,Write-ins,,1,Early Voting
,State House,12,Cathy Tilton,REP,832,Early Voting
,State House,12,Stephany Jeffers,DEM,338,Early Voting
,State House,12,Write-ins,,0,Early Voting
