county,office,district,candidate,party,votes,precinct
,U.S. House,6,Alyse Galvin,DEM,21,06-005
,U.S. House,6,Don Young,REP,49,06-005
,U.S. House,6,Write-ins,,0,06-005
,Governor,6,Mark Begich,DEM,18,06-005
,Governor,6,Mike Dunleavy,REP,52,06-005
,Governor,6,Billy Toien,LIB,1,06-005
,Governor,6,Bill Walker,,0,06-005
,Governor,6,Write-ins,,0,06-005
,State Senate,6,Click Bishop,REP,57,06-005
,State Senate,6,Write-ins,,1,06-005
,State House,6,Ed Alexander,DEM,14,06-005
,State House,6,David Talerico,REP,55,06-005
,State House,6,Write-ins,,0,06-005
,U.S. House,6,Alyse Galvin,DEM,53,06-007
,U.S. House,6,Don Young,REP,3,06-007
,U.S. House,6,Write-ins,,0,06-007
,Governor,6,Mark Begich,DEM,45,06-007
,Governor,6,Mike Dunleavy,REP,5,06-007
,Governor,6,Billy Toien,LIB,1,06-007
,Governor,6,Bill Walker,,5,06-007
,Governor,6,Write-ins,,0,06-007
,State Senate,6,Click Bishop,REP,41,06-007
,State Senate,6,Write-ins,,3,06-007
,State House,6,Ed Alexander,DEM,55,06-007
,State House,6,David Talerico,REP,1,06-007
,State House,6,Write-ins,,0,06-007
,U.S. House,6,Alyse Galvin,DEM,16,06-010
,U.S. House,6,Don Young,REP,13,06-010
,U.S. House,6,Write-ins,,0,06-010
,Governor,6,Mark Begich,DEM,19,06-010
,Governor,6,Mike Dunleavy,REP,7,06-010
,Governor,6,Billy Toien,LIB,2,06-010
,Governor,6,Bill Walker,,1,06-010
,Governor,6,Write-ins,,0,06-010
,State Senate,6,Click Bishop,REP,25,06-010
,State Senate,6,Write-ins,,1,06-010
,State House,6,Ed Alexander,DEM,26,06-010
,State House,6,David Talerico,REP,3,06-010
,State House,6,Write-ins,,0,06-010
,U.S. House,6,Alyse Galvin,DEM,37,06-012
,U.S. House,6,Don Young,REP,60,06-012
,U.S. House,6,Write-ins,,0,06-012
,Governor,6,Mark Begich,DEM,43,06-012
,Governor,6,Mike Dunleavy,REP,52,06-012
,Governor,6,Billy Toien,LIB,1,06-012
,Governor,6,Bill Walker,,1,06-012
,Governor,6,Write-ins,,0,06-012
