county,office,district,candidate,party,votes,precinct
,U.S. House,17,Alyse Galvin,DEM,364,17-400
,U.S. House,17,Don Young,REP,234,17-400
,U.S. House,17,Write-ins,,2,17-400
,Governor,17,Mark Begich,DEM,356,17-400
,Governor,17,Mike Dunleavy,REP,230,17-400
,Governor,17,Billy Toien,LIB,4,17-400
,Governor,17,Bill Walker,,10,17-400
,Governor,17,Write-ins,,0,17-400
,State Senate,17,Elvi Gray-Jackson,DEM,351,17-400
,State Senate,17,Jim Crawford,REP,234,17-400
,State Senate,17,Write-ins,,3,17-400
,State House,17,Marcus Sanders,REP,254,17-400
,State House,17,Andrew Josephson,DEM,339,17-400
,State House,17,Write-ins,,2,17-400
,U.S. House,17,Alyse Galvin,DEM,182,17-405
,U.S. House,17,Don Young,REP,120,17-405
,U.S. House,17,Write-ins,,2,17-405
,Governor,17,Mark Begich,DEM,187,17-405
,Governor,17,Mike Dunleavy,REP,105,17-405
,Governor,17,Billy Toien,LIB,3,17-405
,Governor,17,Bill Walker,,7,17-405
,Governor,17,Write-ins,,0,17-405
,State Senate,17,Elvi Gray-Jackson,DEM,184,17-405
,State Senate,17,Jim Crawford,REP,115,17-405
,State Senate,17,Write-ins,,0,17-405
,State House,17,Marcus Sanders,REP,105,17-405
,State House,17,Andrew Josephson,DEM,193,17-405
,State House,17,Write-ins,,0,17-405
,U.S. House,17,Alyse Galvin,DEM,256,17-410
,U.S. House,17,Don Young,REP,206,17-410
,U.S. House,17,Write-ins,,6,17-410
,Governor,17,Mark Begich,DEM,263,17-410
,Governor,17,Mike Dunleavy,REP,190,17-410
,Governor,17,Billy Toien,LIB,11,17-410
,Governor,17,Bill Walker,,5,17-410
,Governor,17,Write-ins,,1,17-410
,State Senate,17,Elvi Gray-Jackson,DEM,243,17-410
,State Senate,17,Jim Crawford,REP,216,17-410
,State Senate,17,Write-ins,,1,17-410
,State House,17,Marcus Sanders,REP,174,17-410
,State House,17,Andrew Josephson,DEM,284,17-410
,State House,17,Write-ins,,2,17-410
,U.S. House,17,Alyse Galvin,DEM,242,17-415
,U.S. House,17,Don Young,REP,214,17-415
,U.S. House,17,Write-ins,,0,17-415
,Governor,17,Mark Begich,DEM,225,17-415
