county,office,district,candidate,party,votes,precinct
,U.S. House,38,Alyse Galvin,DEM,48,38-800
,U.S. House,38,Don Young,REP,102,38-800
,U.S. House,38,Write-ins,,0,38-800
,Governor,38,Mark Begich,DEM,101,38-800
,Governor,38,Mike Dunleavy,REP,41,38-800
,Governor,38,Billy Toien,LIB,6,38-800
,Governor,38,Bill Walker,,7,38-800
,Governor,38,Write-ins,,0,38-800
,State Senate,38,Lyman Hoffman,DEM,141,38-800
,State Senate,38,Write-ins,,3,38-800
,State House,38,Tiffany Zulkosky,DEM,73,38-800
,State House,38,Darren Deacon,REP,79,38-800
,State House,38,Write-ins,,0,38-800
,U.S. House,38,Alyse Galvin,DEM,70,38-802
,U.S. House,38,Don Young,REP,45,38-802
,U.S. House,38,Write-ins,,0,38-802
,Governor,38,Mark Begich,DEM,85,38-802
,Governor,38,Mike Dunleavy,REP,23,38-802
,Governor,38,Billy Toien,LIB,4,38-802
,Governor,38,Bill Walker,,3,38-802
,Governor,38,Write-ins,,0,38-802
,State Senate,38,Lyman Hoffman,DEM,91,38-802
,State Senate,38,Write-ins,,2,38-802
,State House,38,Tiffany Zulkosky,DEM,77,38-802
,State House,38,Darren Deacon,REP,35,38-802
,State House,38,Write-ins,,0,38-802
,U.S. House,38,Alyse Galvin,DEM,74,38-804
,U.S. House,38,Don Young,REP,64,38-804
,U.S. House,38,Write-ins,,0,38-804
,Governor,38,Mark Begich,DEM,79,38-804
,Governor,38,Mike Dunleavy,REP,45,38-804
,Governor,38,Billy Toien,LIB,7,38-804
,Governor,38,Bill Walker,,7,38-804
,Governor,38,Write-ins,,0,38-804
,State Senate,38,Lyman Hoffman,DEM,116,38-804
,State Senate,38,Write-ins,,5,38-804
,State House,38,Tiffany Zulkosky,DEM,45,38-804
,State House,38,Darren Deacon,REP,90,38-804
,State House,38,Write-ins,,2,38-804
,U.S. House,38,Alyse Galvin,DEM,33,38-806
,U.S. House,38,Don Young,REP,30,38-806
,U.S. House,38,Write-ins,,0,38-806
,Governor,38,Mark Begich,DEM,44,38-806
,Governor,38,Mike Dunleavy,REP,10,38-806
,Governor,38,Billy Toien,LIB,3,38-806
,Governor,38,Bill Walker,,5,38-806
,Governor,38,Write-ins,,0,38-806
,State Senate,38,Lyman Hoffman,DEM,61,38-806
,State Senate,38,Write-ins,,0,38-806
,State House,38,Tiffany Zulkosky,DEM,32,38-806
,State House,38,Darren Deacon,REP,30,38-806
,State House,38,Write-ins,,1,38-806
,U.S. House,38,Alyse Galvin,DEM,393,38-808
,U.S. House,38,Don Young,REP,260,38-808
,U.S. House,38,Write-ins,,1,38-808
,Governor,38,Mark Begich,DEM,441,38-808
,Governor,38,Mike Dunleavy,REP,190,38-808
,Governor,38,Billy Toien,LIB,12,38-808
,Governor,38,Bill Walker,,15,38-808
,Governor,38,Write-ins,,0,38-808
,State Senate,38,Lyman Hoffman,DEM,529,38-808
,State Senate,38,Write-ins,,56,38-808
,State House,38,Tiffany Zulkosky,DEM,385,38-808
,State House,38,Darren Deacon,REP,262,38-808
,State House,38,Write-ins,,1,38-808
,U.S. House,38,Alyse Galvin,DEM,407,38-810
,U.S. House,38,Don Young,REP,271,38-810
,U.S. House,38,Write-ins,,3,38-810
,Governor,38,Mark Begich,DEM,457,38-810
,Governor,38,Mike Dunleavy,REP,192,38-810
,Governor,38,Billy Toien,LIB,13,38-810
,Governor,38,Bill Walker,,17,38-810
,Governor,38,Write-ins,,2,38-810
,State Senate,38,Lyman Hoffman,DEM,519,38-810
,State Senate,38,Write-ins,,76,38-810
,State House,38,Tiffany Zulkosky,DEM,402,38-810
,State House,38,Darren Deacon,REP,272,38-810
,State House,38,Write-ins,,4,38-810
,U.S. House,38,Alyse Galvin,DEM,150,38-812
,U.S. House,38,Don Young,REP,43,38-812
,U.S. House,38,Write-ins,,2,38-812
,Governor,38,Mark Begich,DEM,131,38-812
,Governor,38,Mike Dunleavy,REP,41,38-812
,Governor,38,Billy Toien,LIB,10,38-812
,Governor,38,Bill Walker,,10,38-812
,Governor,38,Write-ins,,0,38-812
,State Senate,38,Lyman Hoffman,DEM,190,38-812
,State Senate,38,Write-ins,,2,38-812
,State House,38,Tiffany Zulkosky,DEM,114,38-812
,State House,38,Darren Deacon,REP,79,38-812
,State House,38,Write-ins,,0,38-812
,U.S. House,38,Alyse Galvin,DEM,12,38-814
,U.S. House,38,Don Young,REP,12,38-814
,U.S. House,38,Write-ins,,0,38-814
,Governor,38,Mark Begich,DEM,13,38-814
,Governor,38,Mike Dunleavy,REP,9,38-814
,Governor,38,Billy Toien,LIB,2,38-814
,Governor,38,Bill Walker,,0,38-814
,Governor,38,Write-ins,,0,38-814
,State Senate,38,Lyman Hoffman,DEM,20,38-814
,State Senate,38,Write-ins,,4,38-814
,State House,38,Tiffany Zulkosky,DEM,4,38-814
,State House,38,Darren Deacon,REP,20,38-814
,State House,38,Write-ins,,0,38-814
