county,office,district,candidate,party,votes,precinct
,U.S. House,35,Alyse Galvin,DEM,113,35-700
,U.S. House,35,Don Young,REP,55,35-700
,U.S. House,35,Write-ins,,1,35-700
,Governor,35,Mark Begich,DEM,106,35-700
,Governor,35,Mike Dunleavy,REP,50,35-700
,Governor,35,Billy Toien,LIB,1,35-700
,Governor,35,Bill Walker,,11,35-700
,Governor,35,Write-ins,,2,35-700
,State House,35,Richard Wein,REP,52,35-700
,State House,35,Jona Kreiss-Tomkins,DEM,111,35-700
,State House,35,Write-ins,,4,35-700
,U.S. House,35,Alyse Galvin,DEM,161,35-705
,U.S. House,35,Don Young,REP,187,35-705
,U.S. House,35,Write-ins,,3,35-705
,Governor,35,Mark Begich,DEM,142,35-705
,Governor,35,Mike Dunleavy,REP,185,35-705
,Governor,35,Billy Toien,LIB,15,35-705
,Governor,35,Bill Walker,,11,35-705
,Governor,35,Write-ins,,1,35-705
,State House,35,Richard Wein,REP,176,35-705
,State House,35,Jona Kreiss-Tomkins,DEM,176,35-705
,State House,35,Write-ins,,1,35-705
,U.S. House,35,Alyse Galvin,DEM,150,35-720
,U.S. House,35,Don Young,REP,161,35-720
,U.S. House,35,Write-ins,,1,35-720
,Governor,35,Mark Begich,DEM,136,35-720
,Governor,35,Mike Dunleavy,REP,159,35-720
,Governor,35,Billy Toien,LIB,8,35-720
,Governor,35,Bill Walker,,9,35-720
,Governor,35,Write-ins,,1,35-720
,State House,35,Richard Wein,REP,120,35-720
,State House,35,Jona Kreiss-Tomkins,DEM,185,35-720
,State House,35,Write-ins,,1,35-720
,U.S. House,35,Alyse Galvin,DEM,119,35-730
,U.S. House,35,Don Young,REP,70,35-730
,U.S. House,35,Write-ins,,2,35-730
,Governor,35,Mark Begich,DEM,133,35-730
,Governor,35,Mike Dunleavy,REP,43,35-730
,Governor,35,Billy Toien,LIB,4,35-730
,Governor,35,Bill Walker,,11,35-730
,Governor,35,Write-ins,,1,35-730
,State House,35,Richard Wein,REP,54,35-730
,State House,35,Jona Kreiss-Tomkins,DEM,129,35-730
,State House,35,Write-ins,,3,35-730
,U.S. House,35,Alyse Galvin,DEM,8,35-735
,U.S. House,35,Don Young,REP,12,35-735
,U.S. House,35,Write-ins,,0,35-735
,Governor,35,Mark Begich,DEM,6,35-735
,Governor,35,Mike Dunleavy,REP,12,35-735
,Governor,35,Billy Toien,LIB,1,35-735
,Governor,35,Bill Walker,,3,35-735
,Governor,35,Write-ins,,0,35-735
,State House,35,Richard Wein,REP,9,35-735
,State House,35,Jona Kreiss-Tomkins,DEM,13,35-735
,State House,35,Write-ins,,0,35-735
,U.S. House,35,Alyse Galvin,DEM,144,35-740
,U.S. House,35,Don Young,REP,151,35-740
,U.S. House,35,Write-ins,,1,35-740
,Governor,35,Mark Begich,DEM,127,35-740
,Governor,35,Mike Dunleavy,REP,146,35-740
,Governor,35,Billy Toien,LIB,13,35-740
,Governor,35,Bill Walker,,11,35-740
,Governor,35,Write-ins,,1,35-740
,State House,35,Richard Wein,REP,129,35-740
,State House,35,Jona Kreiss-Tomkins,DEM,164,35-740
,State House,35,Write-ins,,0,35-740
,U.S. House,35,Alyse Galvin,DEM,28,35-745
,U.S. House,35,Don Young,REP,50,35-745
,U.S. House,35,Write-ins,,0,35-745
,Governor,35,Mark Begich,DEM,23,35-745
,Governor,35,Mike Dunleavy,REP,50,35-745
,Governor,35,Billy Toien,LIB,0,35-745
,Governor,35,Bill Walker,,3,35-745
,Governor,35,Write-ins,,0,35-745
,State House,35,Richard Wein,REP,51,35-745
,State House,35,Jona Kreiss-Tomkins,DEM,26,35-745
,State House,35,Write-ins,,1,35-745
,U.S. House,35,Alyse Galvin,DEM,15,35-750
,U.S. House,35,Don Young,REP,23,35-750
,U.S. House,35,Write-ins,,0,35-750
,Governor,35,Mark Begich,DEM,15,35-750
,Governor,35,Mike Dunleavy,REP,20,35-750
,Governor,35,Billy Toien,LIB,2,35-750
,Governor,35,Bill Walker,,2,35-750
,Governor,35,Write-ins,,0,35-750
,State House,35,Richard Wein,REP,19,35-750
,State House,35,Jona Kreiss-Tomkins,DEM,19,35-750
,State House,35,Write-ins,,0,35-750
,U.S. House,35,Alyse Galvin,DEM,446,35-755
,U.S. House,35,Don Young,REP,496,35-755
,U.S. House,35,Write-ins,,3,35-755
,Governor,35,Mark Begich,DEM,439,35-755
,Governor,35,Mike Dunleavy,REP,471,35-755
,Governor,35,Billy Toien,LIB,21,35-755
,Governor,35,Bill Walker,,23,35-755
,Governor,35,Write-ins,,0,35-755
,State House,35,Richard Wein,REP,383,35-755
,State House,35,Jona Kreiss-Tomkins,DEM,547,35-755
,State House,35,Write-ins,,10,35-755
,U.S. House,35,Alyse Galvin,DEM,11,35-760
,U.S. House,35,Don Young,REP,9,35-760
,U.S. House,35,Write-ins,,0,35-760
,Governor,35,Mark Begich,DEM,11,35-760
,Governor,35,Mike Dunleavy,REP,8,35-760
,Governor,35,Billy Toien,LIB,2,35-760
,Governor,35,Bill Walker,,1,35-760
,Governor,35,Write-ins,,0,35-760
,State House,35,Richard Wein,REP,13,35-760
,State House,35,Jona Kreiss-Tomkins,DEM,9,35-760
,State House,35,Write-ins,,0,35-760
,U.S. House,35,Alyse Galvin,DEM,778,35-765
,U.S. House,35,Don Young,REP,522,35-765
,U.S. House,35,Write-ins,,3,35-765
,Governor,35,Mark Begich,DEM,704,35-765
,Governor,35,Mike Dunleavy,REP,529,35-765
,Governor,35,Billy Toien,LIB,34,35-765
,Governor,35,Bill Walker,,32,35-765
,Governor,35,Write-ins,,3,35-765
,State House,35,Richard Wein,REP,611,35-765
,State House,35,Jona Kreiss-Tomkins,DEM,689,35-765
,State House,35,Write-ins,,2,35-765
,U.S. House,35,Alyse Galvin,DEM,813,35-770
,U.S. House,35,Don Young,REP,485,35-770
,U.S. House,35,Write-ins,,2,35-770
,Governor,35,Mark Begich,DEM,767,35-770
,Governor,35,Mike Dunleavy,REP,474,35-770
,Governor,35,Billy Toien,LIB,27,35-770
,Governor,35,Bill Walker,,31,35-770
,Governor,35,Write-ins,,2,35-770
,State House,35,Richard Wein,REP,547,35-770
,State House,35,Jona Kreiss-Tomkins,DEM,757,35-770
,State House,35,Write-ins,,3,35-770
,U.S. House,35,Alyse Galvin,DEM,43,35-775
,U.S. House,35,Don Young,REP,14,35-775
,U.S. House,35,Write-ins,,0,35-775
,Governor,35,Mark Begich,DEM,42,35-775
,Governor,35,Mike Dunleavy,REP,13,35-775
,Governor,35,Billy Toien,LIB,1,35-775
,Governor,35,Bill Walker,,1,35-775
,Governor,35,Write-ins,,0,35-775
,State House,35,Richard Wein,REP,13,35-775
,State House,35,Jona Kreiss-Tomkins,DEM,45,35-775
,State House,35,Write-ins,,0,35-775
,U.S. House,35,Alyse Galvin,DEM,47,35-780
,U.S. House,35,Don Young,REP,122,35-780
,U.S. House,35,Write-ins,,0,35-780
,Governor,35,Mark Begich,DEM,33,35-780
,Governor,35,Mike Dunleavy,REP,130,35-780
,Governor,35,Billy Toien,LIB,3,35-780
,Governor,35,Bill Walker,,3,35-780
,Governor,35,Write-ins,,0,35-780
,State House,35,Richard Wein,REP,109,35-780
,State House,35,Jona Kreiss-Tomkins,DEM,58,35-780
,State House,35,Write-ins,,0,35-780
,U.S. House,35,Alyse Galvin,DEM,1489,Absentee
,U.S. House,35,Don Young,REP,1054,Absentee
,U.S. House,35,Write-ins,,6,Absentee
,Governor,35,Mark Begich,DEM,1408,Absentee
,Governor,35,Mike Dunleavy,REP,975,Absentee
,Governor,35,Billy Toien,LIB,51,Absentee
,Governor,35,Bill Walker,,121,Absentee
,Governor,35,Write-ins,,3,Absentee
,State House,35,Richard Wein,REP,1033,Absentee
,State House,35,Jona Kreiss-Tomkins,DEM,1459,Absentee
,State House,35,Write-ins,,6,Absentee
,U.S. House,35,Alyse Galvin,DEM,53,Question
,U.S. House,35,Don Young,REP,78,Question
,U.S. House,35,Write-ins,,0,Question
,Governor,35,Mark Begich,DEM,56,Question
,Governor,35,Mike Dunleavy,REP,66,Question
,Governor,35,Billy Toien,LIB,5,Question
,Governor,35,Bill Walker,,7,Question
,Governor,35,Write-ins,,0,Question
,State House,35,Richard Wein,REP,26,Question
,State House,35,Jona Kreiss-Tomkins,DEM,25,Question
,State House,35,Write-ins,,1,Question
,U.S. House,35,Alyse Galvin,DEM,67,Early Voting
,U.S. House,35,Don Young,REP,25,Early Voting
