county,office,district,candidate,party,votes,precinct
,U.S. House,22,Alyse Galvin,DEM,390,22-640
,U.S. House,22,Don Young,REP,466,22-640
,U.S. House,22,Write-ins,,1,22-640
,Governor,22,Mark Begich,DEM,371,22-640
,Governor,22,Mike Dunleavy,REP,466,22-640
,Governor,22,Billy Toien,LIB,11,22-640
,Governor,22,Bill Walker,,12,22-640
,Governor,22,Write-ins,,4,22-640
,State Senate,22,Sam Cason,DEM,288,22-640
,State Senate,22,Mia Costello,REP,557,22-640
,State Senate,22,Write-ins,,2,22-640
,State House,22,Jason Grenn,,301,22-640
,State House,22,Dustin Darden,DEM,117,22-640
,State House,22,Sara Rasmussen,REP,435,22-640
,State House,22,Write-ins,,1,22-640
,U.S. House,22,Alyse Galvin,DEM,627,22-645
,U.S. House,22,Don Young,REP,768,22-645
,U.S. House,22,Write-ins,,2,22-645
,Governor,22,Mark Begich,DEM,602,22-645
,Governor,22,Mike Dunleavy,REP,757,22-645
,Governor,22,Billy Toien,LIB,18,22-645
,Governor,22,Bill Walker,,18,22-645
,Governor,22,Write-ins,,3,22-645
,State Senate,22,Sam Cason,DEM,453,22-645
,State Senate,22,Mia Costello,REP,910,22-645
,State Senate,22,Write-ins,,3,22-645
,State House,22,Jason Grenn,,597,22-645
,State House,22,Dustin Darden,DEM,100,22-645
,State House,22,Sara Rasmussen,REP,692,22-645
,State House,22,Write-ins,,1,22-645
,U.S. House,22,Alyse Galvin,DEM,251,22-650
,U.S. House,22,Don Young,REP,290,22-650
,U.S. House,22,Write-ins,,0,22-650
,Governor,22,Mark Begich,DEM,228,22-650
,Governor,22,Mike Dunleavy,REP,305,22-650
,Governor,22,Billy Toien,LIB,8,22-650
,Governor,22,Bill Walker,,5,22-650
,Governor,22,Write-ins,,0,22-650
,State Senate,22,Sam Cason,DEM,186,22-650
,State Senate,22,Mia Costello,REP,342,22-650
,State Senate,22,Write-ins,,2,22-650
,State House,22,Jason Grenn,,201,22-650
,State House,22,Dustin Darden,DEM,82,22-650
,State House,22,Sara Rasmussen,REP,254,22-650
,State House,22,Write-ins,,1,22-650
,U.S. House,22,Alyse Galvin,DEM,300,22-655
,U.S. House,22,Don Young,REP,291,22-655
,U.S. House,22,Write-ins,,2,22-655
,Governor,22,Mark Begich,DEM,279,22-655
,Governor,22,Mike Dunleavy,REP,301,22-655
,Governor,22,Billy Toien,LIB,7,22-655
,Governor,22,Bill Walker,,5,22-655
,Governor,22,Write-ins,,1,22-655
,State Senate,22,Sam Cason,DEM,239,22-655
,State Senate,22,Mia Costello,REP,336,22-655
,State Senate,22,Write-ins,,2,22-655
,State House,22,Jason Grenn,,203,22-655
,State House,22,Dustin Darden,DEM,115,22-655
,State House,22,Sara Rasmussen,REP,268,22-655
,State House,22,Write-ins,,1,22-655
,U.S. House,22,Alyse Galvin,DEM,490,22-660
,U.S. House,22,Don Young,REP,495,22-660
,U.S. House,22,Write-ins,,2,22-660
,Governor,22,Mark Begich,DEM,465,22-660
,Governor,22,Mike Dunleavy,REP,501,22-660
,Governor,22,Billy Toien,LIB,11,22-660
,Governor,22,Bill Walker,,11,22-660
,Governor,22,Write-ins,,1,22-660
,State Senate,22,Sam Cason,DEM,368,22-660
,State Senate,22,Mia Costello,REP,594,22-660
,State Senate,22,Write-ins,,6,22-660
,State House,22,Jason Grenn,,438,22-660
,State House,22,Dustin Darden,DEM,100,22-660
,State House,22,Sara Rasmussen,REP,441,22-660
,State House,22,Write-ins,,1,22-660
,U.S. House,22,Alyse Galvin,DEM,335,22-665
,U.S. House,22,Don Young,REP,359,22-665
,U.S. House,22,Write-ins,,2,22-665
,Governor,22,Mark Begich,DEM,310,22-665
,Governor,22,Mike Dunleavy,REP,368,22-665
,Governor,22,Billy Toien,LIB,11,22-665
,Governor,22,Bill Walker,,7,22-665
