county,office,district,candidate,party,votes,precinct
,U.S. House,1,Alyse Galvin,DEM,429,01-446
,U.S. House,1,Don Young,REP,419,01-446
,U.S. House,1,Write-ins,,9,01-446
,Governor,1,Mark Begich,DEM,399,01-446
,Governor,1,Mike Dunleavy,REP,427,01-446
,Governor,1,Billy Toien,LIB,29,01-446
,Governor,1,Bill Walker,,11,01-446
,Governor,1,Write-ins,,0,01-446
,State Senate,1,Scott Kawasaki,DEM,462,01-446
,State Senate,1,Pete Kelly,REP,392,01-446
,State Senate,1,Write-ins,,6,01-446
,State House,1,Barton LeBon,REP,464,01-446
,State House,1,Kathryn Dodge,DEM,388,01-446
,State House,1,Write-ins,,5,01-446
,U.S. House,1,Alyse Galvin,DEM,66,01-455
,U.S. House,1,Don Young,REP,88,01-455
,U.S. House,1,Write-ins,,0,01-455
,Governor,1,Mark Begich,DEM,65,01-455
,Governor,1,Mike Dunleavy,REP,84,01-455
,Governor,1,Billy Toien,LIB,3,01-455
,Governor,1,Bill Walker,,3,01-455
,Governor,1,Write-ins,,0,01-455
,State Senate,1,Scott Kawasaki,DEM,75,01-455
,State Senate,1,Pete Kelly,REP,79,01-455
,State Senate,1,Write-ins,,1,01-455
,State House,1,Barton LeBon,REP,93,01-455
,State House,1,Kathryn Dodge,DEM,60,01-455
,State House,1,Write-ins,,0,01-455
,U.S. House,1,Alyse Galvin,DEM,142,01-465
,U.S. House,1,Don Young,REP,136,01-465
,U.S. House,1,Write-ins,,1,01-465
,Governor,1,Mark Begich,DEM,124,01-465
,Governor,1,Mike Dunleavy,REP,139,01-465
,Governor,1,Billy Toien,LIB,13,01-465
,Governor,1,Bill Walker,,4,01-465
,Governor,1,Write-ins,,1,01-465
,State Senate,1,Scott Kawasaki,DEM,151,01-465
,State Senate,1,Pete Kelly,REP,127,01-465
,State Senate,1,Write-ins,,0,01-465
,State House,1,Barton LeBon,REP,137,01-465
,State House,1,Kathryn Dodge,DEM,139,01-465
,State House,1,Write-ins,,3,01-465
,U.S. House,1,Alyse Galvin,DEM,265,01-470
,U.S. House,1,Don Young,REP,223,01-470
,U.S. House,1,Write-ins,,1,01-470
,Governor,1,Mark Begich,DEM,253,01-470
,Governor,1,Mike Dunleavy,REP,203,01-470
,Governor,1,Billy Toien,LIB,16,01-470
,Governor,1,Bill Walker,,9,01-470
,Governor,1,Write-ins,,3,01-470
,State Senate,1,Scott Kawasaki,DEM,277,01-470
,State Senate,1,Pete Kelly,REP,205,01-470
,State Senate,1,Write-ins,,7,01-470
,State House,1,Barton LeBon,REP,237,01-470
,State House,1,Kathryn Dodge,DEM,249,01-470
