county,office,district,candidate,party,votes,precinct
,U.S. House,28,Alyse Galvin,DEM,320,28-105
,U.S. House,28,Don Young,REP,385,28-105
,U.S. House,28,Write-ins,,2,28-105
,Governor,28,Mark Begich,DEM,305,28-105
,Governor,28,Mike Dunleavy,REP,373,28-105
,Governor,28,Billy Toien,LIB,17,28-105
,Governor,28,Bill Walker,,15,28-105
,Governor,28,Write-ins,,0,28-105
,State House,28,Amber Lee,DEM,281,28-105
,State House,28,Jennifer Johnston,REP,418,28-105
,State House,28,Write-ins,,1,28-105
,U.S. House,28,Alyse Galvin,DEM,499,28-110
,U.S. House,28,Don Young,REP,685,28-110
,U.S. House,28,Write-ins,,2,28-110
,Governor,28,Mark Begich,DEM,495,28-110
,Governor,28,Mike Dunleavy,REP,671,28-110
,Governor,28,Billy Toien,LIB,10,28-110
,Governor,28,Bill Walker,,7,28-110
,Governor,28,Write-ins,,0,28-110
,State House,28,Amber Lee,DEM,487,28-110
,State House,28,Jennifer Johnston,REP,683,28-110
,State House,28,Write-ins,,3,28-110
,U.S. House,28,Alyse Galvin,DEM,284,28-115
,U.S. House,28,Don Young,REP,447,28-115
,U.S. House,28,Write-ins,,0,28-115
,Governor,28,Mark Begich,DEM,275,28-115
,Governor,28,Mike Dunleavy,REP,434,28-115
,Governor,28,Billy Toien,LIB,6,28-115
,Governor,28,Bill Walker,,13,28-115
,Governor,28,Write-ins,,0,28-115
,State House,28,Amber Lee,DEM,251,28-115
,State House,28,Jennifer Johnston,REP,463,28-115
,State House,28,Write-ins,,1,28-115
,U.S. House,28,Alyse Galvin,DEM,356,28-120
,U.S. House,28,Don Young,REP,464,28-120
,U.S. House,28,Write-ins,,1,28-120
,Governor,28,Mark Begich,DEM,332,28-120
,Governor,28,Mike Dunleavy,REP,465,28-120
,Governor,28,Billy Toien,LIB,13,28-120
,Governor,28,Bill Walker,,8,28-120
,Governor,28,Write-ins,,2,28-120
,State House,28,Amber Lee,DEM,324,28-120
,State House,28,Jennifer Johnston,REP,482,28-120
,State House,28,Write-ins,,2,28-120
,U.S. House,28,Alyse Galvin,DEM,247,28-125
,U.S. House,28,Don Young,REP,279,28-125
,U.S. House,28,Write-ins,,0,28-125
,Governor,28,Mark Begich,DEM,236,28-125
,Governor,28,Mike Dunleavy,REP,279,28-125
,Governor,28,Billy Toien,LIB,3,28-125
,Governor,28,Bill Walker,,6,28-125
,Governor,28,Write-ins,,2,28-125
,State House,28,Amber Lee,DEM,258,28-125
,State House,28,Jennifer Johnston,REP,262,28-125
,State House,28,Write-ins,,2,28-125
,U.S. House,28,Alyse Galvin,DEM,83,28-130
,U.S. House,28,Don Young,REP,59,28-130
,U.S. House,28,Write-ins,,0,28-130
,Governor,28,Mark Begich,DEM,80,28-130
,Governor,28,Mike Dunleavy,REP,55,28-130
,Governor,28,Billy Toien,LIB,6,28-130
,Governor,28,Bill Walker,,1,28-130
,Governor,28,Write-ins,,1,28-130
,State House,28,Amber Lee,DEM,82,28-130
,State House,28,Jennifer Johnston,REP,56,28-130
,State House,28,Write-ins,,1,28-130
,U.S. House,28,Alyse Galvin,DEM,598,28-135
,U.S. House,28,Don Young,REP,193,28-135
,U.S. House,28,Write-ins,,2,28-135
,Governor,28,Mark Begich,DEM,581,28-135
,Governor,28,Mike Dunleavy,REP,183,28-135
