county,office,district,candidate,party,votes,precinct
,Governor,11,Mike Dunleavy,REP,298,11-090
,Governor,11,Billy Toien,LIB,5,11-090
,Governor,11,Bill Walker,,2,11-090
,Governor,11,Write-ins,,1,11-090
,State House,11,Eileen Patterson,DEM,83,11-090
,State House,11,DeLena Johnson,REP,320,11-090
,State House,11,Write-ins,,0,11-090
,U.S. House,11,Alyse Galvin,DEM,243,11-095
,U.S. House,11,Don Young,REP,525,11-095
,U.S. House,11,Write-ins,,1,11-095
,Governor,11,Mark Begich,DEM,226,11-095
,Governor,11,Mike Dunleavy,REP,528,11-095
,Governor,11,Billy Toien,LIB,10,11-095
,Governor,11,Bill Walker,,10,11-095
,Governor,11,Write-ins,,1,11-095
,State House,11,Eileen Patterson,DEM,203,11-095
,State House,11,DeLena Johnson,REP,556,11-095
,State House,11,Write-ins,,1,11-095
,U.S. House,11,Alyse Galvin,DEM,179,11-099
,U.S. House,11,Don Young,REP,351,11-099
,U.S. House,11,Write-ins,,4,11-099
,Governor,11,Mark Begich,DEM,164,11-099
,Governor,11,Mike Dunleavy,REP,360,11-099
,Governor,11,Billy Toien,LIB,4,11-099
,Governor,11,Bill Walker,,6,11-099
,Governor,11,Write-ins,,2,11-099
,State House,11,Eileen Patterson,DEM,160,11-099
,State House,11,DeLena Johnson,REP,366,11-099
,State House,11,Write-ins,,8,11-099
,U.S. House,11,Alyse Galvin,DEM,218,Absentee
,U.S. House,11,Don Young,REP,585,Absentee
,U.S. House,11,Write-ins,,6,Absentee
,Governor,11,Mark Begich,DEM,185,Absentee
,Governor,11,Mike Dunleavy,REP,582,Absentee
,Governor,11,Billy Toien,LIB,11,Absentee
,Governor,11,Bill Walker,,32,Absentee
,Governor,11,Write-ins,,1,Absentee
,State House,11,Eileen Patterson,DEM,167,Absentee
,State House,11,DeLena Johnson,REP,571,Absentee
,State House,11,Write-ins,,3,Absentee
,U.S. House,11,Alyse Galvin,DEM,195,Question
,U.S. House,11,Don Young,REP,297,Question
,U.S. House,11,Write-ins,,3,Question
,Governor,11,Mark Begich,DEM,144,Question
,Governor,11,Mike Dunleavy,REP,337,Question
,Governor,11,Billy Toien,LIB,16,Question
,Governor,11,Bill Walker,,8,Question
,Governor,11,Write-ins,,0,Question
,State House,11,Eileen Patterson,DEM,56,Question
,State House,11,DeLena Johnson,REP,114,Question
,State House,11,Write-ins,,3,Question
,U.S. House,11,Alyse Galvin,DEM,601,Early Voting
,U.S. House,11,Don Young,REP,906,Early Voting
,U.S. House,11,Write-ins,,6,Early Voting
,Governor,11,Mark Begich,DEM,579,Early Voting
,Governor,11,Mike Dunleavy,REP,901,Early Voting
,Governor,11,Billy Toien,LIB,17,Early Voting
,Governor,11,Bill Walker,,16,Early Voting
,Governor,11,Write-ins,,4,Early Voting
,State House,11,Eileen Patterson,DEM,530,Early Voting
,State House,11,DeLena Johnson,REP,956,Early Voting
,State House,11,Write-ins,,5,Early Voting
