county,office,district,candidate,party,votes,precinct
,U.S. House,11,Alyse Galvin,DEM,214,11-055
,U.S. House,11,Don Young,REP,596,11-055
,U.S. House,11,Write-ins,,6,11-055
,Governor,11,Mark Begich,DEM,173,11-055
,Governor,11,Mike Dunleavy,REP,626,11-055
,Governor,11,Billy Toien,LIB,15,11-055
,Governor,11,Bill Walker,,3,11-055
,Governor,11,Write-ins,,1,11-055
,State House,11,Eileen Patterson,DEM,165,11-055
,State House,11,DeLena Johnson,REP,637,11-055
,State House,11,Write-ins,,7,11-055
,U.S. House,11,Alyse Galvin,DEM,216,11-060
,U.S. House,11,Don Young,REP,442,11-060
,U.S. House,11,Write-ins,,5,11-060
,Governor,11,Mark Begich,DEM,189,11-060
,Governor,11,Mike Dunleavy,REP,455,11-060
,Governor,11,Billy Toien,LIB,14,11-060
,Governor,11,Bill Walker,,8,11-060
,Governor,11,Write-ins,,2,11-060
,State House,11,Eileen Patterson,DEM,169,11-060
,State House,11,DeLena Johnson,REP,485,11-060
,State House,11,Write-ins,,3,11-060
,U.S. House,11,Alyse Galvin,DEM,117,11-065
,U.S. House,11,Don Young,REP,267,11-065
,U.S. House,11,Write-ins,,3,11-065
,Governor,11,Mark Begich,DEM,95,11-065
,Governor,11,Mike Dunleavy,REP,286,11-065
,Governor,11,Billy Toien,LIB,7,11-065
,Governor,11,Bill Walker,,2,11-065
,Governor,11,Write-ins,,0,11-065
,State House,11,Eileen Patterson,DEM,92,11-065
,State House,11,DeLena Johnson,REP,289,11-065
,State House,11,Write-ins,,3,11-065
,U.S. House,11,Alyse Galvin,DEM,309,11-070
,U.S. House,11,Don Young,REP,445,11-070
,U.S. House,11,Write-ins,,2,11-070
,Governor,11,Mark Begich,DEM,265,11-070
,Governor,11,Mike Dunleavy,REP,458,11-070
,Governor,11,Billy Toien,LIB,21,11-070
,Governor,11,Bill Walker,,11,11-070
,Governor,11,Write-ins,,2,11-070
,State House,11,Eileen Patterson,DEM,257,11-070
,State House,11,DeLena Johnson,REP,486,11-070
,State House,11,Write-ins,,3,11-070
,U.S. House,11,Alyse Galvin,DEM,262,11-075
,U.S. House,11,Don Young,REP,429,11-075
,U.S. House,11,Write-ins,,3,11-075
,Governor,11,Mark Begich,DEM,224,11-075
,Governor,11,Mike Dunleavy,REP,447,11-075
,Governor,11,Billy Toien,LIB,20,11-075
,Governor,11,Bill Walker,,7,11-075
,Governor,11,Write-ins,,2,11-075
,State House,11,Eileen Patterson,DEM,212,11-075
,State House,11,DeLena Johnson,REP,473,11-075
,State House,11,Write-ins,,4,11-075
,U.S. House,11,Alyse Galvin,DEM,178,11-085
,U.S. House,11,Don Young,REP,440,11-085
,U.S. House,11,Write-ins,,1,11-085
,Governor,11,Mark Begich,DEM,139,11-085
,Governor,11,Mike Dunleavy,REP,455,11-085
,Governor,11,Billy Toien,LIB,15,11-085
,Governor,11,Bill Walker,,8,11-085
,Governor,11,Write-ins,,0,11-085
,State House,11,Eileen Patterson,DEM,123,11-085
,State House,11,DeLena Johnson,REP,486,11-085
,State House,11,Write-ins,,2,11-085
,U.S. House,11,Alyse Galvin,DEM,112,11-090
,U.S. House,11,Don Young,REP,292,11-090
,U.S. House,11,Write-ins,,1,11-090
,Governor,11,Mark Begich,DEM,99,11-090
