county,office,district,candidate,party,votes,precinct
,U.S. House,37,Alyse Galvin,DEM,16,37-300
,U.S. House,37,Don Young,REP,12,37-300
,U.S. House,37,Write-ins,,1,37-300
,Governor,37,Mark Begich,DEM,20,37-300
,Governor,37,Mike Dunleavy,REP,6,37-300
,Governor,37,Billy Toien,LIB,0,37-300
,Governor,37,Bill Walker,,3,37-300
,Governor,37,Write-ins,,0,37-300
,State Senate,37,Lyman Hoffman,DEM,27,37-300
,State Senate,37,Write-ins,,1,37-300
,State House,37,William Weatherby,REP,7,37-300
,State House,37,Bryce Edgmon,DEM,22,37-300
,State House,37,Write-ins,,0,37-300
,U.S. House,37,Alyse Galvin,DEM,28,37-302
,U.S. House,37,Don Young,REP,30,37-302
,U.S. House,37,Write-ins,,0,37-302
,Governor,37,Mark Begich,DEM,34,37-302
,Governor,37,Mike Dunleavy,REP,13,37-302
,Governor,37,Billy Toien,LIB,3,37-302
,Governor,37,Bill Walker,,8,37-302
,Governor,37,Write-ins,,0,37-302
,State Senate,37,Lyman Hoffman,DEM,56,37-302
,State Senate,37,Write-ins,,0,37-302
,State House,37,William Weatherby,REP,24,37-302
,State House,37,Bryce Edgmon,DEM,32,37-302
,State House,37,Write-ins,,0,37-302
,U.S. House,37,Alyse Galvin,DEM,38,37-304
,U.S. House,37,Don Young,REP,25,37-304
,U.S. House,37,Write-ins,,2,37-304
,Governor,37,Mark Begich,DEM,46,37-304
,Governor,37,Mike Dunleavy,REP,13,37-304
,Governor,37,Billy Toien,LIB,3,37-304
,Governor,37,Bill Walker,,2,37-304
,Governor,37,Write-ins,,1,37-304
,State Senate,37,Lyman Hoffman,DEM,54,37-304
,State Senate,37,Write-ins,,7,37-304
,State House,37,William Weatherby,REP,20,37-304
,State House,37,Bryce Edgmon,DEM,43,37-304
,State House,37,Write-ins,,1,37-304
,U.S. House,37,Alyse Galvin,DEM,30,37-306
,U.S. House,37,Don Young,REP,54,37-306
,U.S. House,37,Write-ins,,0,37-306
,Governor,37,Mark Begich,DEM,32,37-306
,Governor,37,Mike Dunleavy,REP,50,37-306
,Governor,37,Billy Toien,LIB,1,37-306
,Governor,37,Bill Walker,,1,37-306
,Governor,37,Write-ins,,0,37-306
,State Senate,37,Lyman Hoffman,DEM,50,37-306
,State Senate,37,Write-ins,,0,37-306
,State House,37,William Weatherby,REP,53,37-306
,State House,37,Bryce Edgmon,DEM,31,37-306
