district,office,party,candidate,votes,precinct
17,President,CON,Darrell Castle,2,17-400
17,President,DEM,Hillary Clinton,323,17-400
17,President,NA,Roque De La Fuente,1,17-400
17,President,LIB,Gary Johnson,47,17-400
17,President,GRE,Jill Stein,7,17-400
17,President,REP,Donald Trump,238,17-400
17,President,,Write-ins,15,17-400
17,U.S. Senate,NA,Breck Craig,0,17-400
17,U.S. Senate,NA,Ted Gianoutsos,0,17-400
17,U.S. Senate,DEM,Ray Metcalfe,72,17-400
17,U.S. Senate,LIB,Joe Miller,121,17-400
17,U.S. Senate,REP,Lisa Murkowski,284,17-400
17,U.S. Senate,NA,Margaret Stock,155,17-400
17,U.S. Senate,,Write-ins,1,17-400
17,U.S. House,DEM,Steve Lindbeck,310,17-400
17,U.S. House,LIB,Jim McDermott,42,17-400
17,U.S. House,NA,Bernie Souphanavong,11,17-400
17,U.S. House,REP,Don Young,263,17-400
17,U.S. House,,Write-ins,2,17-400
17,State House,DEM,Andrew Josephson,420,17-400
17,State House,,Write-ins,55,17-400
17,President,CON,Darrell Castle,4,17-405
17,President,DEM,Hillary Clinton,177,17-405
17,President,NA,Roque De La Fuente,2,17-405
17,President,LIB,Gary Johnson,20,17-405
17,President,GRE,Jill Stein,8,17-405
17,President,REP,Donald Trump,125,17-405
17,President,,Write-ins,12,17-405
17,U.S. Senate,NA,Breck Craig,1,17-405
17,U.S. Senate,NA,Ted Gianoutsos,3,17-405
17,U.S. Senate,DEM,Ray Metcalfe,63,17-405
17,U.S. Senate,LIB,Joe Miller,72,17-405
17,U.S. Senate,REP,Lisa Murkowski,133,17-405
17,U.S. Senate,NA,Margaret Stock,70,17-405
17,U.S. Senate,,Write-ins,1,17-405
17,U.S. House,DEM,Steve Lindbeck,173,17-405
17,U.S. House,LIB,Jim McDermott,28,17-405
17,U.S. House,NA,Bernie Souphanavong,9,17-405
17,U.S. House,REP,Don Young,132,17-405
17,U.S. House,,Write-ins,0,17-405
17,State House,DEM,Andrew Josephson,250,17-405
17,State House,,Write-ins,11,17-405
17,President,CON,Darrell Castle,7,17-410
