district,office,party,candidate,votes,precinct
25,President,CON,Darrell Castle,1,25-840
25,President,DEM,Hillary Clinton,103,25-840
25,President,NA,Roque De La Fuente,0,25-840
25,President,LIB,Gary Johnson,15,25-840
25,President,GRE,Jill Stein,3,25-840
25,President,REP,Donald Trump,117,25-840
25,President,,Write-ins,8,25-840
25,U.S. Senate,NA,Breck Craig,4,25-840
25,U.S. Senate,NA,Ted Gianoutsos,0,25-840
25,U.S. Senate,DEM,Ray Metcalfe,33,25-840
25,U.S. Senate,LIB,Joe Miller,79,25-840
25,U.S. Senate,REP,Lisa Murkowski,106,25-840
25,U.S. Senate,NA,Margaret Stock,22,25-840
25,U.S. Senate,,Write-ins,0,25-840
25,U.S. House,DEM,Steve Lindbeck,79,25-840
25,U.S. House,LIB,Jim McDermott,35,25-840
25,U.S. House,NA,Bernie Souphanavong,5,25-840
25,U.S. House,REP,Don Young,119,25-840
25,U.S. House,,Write-ins,0,25-840
25,State House,DEM,Pat Higgins,110,25-840
25,State House,REP,Charisse Millett,119,25-840
25,State House,,Write-ins,1,25-840
25,President,CON,Darrell Castle,7,25-845
25,President,DEM,Hillary Clinton,470,25-845
25,President,NA,Roque De La Fuente,2,25-845
25,President,LIB,Gary Johnson,68,25-845
25,President,GRE,Jill Stein,17,25-845
25,President,REP,Donald Trump,566,25-845
25,President,,Write-ins,33,25-845
25,U.S. Senate,NA,Breck Craig,6,25-845
25,U.S. Senate,NA,Ted Gianoutsos,8,25-845
25,U.S. Senate,DEM,Ray Metcalfe,140,25-845
25,U.S. Senate,LIB,Joe Miller,291,25-845
25,U.S. Senate,REP,Lisa Murkowski,537,25-845
25,U.S. Senate,NA,Margaret Stock,174,25-845
25,U.S. Senate,,Write-ins,5,25-845
25,U.S. House,DEM,Steve Lindbeck,458,25-845
25,U.S. House,LIB,Jim McDermott,106,25-845
25,U.S. House,NA,Bernie Souphanavong,31,25-845
25,U.S. House,REP,Don Young,552,25-845
25,U.S. House,,Write-ins,5,25-845
25,State House,DEM,Pat Higgins,548,25-845
25,State House,REP,Charisse Millett,569,25-845
25,State House,,Write-ins,6,25-845
25,President,CON,Darrell Castle,2,25-850
25,President,DEM,Hillary Clinton,406,25-850
25,President,NA,Roque De La Fuente,4,25-850
25,President,LIB,Gary Johnson,58,25-850
25,President,GRE,Jill Stein,9,25-850
25,President,REP,Donald Trump,411,25-850
25,President,,Write-ins,17,25-850
25,U.S. Senate,NA,Breck Craig,5,25-850
25,U.S. Senate,NA,Ted Gianoutsos,4,25-850
25,U.S. Senate,DEM,Ray Metcalfe,77,25-850
25,U.S. Senate,LIB,Joe Miller,210,25-850
25,U.S. Senate,REP,Lisa Murkowski,434,25-850
25,U.S. Senate,NA,Margaret Stock,175,25-850
25,U.S. Senate,,Write-ins,0,25-850
25,U.S. House,DEM,Steve Lindbeck,394,25-850
25,U.S. House,LIB,Jim McDermott,59,25-850
25,U.S. House,NA,Bernie Souphanavong,16,25-850
25,U.S. House,REP,Don Young,425,25-850
25,U.S. House,,Write-ins,2,25-850
25,State House,DEM,Pat Higgins,443,25-850
25,State House,REP,Charisse Millett,449,25-850
25,State House,,Write-ins,0,25-850
25,President,CON,Darrell Castle,9,25-855
25,President,DEM,Hillary Clinton,313,25-855
