district,office,party,candidate,votes,precinct
13,President,CON,Darrell Castle,5,13-235
13,President,DEM,Hillary Clinton,111,13-235
13,President,NA,Roque De La Fuente,1,13-235
13,President,LIB,Gary Johnson,30,13-235
13,President,GRE,Jill Stein,8,13-235
13,President,REP,Donald Trump,373,13-235
13,President,,Write-ins,19,13-235
13,U.S. Senate,NA,Breck Craig,8,13-235
13,U.S. Senate,NA,Ted Gianoutsos,8,13-235
13,U.S. Senate,DEM,Ray Metcalfe,34,13-235
13,U.S. Senate,LIB,Joe Miller,226,13-235
13,U.S. Senate,REP,Lisa Murkowski,216,13-235
13,U.S. Senate,NA,Margaret Stock,46,13-235
13,U.S. Senate,,Write-ins,2,13-235
13,U.S. House,DEM,Steve Lindbeck,142,13-235
13,U.S. House,LIB,Jim McDermott,74,13-235
13,U.S. House,NA,Bernie Souphanavong,18,13-235
13,U.S. House,REP,Don Young,305,13-235
13,U.S. House,,Write-ins,0,13-235
13,State House,REP,Dan Saddler,442,13-235
13,State House,,Write-ins,21,13-235
13,President,CON,Darrell Castle,3,13-240
13,President,DEM,Hillary Clinton,205,13-240
13,President,NA,Roque De La Fuente,3,13-240
13,President,LIB,Gary Johnson,57,13-240
13,President,GRE,Jill Stein,16,13-240
13,President,REP,Donald Trump,562,13-240
13,President,,Write-ins,30,13-240
13,U.S. Senate,NA,Breck Craig,2,13-240
13,U.S. Senate,NA,Ted Gianoutsos,9,13-240
13,U.S. Senate,DEM,Ray Metcalfe,51,13-240
13,U.S. Senate,LIB,Joe Miller,347,13-240
13,U.S. Senate,REP,Lisa Murkowski,389,13-240
13,U.S. Senate,NA,Margaret Stock,76,13-240
13,U.S. Senate,,Write-ins,0,13-240
13,U.S. House,DEM,Steve Lindbeck,200,13-240
13,U.S. House,LIB,Jim McDermott,108,13-240
13,U.S. House,NA,Bernie Souphanavong,29,13-240
13,U.S. House,REP,Don Young,529,13-240
13,U.S. House,,Write-ins,3,13-240
13,State House,REP,Dan Saddler,740,13-240
13,State House,,Write-ins,38,13-240
13,President,CON,Darrell Castle,6,13-245
13,President,DEM,Hillary Clinton,139,13-245
13,President,NA,Roque De La Fuente,1,13-245
13,President,LIB,Gary Johnson,66,13-245
13,President,GRE,Jill Stein,4,13-245
13,President,REP,Donald Trump,332,13-245
13,President,,Write-ins,15,13-245
13,U.S. Senate,NA,Breck Craig,4,13-245
13,U.S. Senate,NA,Ted Gianoutsos,8,13-245
13,U.S. Senate,DEM,Ray Metcalfe,81,13-245
13,U.S. Senate,LIB,Joe Miller,159,13-245
13,U.S. Senate,REP,Lisa Murkowski,268,13-245
13,U.S. Senate,NA,Margaret Stock,31,13-245
13,U.S. Senate,,Write-ins,2,13-245
13,U.S. House,DEM,Steve Lindbeck,139,13-245
13,U.S. House,LIB,Jim McDermott,68,13-245
13,U.S. House,NA,Bernie Souphanavong,20,13-245
13,U.S. House,REP,Don Young,313,13-245
13,U.S. House,,Write-ins,4,13-245
13,State House,REP,Dan Saddler,468,13-245
