district,office,party,candidate,votes,precinct
18,President,CON,Darrell Castle,2,18-435
18,President,DEM,Hillary Clinton,226,18-435
18,President,NA,Roque De La Fuente,0,18-435
18,President,LIB,Gary Johnson,12,18-435
18,President,GRE,Jill Stein,2,18-435
18,President,REP,Donald Trump,135,18-435
18,President,,Write-ins,10,18-435
18,U.S. Senate,NA,Breck Craig,1,18-435
18,U.S. Senate,NA,Ted Gianoutsos,2,18-435
18,U.S. Senate,DEM,Ray Metcalfe,32,18-435
18,U.S. Senate,LIB,Joe Miller,54,18-435
18,U.S. Senate,REP,Lisa Murkowski,183,18-435
18,U.S. Senate,NA,Margaret Stock,115,18-435
18,U.S. Senate,,Write-ins,1,18-435
18,U.S. House,DEM,Steve Lindbeck,215,18-435
18,U.S. House,LIB,Jim McDermott,14,18-435
18,U.S. House,NA,Bernie Souphanavong,8,18-435
18,U.S. House,REP,Don Young,149,18-435
18,U.S. House,,Write-ins,1,18-435
18,State House,DEM,Harriet Drummond,195,18-435
18,State House,REP,Michael Gordon,186,18-435
18,State House,,Write-ins,0,18-435
18,President,CON,Darrell Castle,2,18-440
18,President,DEM,Hillary Clinton,144,18-440
18,President,NA,Roque De La Fuente,0,18-440
18,President,LIB,Gary Johnson,20,18-440
18,President,GRE,Jill Stein,8,18-440
18,President,REP,Donald Trump,133,18-440
18,President,,Write-ins,7,18-440
18,U.S. Senate,NA,Breck Craig,2,18-440
18,U.S. Senate,NA,Ted Gianoutsos,4,18-440
18,U.S. Senate,DEM,Ray Metcalfe,46,18-440
18,U.S. Senate,LIB,Joe Miller,76,18-440
18,U.S. Senate,REP,Lisa Murkowski,117,18-440
18,U.S. Senate,NA,Margaret Stock,64,18-440
18,U.S. Senate,,Write-ins,1,18-440
18,U.S. House,DEM,Steve Lindbeck,146,18-440
18,U.S. House,LIB,Jim McDermott,35,18-440
18,U.S. House,NA,Bernie Souphanavong,13,18-440
18,U.S. House,REP,Don Young,114,18-440
18,U.S. House,,Write-ins,0,18-440
18,State House,DEM,Harriet Drummond,148,18-440
18,State House,REP,Michael Gordon,149,18-440
18,State House,,Write-ins,3,18-440
18,President,CON,Darrell Castle,4,18-445
18,President,DEM,Hillary Clinton,219,18-445
18,President,NA,Roque De La Fuente,2,18-445
18,President,LIB,Gary Johnson,37,18-445
18,President,GRE,Jill Stein,12,18-445
18,President,REP,Donald Trump,187,18-445
18,President,,Write-ins,12,18-445
18,U.S. Senate,NA,Breck Craig,5,18-445
18,U.S. Senate,NA,Ted Gianoutsos,2,18-445
18,U.S. Senate,DEM,Ray Metcalfe,72,18-445
18,U.S. Senate,LIB,Joe Miller,112,18-445
18,U.S. Senate,REP,Lisa Murkowski,183,18-445
18,U.S. Senate,NA,Margaret Stock,98,18-445
18,U.S. Senate,,Write-ins,3,18-445
18,U.S. House,DEM,Steve Lindbeck,218,18-445
18,U.S. House,LIB,Jim McDermott,53,18-445
18,U.S. House,NA,Bernie Souphanavong,20,18-445
18,U.S. House,REP,Don Young,175,18-445
18,U.S. House,,Write-ins,1,18-445
18,State House,DEM,Harriet Drummond,239,18-445
18,State House,REP,Michael Gordon,219,18-445
18,State House,,Write-ins,2,18-445
18,President,CON,Darrell Castle,4,18-450
18,President,DEM,Hillary Clinton,182,18-450
18,President,NA,Roque De La Fuente,1,18-450
18,President,LIB,Gary Johnson,26,18-450
18,President,GRE,Jill Stein,10,18-450
18,President,REP,Donald Trump,201,18-450
18,President,,Write-ins,9,18-450
18,U.S. Senate,NA,Breck Craig,4,18-450
18,U.S. Senate,NA,Ted Gianoutsos,3,18-450
18,U.S. Senate,DEM,Ray Metcalfe,69,18-450
18,U.S. Senate,LIB,Joe Miller,120,18-450
18,U.S. Senate,REP,Lisa Murkowski,170,18-450
18,U.S. Senate,NA,Margaret Stock,67,18-450
18,U.S. Senate,,Write-ins,0,18-450
18,U.S. House,DEM,Steve Lindbeck,166,18-450
18,U.S. House,LIB,Jim McDermott,45,18-450
18,U.S. House,NA,Bernie Souphanavong,25,18-450
18,U.S. House,REP,Don Young,189,18-450
18,U.S. House,,Write-ins,0,18-450
18,State House,DEM,Harriet Drummond,195,18-450
18,State House,REP,Michael Gordon,224,18-450
