district,office,party,candidate,votes,precinct
12,President,CON,Darrell Castle,4,12-200
12,President,DEM,Hillary Clinton,57,12-200
12,President,NA,Roque De La Fuente,0,12-200
12,President,LIB,Gary Johnson,30,12-200
12,President,GRE,Jill Stein,2,12-200
12,President,REP,Donald Trump,336,12-200
12,President,,Write-ins,8,12-200
12,U.S. Senate,NA,Breck Craig,0,12-200
12,U.S. Senate,NA,Ted Gianoutsos,1,12-200
12,U.S. Senate,DEM,Ray Metcalfe,17,12-200
12,U.S. Senate,LIB,Joe Miller,214,12-200
12,U.S. Senate,REP,Lisa Murkowski,176,12-200
12,U.S. Senate,NA,Margaret Stock,23,12-200
12,U.S. Senate,,Write-ins,1,12-200
12,U.S. House,DEM,Steve Lindbeck,71,12-200
12,U.S. House,LIB,Jim McDermott,61,12-200
12,U.S. House,NA,Bernie Souphanavong,9,12-200
12,U.S. House,REP,Don Young,289,12-200
12,U.S. House,,Write-ins,4,12-200
12,State Senate,NA,Tim Hale,88,12-200
12,State Senate,REP,Shelley Hughes,321,12-200
12,State Senate,,Write-ins,6,12-200
12,State House,REP,Cathy Tilton,313,12-200
12,State House,CON,Karen Perry,39,12-200
12,State House,DEM,Gretchen Wehmhoff,67,12-200
12,State House,,Write-ins,0,12-200
12,President,CON,Darrell Castle,2,12-205
12,President,DEM,Hillary Clinton,95,12-205
12,President,NA,Roque De La Fuente,4,12-205
12,President,LIB,Gary Johnson,27,12-205
12,President,GRE,Jill Stein,2,12-205
12,President,REP,Donald Trump,405,12-205
12,President,,Write-ins,13,12-205
12,U.S. Senate,NA,Breck Craig,4,12-205
12,U.S. Senate,NA,Ted Gianoutsos,5,12-205
12,U.S. Senate,DEM,Ray Metcalfe,26,12-205
12,U.S. Senate,LIB,Joe Miller,248,12-205
12,U.S. Senate,REP,Lisa Murkowski,210,12-205
12,U.S. Senate,NA,Margaret Stock,48,12-205
12,U.S. Senate,,Write-ins,2,12-205
12,U.S. House,DEM,Steve Lindbeck,98,12-205
12,U.S. House,LIB,Jim McDermott,72,12-205
12,U.S. House,NA,Bernie Souphanavong,15,12-205
12,U.S. House,REP,Don Young,353,12-205
12,U.S. House,,Write-ins,2,12-205
12,State Senate,NA,Tim Hale,132,12-205
12,State Senate,REP,Shelley Hughes,378,12-205
12,State Senate,,Write-ins,2,12-205
12,State House,REP,Cathy Tilton,365,12-205
12,State House,CON,Karen Perry,66,12-205
12,State House,DEM,Gretchen Wehmhoff,90,12-205
12,State House,,Write-ins,2,12-205
12,President,CON,Darrell Castle,8,12-210
12,President,DEM,Hillary Clinton,117,12-210
12,President,NA,Roque De La Fuente,1,12-210
12,President,LIB,Gary Johnson,53,12-210
12,President,GRE,Jill Stein,7,12-210
12,President,REP,Donald Trump,705,12-210
12,President,,Write-ins,17,12-210
12,U.S. Senate,NA,Breck Craig,8,12-210
12,U.S. Senate,NA,Ted Gianoutsos,3,12-210
12,U.S. Senate,DEM,Ray Metcalfe,61,12-210
12,U.S. Senate,LIB,Joe Miller,445,12-210
12,U.S. Senate,REP,Lisa Murkowski,334,12-210
12,U.S. Senate,NA,Margaret Stock,45,12-210
12,U.S. Senate,,Write-ins,3,12-210
12,U.S. House,DEM,Steve Lindbeck,175,12-210
12,U.S. House,LIB,Jim McDermott,126,12-210
12,U.S. House,NA,Bernie Souphanavong,22,12-210
12,U.S. House,REP,Don Young,559,12-210
12,U.S. House,,Write-ins,6,12-210
12,State Senate,NA,Tim Hale,170,12-210
12,State Senate,REP,Shelley Hughes,682,12-210
12,State Senate,,Write-ins,6,12-210
12,State House,REP,Cathy Tilton,632,12-210
12,State House,CON,Karen Perry,101,12-210
12,State House,DEM,Gretchen Wehmhoff,147,12-210
12,State House,,Write-ins,2,12-210
12,President,CON,Darrell Castle,14,12-220
12,President,DEM,Hillary Clinton,250,12-220
12,President,NA,Roque De La Fuente,6,12-220
12,President,LIB,Gary Johnson,74,12-220
12,President,GRE,Jill Stein,25,12-220
12,President,REP,Donald Trump,955,12-220
12,President,,Write-ins,38,12-220
12,U.S. Senate,NA,Breck Craig,13,12-220
12,U.S. Senate,NA,Ted Gianoutsos,5,12-220
12,U.S. Senate,DEM,Ray Metcalfe,79,12-220
12,U.S. Senate,LIB,Joe Miller,594,12-220
12,U.S. Senate,REP,Lisa Murkowski,542,12-220
12,U.S. Senate,NA,Margaret Stock,122,12-220
12,U.S. Senate,,Write-ins,0,12-220
12,U.S. House,DEM,Steve Lindbeck,271,12-220
12,U.S. House,LIB,Jim McDermott,172,12-220
12,U.S. House,NA,Bernie Souphanavong,57,12-220
12,U.S. House,REP,Don Young,827,12-220
12,U.S. House,,Write-ins,13,12-220
12,State Senate,NA,Tim Hale,409,12-220
12,State Senate,REP,Shelley Hughes,882,12-220
12,State Senate,,Write-ins,6,12-220
12,State House,REP,Cathy Tilton,841,12-220
12,State House,CON,Karen Perry,161,12-220
12,State House,DEM,Gretchen Wehmhoff,304,12-220
12,State House,,Write-ins,5,12-220
12,President,CON,Darrell Castle,11,12-225
12,President,DEM,Hillary Clinton,191,12-225
12,President,NA,Roque De La Fuente,2,12-225
12,President,LIB,Gary Johnson,56,12-225
12,President,GRE,Jill Stein,13,12-225
12,President,REP,Donald Trump,454,12-225
12,President,,Write-ins,16,12-225
12,U.S. Senate,NA,Breck Craig,4,12-225
12,U.S. Senate,NA,Ted Gianoutsos,6,12-225
12,U.S. Senate,DEM,Ray Metcalfe,69,12-225
12,U.S. Senate,LIB,Joe Miller,269,12-225
12,U.S. Senate,REP,Lisa Murkowski,315,12-225
12,U.S. Senate,NA,Margaret Stock,71,12-225
12,U.S. Senate,,Write-ins,4,12-225
12,U.S. House,DEM,Steve Lindbeck,216,12-225
12,U.S. House,LIB,Jim McDermott,84,12-225
12,U.S. House,NA,Bernie Souphanavong,13,12-225
12,U.S. House,REP,Don Young,420,12-225
12,U.S. House,,Write-ins,1,12-225
12,State Senate,NA,Tim Hale,224,12-225
12,State Senate,REP,Shelley Hughes,471,12-225
12,State Senate,,Write-ins,2,12-225
12,State House,REP,Cathy Tilton,422,12-225
12,State House,CON,Karen Perry,75,12-225
12,State House,DEM,Gretchen Wehmhoff,221,12-225
12,State House,,Write-ins,3,12-225
12,President,CON,Darrell Castle,12,12-230
12,President,DEM,Hillary Clinton,228,12-230
12,President,NA,Roque De La Fuente,6,12-230
12,President,LIB,Gary Johnson,79,12-230
12,President,GRE,Jill Stein,6,12-230
12,President,REP,Donald Trump,767,12-230
12,President,,Write-ins,42,12-230
12,U.S. Senate,NA,Breck Craig,9,12-230
12,U.S. Senate,NA,Ted Gianoutsos,11,12-230
12,U.S. Senate,DEM,Ray Metcalfe,59,12-230
12,U.S. Senate,LIB,Joe Miller,451,12-230
12,U.S. Senate,REP,Lisa Murkowski,512,12-230
12,U.S. Senate,NA,Margaret Stock,87,12-230
12,U.S. Senate,,Write-ins,2,12-230
12,U.S. House,DEM,Steve Lindbeck,249,12-230
12,U.S. House,LIB,Jim McDermott,121,12-230
12,U.S. House,NA,Bernie Souphanavong,32,12-230
12,U.S. House,REP,Don Young,710,12-230
12,U.S. House,,Write-ins,4,12-230
12,State Senate,NA,Tim Hale,278,12-230
12,State Senate,REP,Shelley Hughes,776,12-230
12,State Senate,,Write-ins,4,12-230
12,State House,REP,Cathy Tilton,690,12-230
12,State House,CON,Karen Perry,135,12-230
12,State House,DEM,Gretchen Wehmhoff,264,12-230
12,State House,,Write-ins,2,12-230
12,President,CON,Darrell Castle,9,12-233
12,President,DEM,Hillary Clinton,111,12-233
12,President,NA,Roque De La Fuente,0,12-233
12,President,LIB,Gary Johnson,31,12-233
12,President,GRE,Jill Stein,9,12-233
12,President,REP,Donald Trump,367,12-233
12,President,,Write-ins,13,12-233
12,U.S. Senate,NA,Breck Craig,4,12-233
12,U.S. Senate,NA,Ted Gianoutsos,5,12-233
12,U.S. Senate,DEM,Ray Metcalfe,34,12-233
12,U.S. Senate,LIB,Joe Miller,243,12-233
