district,office,party,candidate,votes,precinct
32,President,CON,Darrell Castle,2,32-800
32,President,DEM,Hillary Clinton,19,32-800
32,President,NA,Roque De La Fuente,1,32-800
32,President,LIB,Gary Johnson,0,32-800
32,President,GRE,Jill Stein,5,32-800
32,President,REP,Donald Trump,34,32-800
32,President,,Write-ins,0,32-800
32,U.S. Senate,NA,Breck Craig,2,32-800
32,U.S. Senate,NA,Ted Gianoutsos,0,32-800
32,U.S. Senate,DEM,Ray Metcalfe,4,32-800
32,U.S. Senate,LIB,Joe Miller,17,32-800
32,U.S. Senate,REP,Lisa Murkowski,29,32-800
32,U.S. Senate,NA,Margaret Stock,8,32-800
32,U.S. Senate,,Write-ins,0,32-800
32,U.S. House,DEM,Steve Lindbeck,13,32-800
32,U.S. House,LIB,Jim McDermott,10,32-800
32,U.S. House,NA,Bernie Souphanavong,3,32-800
32,U.S. House,REP,Don Young,34,32-800
32,U.S. House,,Write-ins,0,32-800
32,State Senate,REP,Gary Stevens,49,32-800
32,State Senate,,Write-ins,2,32-800
32,State House,NA,Duncan Fields,32,32-800
32,State House,REP,Louise Stutes,23,32-800
32,State House,DEM,Brent Watkins,5,32-800
32,State House,,Write-ins,0,32-800
32,President,CON,Darrell Castle,8,32-805
32,President,DEM,Hillary Clinton,246,32-805
32,President,NA,Roque De La Fuente,1,32-805
32,President,LIB,Gary Johnson,55,32-805
32,President,GRE,Jill Stein,30,32-805
32,President,REP,Donald Trump,286,32-805
32,President,,Write-ins,16,32-805
32,U.S. Senate,NA,Breck Craig,2,32-805
32,U.S. Senate,NA,Ted Gianoutsos,0,32-805
32,U.S. Senate,DEM,Ray Metcalfe,56,32-805
32,U.S. Senate,LIB,Joe Miller,142,32-805
32,U.S. Senate,REP,Lisa Murkowski,350,32-805
32,U.S. Senate,NA,Margaret Stock,91,32-805
32,U.S. Senate,,Write-ins,0,32-805
32,U.S. House,DEM,Steve Lindbeck,256,32-805
32,U.S. House,LIB,Jim McDermott,79,32-805
32,U.S. House,NA,Bernie Souphanavong,18,32-805
32,U.S. House,REP,Don Young,284,32-805
32,U.S. House,,Write-ins,1,32-805
32,State Senate,REP,Gary Stevens,499,32-805
32,State Senate,,Write-ins,6,32-805
32,State House,NA,Duncan Fields,194,32-805
32,State House,REP,Louise Stutes,314,32-805
32,State House,DEM,Brent Watkins,112,32-805
32,State House,,Write-ins,0,32-805
32,President,CON,Darrell Castle,3,32-810
32,President,DEM,Hillary Clinton,144,32-810
32,President,NA,Roque De La Fuente,0,32-810
32,President,LIB,Gary Johnson,41,32-810
32,President,GRE,Jill Stein,8,32-810
32,President,REP,Donald Trump,306,32-810
32,President,,Write-ins,16,32-810
32,U.S. Senate,NA,Breck Craig,7,32-810
32,U.S. Senate,NA,Ted Gianoutsos,7,32-810
32,U.S. Senate,DEM,Ray Metcalfe,34,32-810
32,U.S. Senate,LIB,Joe Miller,145,32-810
32,U.S. Senate,REP,Lisa Murkowski,229,32-810
32,U.S. Senate,NA,Margaret Stock,83,32-810
32,U.S. Senate,,Write-ins,3,32-810
32,U.S. House,DEM,Steve Lindbeck,149,32-810
