district,office,party,candidate,votes,precinct
10,President,CON,Darrell Castle,3,10-005
10,President,DEM,Hillary Clinton,72,10-005
10,President,NA,Roque De La Fuente,1,10-005
10,President,LIB,Gary Johnson,20,10-005
10,President,GRE,Jill Stein,8,10-005
10,President,REP,Donald Trump,275,10-005
10,President,,Write-ins,19,10-005
10,U.S. Senate,NA,Breck Craig,3,10-005
10,U.S. Senate,NA,Ted Gianoutsos,3,10-005
10,U.S. Senate,DEM,Ray Metcalfe,25,10-005
10,U.S. Senate,LIB,Joe Miller,174,10-005
10,U.S. Senate,REP,Lisa Murkowski,155,10-005
10,U.S. Senate,NA,Margaret Stock,36,10-005
10,U.S. Senate,,Write-ins,0,10-005
10,U.S. House,DEM,Steve Lindbeck,89,10-005
10,U.S. House,LIB,Jim McDermott,52,10-005
10,U.S. House,NA,Bernie Souphanavong,14,10-005
10,U.S. House,REP,Don Young,234,10-005
10,U.S. House,,Write-ins,1,10-005
10,State House,DEM,Patrici Faye-Brazel,88,10-005
10,State House,REP,David Eastman,292,10-005
10,State House,,Write-ins,0,10-005
10,President,CON,Darrell Castle,15,10-010
10,President,DEM,Hillary Clinton,98,10-010
10,President,NA,Roque De La Fuente,3,10-010
10,President,LIB,Gary Johnson,33,10-010
10,President,GRE,Jill Stein,7,10-010
10,President,REP,Donald Trump,508,10-010
10,President,,Write-ins,22,10-010
10,U.S. Senate,NA,Breck Craig,8,10-010
10,U.S. Senate,NA,Ted Gianoutsos,3,10-010
10,U.S. Senate,DEM,Ray Metcalfe,36,10-010
10,U.S. Senate,LIB,Joe Miller,321,10-010
10,U.S. Senate,REP,Lisa Murkowski,272,10-010
10,U.S. Senate,NA,Margaret Stock,39,10-010
10,U.S. Senate,,Write-ins,3,10-010
10,U.S. House,DEM,Steve Lindbeck,126,10-010
10,U.S. House,LIB,Jim McDermott,105,10-010
10,U.S. House,NA,Bernie Souphanavong,24,10-010
10,U.S. House,REP,Don Young,408,10-010
10,U.S. House,,Write-ins,7,10-010
10,State House,DEM,Patrici Faye-Brazel,139,10-010
10,State House,REP,David Eastman,512,10-010
10,State House,,Write-ins,3,10-010
10,President,CON,Darrell Castle,14,10-015
10,President,DEM,Hillary Clinton,116,10-015
10,President,NA,Roque De La Fuente,1,10-015
10,President,LIB,Gary Johnson,47,10-015
10,President,GRE,Jill Stein,16,10-015
10,President,REP,Donald Trump,634,10-015
10,President,,Write-ins,25,10-015
10,U.S. Senate,NA,Breck Craig,5,10-015
10,U.S. Senate,NA,Ted Gianoutsos,3,10-015
10,U.S. Senate,DEM,Ray Metcalfe,39,10-015
10,U.S. Senate,LIB,Joe Miller,426,10-015
10,U.S. Senate,REP,Lisa Murkowski,319,10-015
10,U.S. Senate,NA,Margaret Stock,60,10-015
10,U.S. Senate,,Write-ins,0,10-015
10,U.S. House,DEM,Steve Lindbeck,174,10-015
10,U.S. House,LIB,Jim McDermott,122,10-015
10,U.S. House,NA,Bernie Souphanavong,33,10-015
10,U.S. House,REP,Don Young,504,10-015
10,U.S. House,,Write-ins,7,10-015
10,State House,DEM,Patrici Faye-Brazel,159,10-015
10,State House,REP,David Eastman,658,10-015
10,State House,,Write-ins,8,10-015
10,President,CON,Darrell Castle,10,10-020
10,President,DEM,Hillary Clinton,80,10-020
10,President,NA,Roque De La Fuente,0,10-020
10,President,LIB,Gary Johnson,26,10-020
10,President,GRE,Jill Stein,4,10-020
10,President,REP,Donald Trump,396,10-020
10,President,,Write-ins,7,10-020
10,U.S. Senate,NA,Breck Craig,7,10-020
10,U.S. Senate,NA,Ted Gianoutsos,3,10-020
10,U.S. Senate,DEM,Ray Metcalfe,28,10-020
10,U.S. Senate,LIB,Joe Miller,258,10-020
10,U.S. Senate,REP,Lisa Murkowski,190,10-020
10,U.S. Senate,NA,Margaret Stock,31,10-020
10,U.S. Senate,,Write-ins,1,10-020
10,U.S. House,DEM,Steve Lindbeck,117,10-020
10,U.S. House,LIB,Jim McDermott,73,10-020
10,U.S. House,NA,Bernie Souphanavong,27,10-020
10,U.S. House,REP,Don Young,294,10-020
10,U.S. House,,Write-ins,5,10-020
10,State House,DEM,Patrici Faye-Brazel,104,10-020
10,State House,REP,David Eastman,397,10-020
10,State House,,Write-ins,4,10-020
10,President,CON,Darrell Castle,3,10-025
10,President,DEM,Hillary Clinton,56,10-025
10,President,NA,Roque De La Fuente,2,10-025
10,President,LIB,Gary Johnson,29,10-025
10,President,GRE,Jill Stein,10,10-025
10,President,REP,Donald Trump,310,10-025
10,President,,Write-ins,9,10-025
10,U.S. Senate,NA,Breck Craig,6,10-025
10,U.S. Senate,NA,Ted Gianoutsos,0,10-025
10,U.S. Senate,DEM,Ray Metcalfe,15,10-025
10,U.S. Senate,LIB,Joe Miller,224,10-025
10,U.S. Senate,REP,Lisa Murkowski,141,10-025
10,U.S. Senate,NA,Margaret Stock,30,10-025
10,U.S. Senate,,Write-ins,0,10-025
10,U.S. House,DEM,Steve Lindbeck,78,10-025
10,U.S. House,LIB,Jim McDermott,65,10-025
10,U.S. House,NA,Bernie Souphanavong,16,10-025
10,U.S. House,REP,Don Young,251,10-025
10,U.S. House,,Write-ins,2,10-025
10,State House,DEM,Patrici Faye-Brazel,75,10-025
10,State House,REP,David Eastman,320,10-025
10,State House,,Write-ins,5,10-025
10,President,CON,Darrell Castle,3,10-030
10,President,DEM,Hillary Clinton,95,10-030
10,President,NA,Roque De La Fuente,2,10-030
10,President,LIB,Gary Johnson,37,10-030
10,President,GRE,Jill Stein,10,10-030
10,President,REP,Donald Trump,300,10-030
10,President,,Write-ins,6,10-030
10,U.S. Senate,NA,Breck Craig,9,10-030
10,U.S. Senate,NA,Ted Gianoutsos,6,10-030
10,U.S. Senate,DEM,Ray Metcalfe,44,10-030
10,U.S. Senate,LIB,Joe Miller,186,10-030
10,U.S. Senate,REP,Lisa Murkowski,162,10-030
10,U.S. Senate,NA,Margaret Stock,40,10-030
10,U.S. Senate,,Write-ins,2,10-030
10,U.S. House,DEM,Steve Lindbeck,109,10-030
10,U.S. House,LIB,Jim McDermott,48,10-030
10,U.S. House,NA,Bernie Souphanavong,15,10-030
10,U.S. House,REP,Don Young,266,10-030
10,U.S. House,,Write-ins,2,10-030
10,State House,DEM,Patrici Faye-Brazel,104,10-030
10,State House,REP,David Eastman,321,10-030
10,State House,,Write-ins,5,10-030
10,President,CON,Darrell Castle,3,10-035
