district,office,party,candidate,votes,precinct
6,President,CON,Darrell Castle,0,06-005
6,President,DEM,Hillary Clinton,12,06-005
6,President,NA,Roque De La Fuente,1,06-005
6,President,LIB,Gary Johnson,2,06-005
6,President,GRE,Jill Stein,0,06-005
6,President,REP,Donald Trump,48,06-005
6,President,,Write-ins,3,06-005
6,U.S. Senate,NA,Breck Craig,1,06-005
6,U.S. Senate,NA,Ted Gianoutsos,1,06-005
6,U.S. Senate,DEM,Ray Metcalfe,5,06-005
6,U.S. Senate,LIB,Joe Miller,30,06-005
6,U.S. Senate,REP,Lisa Murkowski,23,06-005
6,U.S. Senate,NA,Margaret Stock,6,06-005
6,U.S. Senate,,Write-ins,0,06-005
6,U.S. House,DEM,Steve Lindbeck,17,06-005
6,U.S. House,LIB,Jim McDermott,6,06-005
6,U.S. House,NA,Bernie Souphanavong,6,06-005
6,U.S. House,REP,Don Young,35,06-005
6,U.S. House,,Write-ins,0,06-005
6,State House,REP,David Talerico,57,06-005
6,State House,DEM,Jason Land,7,06-005
6,State House,,Write-ins,0,06-005
6,President,CON,Darrell Castle,2,06-007
6,President,DEM,Hillary Clinton,58,06-007
6,President,NA,Roque De La Fuente,0,06-007
6,President,LIB,Gary Johnson,2,06-007
6,President,GRE,Jill Stein,1,06-007
6,President,REP,Donald Trump,1,06-007
6,President,,Write-ins,0,06-007
6,U.S. Senate,NA,Breck Craig,1,06-007
6,U.S. Senate,NA,Ted Gianoutsos,0,06-007
6,U.S. Senate,DEM,Ray Metcalfe,16,06-007
6,U.S. Senate,LIB,Joe Miller,15,06-007
6,U.S. Senate,REP,Lisa Murkowski,20,06-007
6,U.S. Senate,NA,Margaret Stock,12,06-007
6,U.S. Senate,,Write-ins,0,06-007
6,U.S. House,DEM,Steve Lindbeck,43,06-007
6,U.S. House,LIB,Jim McDermott,4,06-007
6,U.S. House,NA,Bernie Souphanavong,3,06-007
6,U.S. House,REP,Don Young,13,06-007
6,U.S. House,,Write-ins,0,06-007
6,State House,REP,David Talerico,4,06-007
6,State House,DEM,Jason Land,56,06-007
6,State House,,Write-ins,0,06-007
6,President,CON,Darrell Castle,1,06-010
6,President,DEM,Hillary Clinton,23,06-010
6,President,NA,Roque De La Fuente,0,06-010
6,President,LIB,Gary Johnson,1,06-010
6,President,GRE,Jill Stein,0,06-010
6,President,REP,Donald Trump,4,06-010
6,President,,Write-ins,0,06-010
6,U.S. Senate,NA,Breck Craig,0,06-010
6,U.S. Senate,NA,Ted Gianoutsos,0,06-010
6,U.S. Senate,DEM,Ray Metcalfe,1,06-010
6,U.S. Senate,LIB,Joe Miller,7,06-010
6,U.S. Senate,REP,Lisa Murkowski,15,06-010
6,U.S. Senate,NA,Margaret Stock,4,06-010
6,U.S. Senate,,Write-ins,0,06-010
6,U.S. House,DEM,Steve Lindbeck,11,06-010
6,U.S. House,LIB,Jim McDermott,2,06-010
6,U.S. House,NA,Bernie Souphanavong,1,06-010
6,U.S. House,REP,Don Young,13,06-010
6,U.S. House,,Write-ins,0,06-010
6,State House,REP,David Talerico,8,06-010
6,State House,DEM,Jason Land,13,06-010
6,State House,,Write-ins,0,06-010
6,President,CON,Darrell Castle,1,06-012
6,President,DEM,Hillary Clinton,32,06-012
6,President,NA,Roque De La Fuente,1,06-012
6,President,LIB,Gary Johnson,3,06-012
6,President,GRE,Jill Stein,4,06-012
6,President,REP,Donald Trump,58,06-012
6,President,,Write-ins,1,06-012
6,U.S. Senate,NA,Breck Craig,1,06-012
6,U.S. Senate,NA,Ted Gianoutsos,0,06-012
6,U.S. Senate,DEM,Ray Metcalfe,6,06-012
6,U.S. Senate,LIB,Joe Miller,26,06-012
6,U.S. Senate,REP,Lisa Murkowski,45,06-012
6,U.S. Senate,NA,Margaret Stock,22,06-012
6,U.S. Senate,,Write-ins,0,06-012
6,U.S. House,DEM,Steve Lindbeck,33,06-012
6,U.S. House,LIB,Jim McDermott,11,06-012
6,U.S. House,NA,Bernie Souphanavong,6,06-012
6,U.S. House,REP,Don Young,49,06-012
6,U.S. House,,Write-ins,0,06-012
6,State House,REP,David Talerico,73,06-012
6,State House,DEM,Jason Land,25,06-012
6,State House,,Write-ins,0,06-012
6,President,CON,Darrell Castle,0,06-015
6,President,DEM,Hillary Clinton,8,06-015
6,President,NA,Roque De La Fuente,0,06-015
6,President,LIB,Gary Johnson,1,06-015
6,President,GRE,Jill Stein,0,06-015
6,President,REP,Donald Trump,36,06-015
6,President,,Write-ins,1,06-015
6,U.S. Senate,NA,Breck Craig,2,06-015
6,U.S. Senate,NA,Ted Gianoutsos,0,06-015
6,U.S. Senate,DEM,Ray Metcalfe,2,06-015
6,U.S. Senate,LIB,Joe Miller,9,06-015
6,U.S. Senate,REP,Lisa Murkowski,28,06-015
6,U.S. Senate,NA,Margaret Stock,4,06-015
6,U.S. Senate,,Write-ins,1,06-015
6,U.S. House,DEM,Steve Lindbeck,7,06-015
6,U.S. House,LIB,Jim McDermott,3,06-015
6,U.S. House,NA,Bernie Souphanavong,3,06-015
6,U.S. House,REP,Don Young,32,06-015
6,U.S. House,,Write-ins,1,06-015
6,State House,REP,David Talerico,34,06-015
6,State House,DEM,Jason Land,8,06-015
