district,office,party,candidate,votes,precinct
28,President,CON,Darrell Castle,5,28-105
28,President,DEM,Hillary Clinton,296,28-105
28,President,NA,Roque De La Fuente,3,28-105
28,President,LIB,Gary Johnson,56,28-105
28,President,GRE,Jill Stein,7,28-105
28,President,REP,Donald Trump,425,28-105
28,President,,Write-ins,29,28-105
28,U.S. Senate,NA,Breck Craig,3,28-105
28,U.S. Senate,NA,Ted Gianoutsos,4,28-105
28,U.S. Senate,DEM,Ray Metcalfe,51,28-105
28,U.S. Senate,LIB,Joe Miller,180,28-105
28,U.S. Senate,REP,Lisa Murkowski,447,28-105
28,U.S. Senate,NA,Margaret Stock,136,28-105
28,U.S. Senate,,Write-ins,3,28-105
28,U.S. House,DEM,Steve Lindbeck,302,28-105
28,U.S. House,LIB,Jim McDermott,63,28-105
28,U.S. House,NA,Bernie Souphanavong,16,28-105
28,U.S. House,REP,Don Young,434,28-105
28,U.S. House,,Write-ins,1,28-105
28,State Senate,NA,Vince Beltrami,339,28-105
28,State Senate,REP,Catherine Giessel,449,28-105
28,State Senate,,Write-ins,4,28-105
28,State House,REP,Jennifer Johnston,474,28-105
28,State House,DEM,Shirley Cote,325,28-105
28,State House,,Write-ins,2,28-105
28,President,CON,Darrell Castle,9,28-110
28,President,DEM,Hillary Clinton,421,28-110
28,President,NA,Roque De La Fuente,2,28-110
28,President,LIB,Gary Johnson,80,28-110
28,President,GRE,Jill Stein,12,28-110
28,President,REP,Donald Trump,630,28-110
28,President,,Write-ins,31,28-110
28,U.S. Senate,NA,Breck Craig,4,28-110
28,U.S. Senate,NA,Ted Gianoutsos,1,28-110
28,U.S. Senate,DEM,Ray Metcalfe,78,28-110
28,U.S. Senate,LIB,Joe Miller,336,28-110
28,U.S. Senate,REP,Lisa Murkowski,571,28-110
28,U.S. Senate,NA,Margaret Stock,200,28-110
28,U.S. Senate,,Write-ins,2,28-110
28,U.S. House,DEM,Steve Lindbeck,437,28-110
28,U.S. House,LIB,Jim McDermott,92,28-110
28,U.S. House,NA,Bernie Souphanavong,18,28-110
28,U.S. House,REP,Don Young,638,28-110
28,U.S. House,,Write-ins,1,28-110
28,State Senate,NA,Vince Beltrami,518,28-110
28,State Senate,REP,Catherine Giessel,634,28-110
28,State Senate,,Write-ins,3,28-110
28,State House,REP,Jennifer Johnston,679,28-110
28,State House,DEM,Shirley Cote,448,28-110
28,State House,,Write-ins,3,28-110
28,President,CON,Darrell Castle,6,28-115
28,President,DEM,Hillary Clinton,211,28-115
28,President,NA,Roque De La Fuente,1,28-115
28,President,LIB,Gary Johnson,52,28-115
28,President,GRE,Jill Stein,6,28-115
28,President,REP,Donald Trump,445,28-115
28,President,,Write-ins,33,28-115
28,U.S. Senate,NA,Breck Craig,5,28-115
28,U.S. Senate,NA,Ted Gianoutsos,7,28-115
28,U.S. Senate,DEM,Ray Metcalfe,39,28-115
28,U.S. Senate,LIB,Joe Miller,185,28-115
28,U.S. Senate,REP,Lisa Murkowski,437,28-115
28,U.S. Senate,NA,Margaret Stock,85,28-115
28,U.S. Senate,,Write-ins,0,28-115
28,U.S. House,DEM,Steve Lindbeck,216,28-115
28,U.S. House,LIB,Jim McDermott,41,28-115
28,U.S. House,NA,Bernie Souphanavong,11,28-115
28,U.S. House,REP,Don Young,482,28-115
28,U.S. House,,Write-ins,2,28-115
28,State Senate,NA,Vince Beltrami,241,28-115
28,State Senate,REP,Catherine Giessel,485,28-115
28,State Senate,,Write-ins,4,28-115
28,State House,REP,Jennifer Johnston,487,28-115
28,State House,DEM,Shirley Cote,231,28-115
28,State House,,Write-ins,3,28-115
28,President,CON,Darrell Castle,2,28-120
28,President,DEM,Hillary Clinton,287,28-120
28,President,NA,Roque De La Fuente,3,28-120
28,President,LIB,Gary Johnson,45,28-120
28,President,GRE,Jill Stein,14,28-120
28,President,REP,Donald Trump,477,28-120
28,President,,Write-ins,12,28-120
