district,office,party,candidate,votes,precinct
23,President,CON,Darrell Castle,3,23-735
23,President,DEM,Hillary Clinton,167,23-735
23,President,NA,Roque De La Fuente,2,23-735
23,President,LIB,Gary Johnson,20,23-735
23,President,GRE,Jill Stein,7,23-735
23,President,REP,Donald Trump,186,23-735
23,President,,Write-ins,9,23-735
23,U.S. Senate,NA,Breck Craig,4,23-735
23,U.S. Senate,NA,Ted Gianoutsos,1,23-735
23,U.S. Senate,DEM,Ray Metcalfe,51,23-735
23,U.S. Senate,LIB,Joe Miller,104,23-735
23,U.S. Senate,REP,Lisa Murkowski,180,23-735
23,U.S. Senate,NA,Margaret Stock,53,23-735
23,U.S. Senate,,Write-ins,2,23-735
23,U.S. House,DEM,Steve Lindbeck,142,23-735
23,U.S. House,LIB,Jim McDermott,43,23-735
23,U.S. House,NA,Bernie Souphanavong,13,23-735
23,U.S. House,REP,Don Young,190,23-735
23,U.S. House,,Write-ins,2,23-735
23,State Senate,NA,Tom Johnson,44,23-735
23,State Senate,DEM,Forrest McDonald,168,23-735
23,State Senate,REP,Natasha Von Imhof,155,23-735
23,State Senate,,Write-ins,4,23-735
23,State House,DEM,Chris Tuck,231,23-735
23,State House,REP,Timothy Huit,143,23-735
23,State House,,Write-ins,3,23-735
23,President,CON,Darrell Castle,12,23-740
23,President,DEM,Hillary Clinton,274,23-740
23,President,NA,Roque De La Fuente,1,23-740
23,President,LIB,Gary Johnson,44,23-740
23,President,GRE,Jill Stein,11,23-740
23,President,REP,Donald Trump,324,23-740
23,President,,Write-ins,23,23-740
23,U.S. Senate,NA,Breck Craig,8,23-740
23,U.S. Senate,NA,Ted Gianoutsos,3,23-740
23,U.S. Senate,DEM,Ray Metcalfe,92,23-740
23,U.S. Senate,LIB,Joe Miller,174,23-740
23,U.S. Senate,REP,Lisa Murkowski,286,23-740
23,U.S. Senate,NA,Margaret Stock,120,23-740
23,U.S. Senate,,Write-ins,1,23-740
23,U.S. House,DEM,Steve Lindbeck,292,23-740
23,U.S. House,LIB,Jim McDermott,47,23-740
23,U.S. House,NA,Bernie Souphanavong,21,23-740
23,U.S. House,REP,Don Young,310,23-740
23,U.S. House,,Write-ins,4,23-740
23,State Senate,NA,Tom Johnson,64,23-740
23,State Senate,DEM,Forrest McDonald,306,23-740
23,State Senate,REP,Natasha Von Imhof,289,23-740
23,State Senate,,Write-ins,4,23-740
23,State House,DEM,Chris Tuck,359,23-740
23,State House,REP,Timothy Huit,299,23-740
23,State House,,Write-ins,1,23-740
23,President,CON,Darrell Castle,4,23-745
23,President,DEM,Hillary Clinton,144,23-745
23,President,NA,Roque De La Fuente,3,23-745
23,President,LIB,Gary Johnson,26,23-745
23,President,GRE,Jill Stein,6,23-745
23,President,REP,Donald Trump,161,23-745
23,President,,Write-ins,10,23-745
23,U.S. Senate,NA,Breck Craig,4,23-745
23,U.S. Senate,NA,Ted Gianoutsos,1,23-745
23,U.S. Senate,DEM,Ray Metcalfe,46,23-745
