district,office,party,candidate,votes,precinct
22,President,CON,Darrell Castle,4,22-640
22,President,DEM,Hillary Clinton,303,22-640
22,President,NA,Roque De La Fuente,4,22-640
22,President,LIB,Gary Johnson,50,22-640
22,President,GRE,Jill Stein,23,22-640
22,President,REP,Donald Trump,523,22-640
22,President,,Write-ins,29,22-640
22,U.S. Senate,NA,Breck Craig,10,22-640
22,U.S. Senate,NA,Ted Gianoutsos,4,22-640
22,U.S. Senate,DEM,Ray Metcalfe,95,22-640
22,U.S. Senate,LIB,Joe Miller,283,22-640
22,U.S. Senate,REP,Lisa Murkowski,428,22-640
22,U.S. Senate,NA,Margaret Stock,111,22-640
22,U.S. Senate,,Write-ins,3,22-640
22,U.S. House,DEM,Steve Lindbeck,301,22-640
22,U.S. House,LIB,Jim McDermott,109,22-640
22,U.S. House,NA,Bernie Souphanavong,29,22-640
22,U.S. House,REP,Don Young,476,22-640
22,U.S. House,,Write-ins,5,22-640
22,State House,AI,Dustin Darden,116,22-640
22,State House,REP,Liz Vazquez,435,22-640
22,State House,NA,Jason Grenn,351,22-640
22,State House,,Write-ins,2,22-640
22,President,CON,Darrell Castle,4,22-645
22,President,DEM,Hillary Clinton,481,22-645
22,President,NA,Roque De La Fuente,6,22-645
22,President,LIB,Gary Johnson,70,22-645
22,President,GRE,Jill Stein,6,22-645
22,President,REP,Donald Trump,758,22-645
22,President,,Write-ins,37,22-645
22,U.S. Senate,NA,Breck Craig,9,22-645
22,U.S. Senate,NA,Ted Gianoutsos,2,22-645
22,U.S. Senate,DEM,Ray Metcalfe,95,22-645
22,U.S. Senate,LIB,Joe Miller,312,22-645
22,U.S. Senate,REP,Lisa Murkowski,757,22-645
22,U.S. Senate,NA,Margaret Stock,188,22-645
22,U.S. Senate,,Write-ins,0,22-645
22,U.S. House,DEM,Steve Lindbeck,463,22-645
22,U.S. House,LIB,Jim McDermott,89,22-645
22,U.S. House,NA,Bernie Souphanavong,29,22-645
22,U.S. House,REP,Don Young,769,22-645
22,U.S. House,,Write-ins,0,22-645
22,State House,AI,Dustin Darden,91,22-645
22,State House,REP,Liz Vazquez,578,22-645
22,State House,NA,Jason Grenn,668,22-645
22,State House,,Write-ins,1,22-645
22,President,CON,Darrell Castle,6,22-650
22,President,DEM,Hillary Clinton,229,22-650
22,President,NA,Roque De La Fuente,4,22-650
22,President,LIB,Gary Johnson,37,22-650
22,President,GRE,Jill Stein,8,22-650
22,President,REP,Donald Trump,293,22-650
22,President,,Write-ins,24,22-650
22,U.S. Senate,NA,Breck Craig,6,22-650
22,U.S. Senate,NA,Ted Gianoutsos,2,22-650
22,U.S. Senate,DEM,Ray Metcalfe,68,22-650
22,U.S. Senate,LIB,Joe Miller,160,22-650
22,U.S. Senate,REP,Lisa Murkowski,292,22-650
22,U.S. Senate,NA,Margaret Stock,66,22-650
22,U.S. Senate,,Write-ins,0,22-650
22,U.S. House,DEM,Steve Lindbeck,215,22-650
22,U.S. House,LIB,Jim McDermott,62,22-650
22,U.S. House,NA,Bernie Souphanavong,18,22-650
22,U.S. House,REP,Don Young,294,22-650
22,U.S. House,,Write-ins,1,22-650
22,State House,AI,Dustin Darden,61,22-650
22,State House,REP,Liz Vazquez,263,22-650
22,State House,NA,Jason Grenn,253,22-650
22,State House,,Write-ins,2,22-650
22,President,CON,Darrell Castle,8,22-655
22,President,DEM,Hillary Clinton,240,22-655
22,President,NA,Roque De La Fuente,6,22-655
22,President,LIB,Gary Johnson,36,22-655
22,President,GRE,Jill Stein,11,22-655
22,President,REP,Donald Trump,329,22-655
22,President,,Write-ins,16,22-655
22,U.S. Senate,NA,Breck Craig,8,22-655
22,U.S. Senate,NA,Ted Gianoutsos,0,22-655
22,U.S. Senate,DEM,Ray Metcalfe,90,22-655
22,U.S. Senate,LIB,Joe Miller,198,22-655
22,U.S. Senate,REP,Lisa Murkowski,281,22-655
22,U.S. Senate,NA,Margaret Stock,67,22-655
22,U.S. Senate,,Write-ins,0,22-655
22,U.S. House,DEM,Steve Lindbeck,243,22-655
22,U.S. House,LIB,Jim McDermott,67,22-655
22,U.S. House,NA,Bernie Souphanavong,18,22-655
22,U.S. House,REP,Don Young,303,22-655
22,U.S. House,,Write-ins,3,22-655
22,State House,AI,Dustin Darden,79,22-655
22,State House,REP,Liz Vazquez,295,22-655
22,State House,NA,Jason Grenn,252,22-655
22,State House,,Write-ins,0,22-655
22,President,CON,Darrell Castle,6,22-660
22,President,DEM,Hillary Clinton,431,22-660
22,President,NA,Roque De La Fuente,3,22-660
22,President,LIB,Gary Johnson,45,22-660
22,President,GRE,Jill Stein,18,22-660
22,President,REP,Donald Trump,522,22-660
22,President,,Write-ins,25,22-660
22,U.S. Senate,NA,Breck Craig,7,22-660
22,U.S. Senate,NA,Ted Gianoutsos,4,22-660
22,U.S. Senate,DEM,Ray Metcalfe,90,22-660
22,U.S. Senate,LIB,Joe Miller,259,22-660
22,U.S. Senate,REP,Lisa Murkowski,533,22-660
22,U.S. Senate,NA,Margaret Stock,147,22-660
22,U.S. Senate,,Write-ins,0,22-660
22,U.S. House,DEM,Steve Lindbeck,382,22-660
22,U.S. House,LIB,Jim McDermott,73,22-660
22,U.S. House,NA,Bernie Souphanavong,23,22-660
22,U.S. House,REP,Don Young,552,22-660
22,U.S. House,,Write-ins,2,22-660
22,State House,AI,Dustin Darden,86,22-660
22,State House,REP,Liz Vazquez,442,22-660
22,State House,NA,Jason Grenn,491,22-660
22,State House,,Write-ins,2,22-660
22,President,CON,Darrell Castle,4,22-665
22,President,DEM,Hillary Clinton,267,22-665
22,President,NA,Roque De La Fuente,1,22-665
22,President,LIB,Gary Johnson,42,22-665
22,President,GRE,Jill Stein,12,22-665
22,President,REP,Donald Trump,366,22-665
22,President,,Write-ins,23,22-665
22,U.S. Senate,NA,Breck Craig,5,22-665
22,U.S. Senate,NA,Ted Gianoutsos,6,22-665
22,U.S. Senate,DEM,Ray Metcalfe,93,22-665
22,U.S. Senate,LIB,Joe Miller,180,22-665
22,U.S. Senate,REP,Lisa Murkowski,334,22-665
22,U.S. Senate,NA,Margaret Stock,100,22-665
22,U.S. Senate,,Write-ins,1,22-665
22,U.S. House,DEM,Steve Lindbeck,270,22-665
22,U.S. House,LIB,Jim McDermott,63,22-665
22,U.S. House,NA,Bernie Souphanavong,18,22-665
22,U.S. House,REP,Don Young,356,22-665
22,U.S. House,,Write-ins,1,22-665
22,State House,AI,Dustin Darden,70,22-665
22,State House,REP,Liz Vazquez,283,22-665
22,State House,NA,Jason Grenn,349,22-665
22,State House,,Write-ins,2,22-665
22,President,CON,Darrell Castle,3,22-670
22,President,DEM,Hillary Clinton,147,22-670
22,President,NA,Roque De La Fuente,2,22-670
22,President,LIB,Gary Johnson,26,22-670
22,President,GRE,Jill Stein,2,22-670
22,President,REP,Donald Trump,202,22-670
22,President,,Write-ins,6,22-670
22,U.S. Senate,NA,Breck Craig,5,22-670
