district,office,party,candidate,votes,precinct
15,President,CON,Darrell Castle,3,15-300
15,President,DEM,Hillary Clinton,112,15-300
15,President,NA,Roque De La Fuente,0,15-300
15,President,LIB,Gary Johnson,50,15-300
15,President,GRE,Jill Stein,10,15-300
15,President,REP,Donald Trump,327,15-300
15,President,,Write-ins,13,15-300
15,U.S. Senate,NA,Breck Craig,7,15-300
15,U.S. Senate,NA,Ted Gianoutsos,6,15-300
15,U.S. Senate,DEM,Ray Metcalfe,66,15-300
15,U.S. Senate,LIB,Joe Miller,148,15-300
15,U.S. Senate,REP,Lisa Murkowski,250,15-300
15,U.S. Senate,NA,Margaret Stock,22,15-300
15,U.S. Senate,,Write-ins,1,15-300
15,U.S. House,DEM,Steve Lindbeck,129,15-300
15,U.S. House,LIB,Jim McDermott,58,15-300
15,U.S. House,NA,Bernie Souphanavong,19,15-300
15,U.S. House,REP,Don Young,283,15-300
15,U.S. House,,Write-ins,4,15-300
15,State Senate,DEM,Bill Wielechowski,153,15-300
15,State Senate,REP,Kevin Kastner,328,15-300
15,State Senate,,Write-ins,0,15-300
15,State House,REP,Gabrielle LeDoux,356,15-300
15,State House,DEM,Patrick McCormack,122,15-300
15,State House,,Write-ins,3,15-300
15,President,CON,Darrell Castle,6,15-305
15,President,DEM,Hillary Clinton,268,15-305
15,President,NA,Roque De La Fuente,5,15-305
15,President,LIB,Gary Johnson,44,15-305
15,President,GRE,Jill Stein,10,15-305
15,President,REP,Donald Trump,411,15-305
15,President,,Write-ins,13,15-305
15,U.S. Senate,NA,Breck Craig,5,15-305
15,U.S. Senate,NA,Ted Gianoutsos,7,15-305
15,U.S. Senate,DEM,Ray Metcalfe,100,15-305
15,U.S. Senate,LIB,Joe Miller,232,15-305
15,U.S. Senate,REP,Lisa Murkowski,320,15-305
15,U.S. Senate,NA,Margaret Stock,87,15-305
15,U.S. Senate,,Write-ins,1,15-305
15,U.S. House,DEM,Steve Lindbeck,256,15-305
15,U.S. House,LIB,Jim McDermott,68,15-305
15,U.S. House,NA,Bernie Souphanavong,29,15-305
15,U.S. House,REP,Don Young,391,15-305
15,U.S. House,,Write-ins,0,15-305
15,State Senate,DEM,Bill Wielechowski,405,15-305
15,State Senate,REP,Kevin Kastner,320,15-305
15,State Senate,,Write-ins,0,15-305
15,State House,REP,Gabrielle LeDoux,478,15-305
15,State House,DEM,Patrick McCormack,252,15-305
15,State House,,Write-ins,3,15-305
15,President,CON,Darrell Castle,6,15-310
15,President,DEM,Hillary Clinton,228,15-310
15,President,NA,Roque De La Fuente,8,15-310
15,President,LIB,Gary Johnson,19,15-310
15,President,GRE,Jill Stein,16,15-310
15,President,REP,Donald Trump,252,15-310
15,President,,Write-ins,15,15-310
15,U.S. Senate,NA,Breck Craig,11,15-310
15,U.S. Senate,NA,Ted Gianoutsos,1,15-310
15,U.S. Senate,DEM,Ray Metcalfe,88,15-310
15,U.S. Senate,LIB,Joe Miller,169,15-310
15,U.S. Senate,REP,Lisa Murkowski,207,15-310
15,U.S. Senate,NA,Margaret Stock,64,15-310
15,U.S. Senate,,Write-ins,1,15-310
15,U.S. House,DEM,Steve Lindbeck,213,15-310
