district,office,party,candidate,votes,precinct
27,President,CON,Darrell Castle,7,27-900
27,President,DEM,Hillary Clinton,418,27-900
27,President,NA,Roque De La Fuente,1,27-900
27,President,LIB,Gary Johnson,64,27-900
27,President,GRE,Jill Stein,10,27-900
27,President,REP,Donald Trump,513,27-900
27,President,,Write-ins,24,27-900
27,U.S. Senate,NA,Breck Craig,11,27-900
27,U.S. Senate,NA,Ted Gianoutsos,6,27-900
27,U.S. Senate,DEM,Ray Metcalfe,145,27-900
27,U.S. Senate,LIB,Joe Miller,303,27-900
27,U.S. Senate,REP,Lisa Murkowski,398,27-900
27,U.S. Senate,NA,Margaret Stock,174,27-900
27,U.S. Senate,,Write-ins,1,27-900
27,U.S. House,DEM,Steve Lindbeck,420,27-900
27,U.S. House,LIB,Jim McDermott,69,27-900
27,U.S. House,NA,Bernie Souphanavong,19,27-900
27,U.S. House,REP,Don Young,523,27-900
27,U.S. House,,Write-ins,1,27-900
27,State Senate,NA,Vince Beltrami,477,27-900
27,State Senate,REP,Catherine Giessel,510,27-900
27,State Senate,,Write-ins,7,27-900
27,State House,REP,Lance Pruitt,532,27-900
27,State House,DEM,Harry Crawford,477,27-900
27,State House,,Write-ins,7,27-900
27,President,CON,Darrell Castle,4,27-905
27,President,DEM,Hillary Clinton,188,27-905
27,President,NA,Roque De La Fuente,4,27-905
27,President,LIB,Gary Johnson,30,27-905
27,President,GRE,Jill Stein,9,27-905
27,President,REP,Donald Trump,277,27-905
27,President,,Write-ins,14,27-905
27,U.S. Senate,NA,Breck Craig,3,27-905
27,U.S. Senate,NA,Ted Gianoutsos,7,27-905
27,U.S. Senate,DEM,Ray Metcalfe,64,27-905
27,U.S. Senate,LIB,Joe Miller,155,27-905
27,U.S. Senate,REP,Lisa Murkowski,223,27-905
27,U.S. Senate,NA,Margaret Stock,74,27-905
27,U.S. Senate,,Write-ins,1,27-905
27,U.S. House,DEM,Steve Lindbeck,181,27-905
27,U.S. House,LIB,Jim McDermott,50,27-905
27,U.S. House,NA,Bernie Souphanavong,16,27-905
27,U.S. House,REP,Don Young,273,27-905
27,U.S. House,,Write-ins,1,27-905
27,State Senate,NA,Vince Beltrami,207,27-905
27,State Senate,REP,Catherine Giessel,297,27-905
27,State Senate,,Write-ins,5,27-905
27,State House,REP,Lance Pruitt,275,27-905
27,State House,DEM,Harry Crawford,236,27-905
27,State House,,Write-ins,3,27-905
27,President,CON,Darrell Castle,7,27-910
27,President,DEM,Hillary Clinton,352,27-910
27,President,NA,Roque De La Fuente,2,27-910
27,President,LIB,Gary Johnson,49,27-910
27,President,GRE,Jill Stein,17,27-910
27,President,REP,Donald Trump,464,27-910
27,President,,Write-ins,21,27-910
27,U.S. Senate,NA,Breck Craig,7,27-910
27,U.S. Senate,NA,Ted Gianoutsos,9,27-910
27,U.S. Senate,DEM,Ray Metcalfe,146,27-910
27,U.S. Senate,LIB,Joe Miller,284,27-910
27,U.S. Senate,REP,Lisa Murkowski,367,27-910
27,U.S. Senate,NA,Margaret Stock,90,27-910
27,U.S. Senate,,Write-ins,3,27-910
27,U.S. House,DEM,Steve Lindbeck,350,27-910
27,U.S. House,LIB,Jim McDermott,88,27-910
27,U.S. House,NA,Bernie Souphanavong,31,27-910
27,U.S. House,REP,Don Young,428,27-910
27,U.S. House,,Write-ins,7,27-910
27,State Senate,NA,Vince Beltrami,449,27-910
27,State Senate,REP,Catherine Giessel,410,27-910
27,State Senate,,Write-ins,4,27-910
27,State House,REP,Lance Pruitt,472,27-910
27,State House,DEM,Harry Crawford,401,27-910
27,State House,,Write-ins,6,27-910
27,President,CON,Darrell Castle,1,27-915
27,President,DEM,Hillary Clinton,194,27-915
27,President,NA,Roque De La Fuente,1,27-915
27,President,LIB,Gary Johnson,40,27-915
27,President,GRE,Jill Stein,4,27-915
27,President,REP,Donald Trump,267,27-915
27,President,,Write-ins,18,27-915
27,U.S. Senate,NA,Breck Craig,4,27-915
27,U.S. Senate,NA,Ted Gianoutsos,2,27-915
27,U.S. Senate,DEM,Ray Metcalfe,85,27-915
27,U.S. Senate,LIB,Joe Miller,153,27-915
27,U.S. Senate,REP,Lisa Murkowski,228,27-915
27,U.S. Senate,NA,Margaret Stock,45,27-915
27,U.S. Senate,,Write-ins,2,27-915
27,U.S. House,DEM,Steve Lindbeck,196,27-915
27,U.S. House,LIB,Jim McDermott,53,27-915
27,U.S. House,NA,Bernie Souphanavong,14,27-915
27,U.S. House,REP,Don Young,249,27-915
27,U.S. House,,Write-ins,3,27-915
27,State Senate,NA,Vince Beltrami,207,27-915
27,State Senate,REP,Catherine Giessel,276,27-915
27,State Senate,,Write-ins,3,27-915
27,State House,REP,Lance Pruitt,283,27-915
27,State House,DEM,Harry Crawford,229,27-915
27,State House,,Write-ins,1,27-915
27,President,CON,Darrell Castle,8,27-920
27,President,DEM,Hillary Clinton,365,27-920
27,President,NA,Roque De La Fuente,4,27-920
27,President,LIB,Gary Johnson,42,27-920
27,President,GRE,Jill Stein,14,27-920
27,President,REP,Donald Trump,354,27-920
27,President,,Write-ins,25,27-920
27,U.S. Senate,NA,Breck Craig,2,27-920
27,U.S. Senate,NA,Ted Gianoutsos,4,27-920
27,U.S. Senate,DEM,Ray Metcalfe,114,27-920
27,U.S. Senate,LIB,Joe Miller,188,27-920
27,U.S. Senate,REP,Lisa Murkowski,369,27-920
27,U.S. Senate,NA,Margaret Stock,131,27-920
27,U.S. Senate,,Write-ins,0,27-920
27,U.S. House,DEM,Steve Lindbeck,346,27-920
27,U.S. House,LIB,Jim McDermott,58,27-920
27,U.S. House,NA,Bernie Souphanavong,25,27-920
27,U.S. House,REP,Don Young,381,27-920
27,U.S. House,,Write-ins,1,27-920
27,State Senate,NA,Vince Beltrami,427,27-920
27,State Senate,REP,Catherine Giessel,359,27-920
27,State Senate,,Write-ins,2,27-920
27,State House,REP,Lance Pruitt,386,27-920
27,State House,DEM,Harry Crawford,412,27-920
27,State House,,Write-ins,3,27-920
27,President,CON,Darrell Castle,8,27-925
27,President,DEM,Hillary Clinton,243,27-925
27,President,NA,Roque De La Fuente,6,27-925
27,President,LIB,Gary Johnson,36,27-925
27,President,GRE,Jill Stein,9,27-925
27,President,REP,Donald Trump,362,27-925
27,President,,Write-ins,24,27-925
27,U.S. Senate,NA,Breck Craig,2,27-925
27,U.S. Senate,NA,Ted Gianoutsos,3,27-925
27,U.S. Senate,DEM,Ray Metcalfe,69,27-925
27,U.S. Senate,LIB,Joe Miller,193,27-925
27,U.S. Senate,REP,Lisa Murkowski,321,27-925
27,U.S. Senate,NA,Margaret Stock,93,27-925
