district,office,party,candidate,votes,precinct
24,President,CON,Darrell Castle,4,24-700
24,President,DEM,Hillary Clinton,243,24-700
24,President,NA,Roque De La Fuente,1,24-700
24,President,LIB,Gary Johnson,43,24-700
24,President,GRE,Jill Stein,21,24-700
24,President,REP,Donald Trump,433,24-700
24,President,,Write-ins,17,24-700
24,U.S. Senate,NA,Breck Craig,7,24-700
24,U.S. Senate,NA,Ted Gianoutsos,4,24-700
24,U.S. Senate,DEM,Ray Metcalfe,79,24-700
24,U.S. Senate,LIB,Joe Miller,258,24-700
24,U.S. Senate,REP,Lisa Murkowski,336,24-700
24,U.S. Senate,NA,Margaret Stock,78,24-700
24,U.S. Senate,,Write-ins,0,24-700
24,U.S. House,DEM,Steve Lindbeck,240,24-700
24,U.S. House,LIB,Jim McDermott,58,24-700
24,U.S. House,NA,Bernie Souphanavong,20,24-700
24,U.S. House,REP,Don Young,434,24-700
24,U.S. House,,Write-ins,1,24-700
24,State Senate,NA,Tom Johnson,57,24-700
24,State Senate,DEM,Forrest McDonald,260,24-700
24,State Senate,REP,Natasha Von Imhof,429,24-700
24,State Senate,,Write-ins,0,24-700
24,State House,DEM,Sue Levi,278,24-700
24,State House,REP,Charles Kopp,460,24-700
24,State House,,Write-ins,1,24-700
24,President,CON,Darrell Castle,4,24-705
24,President,DEM,Hillary Clinton,226,24-705
24,President,NA,Roque De La Fuente,2,24-705
24,President,LIB,Gary Johnson,49,24-705
24,President,GRE,Jill Stein,12,24-705
24,President,REP,Donald Trump,327,24-705
24,President,,Write-ins,16,24-705
24,U.S. Senate,NA,Breck Craig,5,24-705
24,U.S. Senate,NA,Ted Gianoutsos,2,24-705
24,U.S. Senate,DEM,Ray Metcalfe,68,24-705
24,U.S. Senate,LIB,Joe Miller,185,24-705
24,U.S. Senate,REP,Lisa Murkowski,302,24-705
24,U.S. Senate,NA,Margaret Stock,72,24-705
24,U.S. Senate,,Write-ins,1,24-705
24,U.S. House,DEM,Steve Lindbeck,241,24-705
24,U.S. House,LIB,Jim McDermott,68,24-705
