district,office,party,candidate,votes,precinct
14,President,CON,Darrell Castle,15,14-940
14,President,DEM,Hillary Clinton,229,14-940
14,President,NA,Roque De La Fuente,6,14-940
14,President,LIB,Gary Johnson,48,14-940
14,President,GRE,Jill Stein,9,14-940
14,President,REP,Donald Trump,526,14-940
14,President,,Write-ins,26,14-940
14,U.S. Senate,NA,Breck Craig,11,14-940
14,U.S. Senate,NA,Ted Gianoutsos,9,14-940
14,U.S. Senate,DEM,Ray Metcalfe,60,14-940
14,U.S. Senate,LIB,Joe Miller,293,14-940
14,U.S. Senate,REP,Lisa Murkowski,401,14-940
14,U.S. Senate,NA,Margaret Stock,86,14-940
14,U.S. Senate,,Write-ins,0,14-940
14,U.S. House,DEM,Steve Lindbeck,238,14-940
14,U.S. House,LIB,Jim McDermott,105,14-940
14,U.S. House,NA,Bernie Souphanavong,24,14-940
14,U.S. House,REP,Don Young,484,14-940
14,U.S. House,,Write-ins,1,14-940
14,State House,NA,Joe Hackenmueller,318,14-940
14,State House,REP,Lora Reinbold,515,14-940
14,State House,,Write-ins,1,14-940
14,President,CON,Darrell Castle,10,14-945
14,President,DEM,Hillary Clinton,162,14-945
14,President,NA,Roque De La Fuente,4,14-945
14,President,LIB,Gary Johnson,45,14-945
14,President,GRE,Jill Stein,12,14-945
14,President,REP,Donald Trump,388,14-945
14,President,,Write-ins,23,14-945
14,U.S. Senate,NA,Breck Craig,2,14-945
14,U.S. Senate,NA,Ted Gianoutsos,5,14-945
14,U.S. Senate,DEM,Ray Metcalfe,52,14-945
14,U.S. Senate,LIB,Joe Miller,232,14-945
14,U.S. Senate,REP,Lisa Murkowski,282,14-945
14,U.S. Senate,NA,Margaret Stock,62,14-945
14,U.S. Senate,,Write-ins,1,14-945
14,U.S. House,DEM,Steve Lindbeck,186,14-945
14,U.S. House,LIB,Jim McDermott,79,14-945
14,U.S. House,NA,Bernie Souphanavong,12,14-945
14,U.S. House,REP,Don Young,341,14-945
14,U.S. House,,Write-ins,5,14-945
14,State House,NA,Joe Hackenmueller,233,14-945
14,State House,REP,Lora Reinbold,384,14-945
14,State House,,Write-ins,4,14-945
14,President,CON,Darrell Castle,1,14-950
14,President,DEM,Hillary Clinton,226,14-950
14,President,NA,Roque De La Fuente,2,14-950
14,President,LIB,Gary Johnson,63,14-950
14,President,GRE,Jill Stein,13,14-950
14,President,REP,Donald Trump,598,14-950
14,President,,Write-ins,28,14-950
14,U.S. Senate,NA,Breck Craig,4,14-950
14,U.S. Senate,NA,Ted Gianoutsos,5,14-950
14,U.S. Senate,DEM,Ray Metcalfe,57,14-950
14,U.S. Senate,LIB,Joe Miller,304,14-950
14,U.S. Senate,REP,Lisa Murkowski,449,14-950
14,U.S. Senate,NA,Margaret Stock,99,14-950
14,U.S. Senate,,Write-ins,4,14-950
14,U.S. House,DEM,Steve Lindbeck,272,14-950
14,U.S. House,LIB,Jim McDermott,76,14-950
14,U.S. House,NA,Bernie Souphanavong,17,14-950
14,U.S. House,REP,Don Young,549,14-950
14,U.S. House,,Write-ins,3,14-950
14,State House,NA,Joe Hackenmueller,354,14-950
14,State House,REP,Lora Reinbold,548,14-950
14,State House,,Write-ins,7,14-950
14,President,CON,Darrell Castle,8,14-955
14,President,DEM,Hillary Clinton,120,14-955
14,President,NA,Roque De La Fuente,0,14-955
14,President,LIB,Gary Johnson,34,14-955
14,President,GRE,Jill Stein,4,14-955
14,President,REP,Donald Trump,258,14-955
14,President,,Write-ins,11,14-955
14,U.S. Senate,NA,Breck Craig,0,14-955
14,U.S. Senate,NA,Ted Gianoutsos,1,14-955
14,U.S. Senate,DEM,Ray Metcalfe,34,14-955
14,U.S. Senate,LIB,Joe Miller,161,14-955
14,U.S. Senate,REP,Lisa Murkowski,193,14-955
14,U.S. Senate,NA,Margaret Stock,39,14-955
14,U.S. Senate,,Write-ins,2,14-955
14,U.S. House,DEM,Steve Lindbeck,126,14-955
14,U.S. House,LIB,Jim McDermott,44,14-955
14,U.S. House,NA,Bernie Souphanavong,10,14-955
14,U.S. House,REP,Don Young,245,14-955
14,U.S. House,,Write-ins,1,14-955
14,State House,NA,Joe Hackenmueller,165,14-955
14,State House,REP,Lora Reinbold,257,14-955
14,State House,,Write-ins,1,14-955
14,President,CON,Darrell Castle,6,14-960
14,President,DEM,Hillary Clinton,304,14-960
14,President,NA,Roque De La Fuente,4,14-960
14,President,LIB,Gary Johnson,105,14-960
14,President,GRE,Jill Stein,8,14-960
14,President,REP,Donald Trump,638,14-960
14,President,,Write-ins,36,14-960
14,U.S. Senate,NA,Breck Craig,8,14-960
14,U.S. Senate,NA,Ted Gianoutsos,5,14-960
14,U.S. Senate,DEM,Ray Metcalfe,87,14-960
14,U.S. Senate,LIB,Joe Miller,353,14-960
14,U.S. Senate,REP,Lisa Murkowski,548,14-960
14,U.S. Senate,NA,Margaret Stock,93,14-960
14,U.S. Senate,,Write-ins,2,14-960
14,U.S. House,DEM,Steve Lindbeck,348,14-960
14,U.S. House,LIB,Jim McDermott,120,14-960
14,U.S. House,NA,Bernie Souphanavong,28,14-960
14,U.S. House,REP,Don Young,579,14-960
14,U.S. House,,Write-ins,6,14-960
14,State House,NA,Joe Hackenmueller,441,14-960
14,State House,REP,Lora Reinbold,627,14-960
