district,office,party,candidate,votes,precinct
26,President,CON,Darrell Castle,9,26-800
26,President,DEM,Hillary Clinton,305,26-800
26,President,NA,Roque De La Fuente,2,26-800
26,President,LIB,Gary Johnson,53,26-800
26,President,GRE,Jill Stein,17,26-800
26,President,REP,Donald Trump,397,26-800
26,President,,Write-ins,22,26-800
26,U.S. Senate,NA,Breck Craig,9,26-800
26,U.S. Senate,NA,Ted Gianoutsos,5,26-800
26,U.S. Senate,DEM,Ray Metcalfe,75,26-800
26,U.S. Senate,LIB,Joe Miller,248,26-800
26,U.S. Senate,REP,Lisa Murkowski,361,26-800
26,U.S. Senate,NA,Margaret Stock,98,26-800
26,U.S. Senate,,Write-ins,1,26-800
26,U.S. House,DEM,Steve Lindbeck,284,26-800
26,U.S. House,LIB,Jim McDermott,87,26-800
26,U.S. House,NA,Bernie Souphanavong,30,26-800
26,U.S. House,REP,Don Young,391,26-800
26,U.S. House,,Write-ins,1,26-800
26,State House,REP,Chris Birch,480,26-800
26,State House,DEM,David Gillespie,294,26-800
26,State House,,Write-ins,3,26-800
26,President,CON,Darrell Castle,6,26-805
26,President,DEM,Hillary Clinton,275,26-805
26,President,NA,Roque De La Fuente,0,26-805
26,President,LIB,Gary Johnson,44,26-805
26,President,GRE,Jill Stein,14,26-805
26,President,REP,Donald Trump,423,26-805
26,President,,Write-ins,17,26-805
26,U.S. Senate,NA,Breck Craig,4,26-805
26,U.S. Senate,NA,Ted Gianoutsos,2,26-805
26,U.S. Senate,DEM,Ray Metcalfe,58,26-805
26,U.S. Senate,LIB,Joe Miller,190,26-805
26,U.S. Senate,REP,Lisa Murkowski,403,26-805
26,U.S. Senate,NA,Margaret Stock,123,26-805
26,U.S. Senate,,Write-ins,2,26-805
26,U.S. House,DEM,Steve Lindbeck,259,26-805
26,U.S. House,LIB,Jim McDermott,42,26-805
26,U.S. House,NA,Bernie Souphanavong,22,26-805
26,U.S. House,REP,Don Young,450,26-805
26,U.S. House,,Write-ins,2,26-805
26,State House,REP,Chris Birch,517,26-805
26,State House,DEM,David Gillespie,241,26-805
