district,office,party,candidate,votes,precinct
9,President,CON,Darrell Castle,13,09-600
9,President,DEM,Hillary Clinton,136,09-600
9,President,NA,Roque De La Fuente,2,09-600
9,President,LIB,Gary Johnson,53,09-600
9,President,GRE,Jill Stein,14,09-600
9,President,REP,Donald Trump,816,09-600
9,President,,Write-ins,15,09-600
9,U.S. Senate,NA,Breck Craig,12,09-600
9,U.S. Senate,NA,Ted Gianoutsos,16,09-600
9,U.S. Senate,DEM,Ray Metcalfe,59,09-600
9,U.S. Senate,LIB,Joe Miller,470,09-600
9,U.S. Senate,REP,Lisa Murkowski,424,09-600
9,U.S. Senate,NA,Margaret Stock,48,09-600
9,U.S. Senate,,Write-ins,3,09-600
9,U.S. House,DEM,Steve Lindbeck,168,09-600
9,U.S. House,LIB,Jim McDermott,162,09-600
9,U.S. House,NA,Bernie Souphanavong,30,09-600
9,U.S. House,REP,Don Young,657,09-600
9,U.S. House,,Write-ins,3,09-600
9,State House,REP,George Rauscher,574,09-600
9,State House,CON,Pamela Goode,397,09-600
9,State House,,Write-ins,24,09-600
9,President,CON,Darrell Castle,3,09-608
9,President,DEM,Hillary Clinton,35,09-608
9,President,NA,Roque De La Fuente,0,09-608
9,President,LIB,Gary Johnson,14,09-608
9,President,GRE,Jill Stein,6,09-608
9,President,REP,Donald Trump,262,09-608
9,President,,Write-ins,11,09-608
9,U.S. Senate,NA,Breck Craig,6,09-608
9,U.S. Senate,NA,Ted Gianoutsos,2,09-608
9,U.S. Senate,DEM,Ray Metcalfe,21,09-608
9,U.S. Senate,LIB,Joe Miller,146,09-608
9,U.S. Senate,REP,Lisa Murkowski,140,09-608
9,U.S. Senate,NA,Margaret Stock,13,09-608
9,U.S. Senate,,Write-ins,2,09-608
9,U.S. House,DEM,Steve Lindbeck,37,09-608
9,U.S. House,LIB,Jim McDermott,49,09-608
9,U.S. House,NA,Bernie Souphanavong,7,09-608
9,U.S. House,REP,Don Young,225,09-608
9,U.S. House,,Write-ins,4,09-608
9,State House,REP,George Rauscher,190,09-608
9,State House,CON,Pamela Goode,115,09-608
9,State House,,Write-ins,10,09-608
9,President,CON,Darrell Castle,16,09-622
9,President,DEM,Hillary Clinton,174,09-622
9,President,NA,Roque De La Fuente,6,09-622
9,President,LIB,Gary Johnson,69,09-622
9,President,GRE,Jill Stein,13,09-622
9,President,REP,Donald Trump,657,09-622
9,President,,Write-ins,18,09-622
9,U.S. Senate,NA,Breck Craig,13,09-622
9,U.S. Senate,NA,Ted Gianoutsos,4,09-622
9,U.S. Senate,DEM,Ray Metcalfe,61,09-622
9,U.S. Senate,LIB,Joe Miller,408,09-622
9,U.S. Senate,REP,Lisa Murkowski,382,09-622
9,U.S. Senate,NA,Margaret Stock,80,09-622
9,U.S. Senate,,Write-ins,3,09-622
9,U.S. House,DEM,Steve Lindbeck,209,09-622
9,U.S. House,LIB,Jim McDermott,115,09-622
9,U.S. House,NA,Bernie Souphanavong,29,09-622
9,U.S. House,REP,Don Young,576,09-622
9,U.S. House,,Write-ins,6,09-622
9,State House,REP,George Rauscher,566,09-622
9,State House,CON,Pamela Goode,309,09-622
9,State House,,Write-ins,20,09-622
9,President,CON,Darrell Castle,19,09-628
9,President,DEM,Hillary Clinton,235,09-628
9,President,NA,Roque De La Fuente,6,09-628
9,President,LIB,Gary Johnson,62,09-628
9,President,GRE,Jill Stein,13,09-628
9,President,REP,Donald Trump,838,09-628
9,President,,Write-ins,27,09-628
9,U.S. Senate,NA,Breck Craig,5,09-628
9,U.S. Senate,NA,Ted Gianoutsos,11,09-628
9,U.S. Senate,DEM,Ray Metcalfe,95,09-628
9,U.S. Senate,LIB,Joe Miller,549,09-628
9,U.S. Senate,REP,Lisa Murkowski,436,09-628
9,U.S. Senate,NA,Margaret Stock,91,09-628
9,U.S. Senate,,Write-ins,1,09-628
9,U.S. House,DEM,Steve Lindbeck,264,09-628
9,U.S. House,LIB,Jim McDermott,167,09-628
9,U.S. House,NA,Bernie Souphanavong,30,09-628
9,U.S. House,REP,Don Young,712,09-628
9,U.S. House,,Write-ins,4,09-628
9,State House,REP,George Rauscher,662,09-628
9,State House,CON,Pamela Goode,442,09-628
9,State House,,Write-ins,24,09-628
9,President,CON,Darrell Castle,7,09-632
9,President,DEM,Hillary Clinton,26,09-632
9,President,NA,Roque De La Fuente,1,09-632
9,President,LIB,Gary Johnson,9,09-632
9,President,GRE,Jill Stein,3,09-632
9,President,REP,Donald Trump,146,09-632
9,President,,Write-ins,4,09-632
9,U.S. Senate,NA,Breck Craig,0,09-632
9,U.S. Senate,NA,Ted Gianoutsos,2,09-632
9,U.S. Senate,DEM,Ray Metcalfe,20,09-632
9,U.S. Senate,LIB,Joe Miller,90,09-632
9,U.S. Senate,REP,Lisa Murkowski,69,09-632
9,U.S. Senate,NA,Margaret Stock,13,09-632
9,U.S. Senate,,Write-ins,0,09-632
9,U.S. House,DEM,Steve Lindbeck,30,09-632
9,U.S. House,LIB,Jim McDermott,25,09-632
9,U.S. House,NA,Bernie Souphanavong,11,09-632
9,U.S. House,REP,Don Young,115,09-632
9,U.S. House,,Write-ins,7,09-632
9,State House,REP,George Rauscher,123,09-632
9,State House,CON,Pamela Goode,57,09-632
9,State House,,Write-ins,3,09-632
9,President,CON,Darrell Castle,1,09-640
9,President,DEM,Hillary Clinton,30,09-640
9,President,NA,Roque De La Fuente,0,09-640
9,President,LIB,Gary Johnson,3,09-640
9,President,GRE,Jill Stein,2,09-640
9,President,REP,Donald Trump,81,09-640
9,President,,Write-ins,3,09-640
9,U.S. Senate,NA,Breck Craig,0,09-640
9,U.S. Senate,NA,Ted Gianoutsos,1,09-640
9,U.S. Senate,DEM,Ray Metcalfe,6,09-640
9,U.S. Senate,LIB,Joe Miller,57,09-640
9,U.S. Senate,REP,Lisa Murkowski,43,09-640
9,U.S. Senate,NA,Margaret Stock,11,09-640
9,U.S. Senate,,Write-ins,0,09-640
9,U.S. House,DEM,Steve Lindbeck,35,09-640
9,U.S. House,LIB,Jim McDermott,5,09-640
9,U.S. House,NA,Bernie Souphanavong,3,09-640
9,U.S. House,REP,Don Young,74,09-640
9,U.S. House,,Write-ins,0,09-640
9,State House,REP,George Rauscher,61,09-640
9,State House,CON,Pamela Goode,46,09-640
9,State House,,Write-ins,3,09-640
9,President,CON,Darrell Castle,6,09-645
9,President,DEM,Hillary Clinton,100,09-645
9,President,NA,Roque De La Fuente,7,09-645
9,President,LIB,Gary Johnson,16,09-645
9,President,GRE,Jill Stein,9,09-645
9,President,REP,Donald Trump,295,09-645
9,President,,Write-ins,14,09-645
9,U.S. Senate,NA,Breck Craig,4,09-645
9,U.S. Senate,NA,Ted Gianoutsos,5,09-645
9,U.S. Senate,DEM,Ray Metcalfe,38,09-645
9,U.S. Senate,LIB,Joe Miller,182,09-645
9,U.S. Senate,REP,Lisa Murkowski,160,09-645
9,U.S. Senate,NA,Margaret Stock,51,09-645
9,U.S. Senate,,Write-ins,0,09-645
9,U.S. House,DEM,Steve Lindbeck,109,09-645
9,U.S. House,LIB,Jim McDermott,58,09-645
9,U.S. House,NA,Bernie Souphanavong,20,09-645
9,U.S. House,REP,Don Young,245,09-645
9,U.S. House,,Write-ins,3,09-645
9,State House,REP,George Rauscher,295,09-645
9,State House,CON,Pamela Goode,122,09-645
9,State House,,Write-ins,7,09-645
