district,office,party,candidate,votes,precinct
4,President,CON,Darrell Castle,7,04-230
4,President,DEM,Hillary Clinton,268,04-230
4,President,NA,Roque De La Fuente,0,04-230
4,President,LIB,Gary Johnson,23,04-230
4,President,GRE,Jill Stein,15,04-230
4,President,REP,Donald Trump,159,04-230
4,President,,Write-ins,25,04-230
4,U.S. Senate,NA,Breck Craig,2,04-230
4,U.S. Senate,NA,Ted Gianoutsos,4,04-230
4,U.S. Senate,DEM,Ray Metcalfe,71,04-230
4,U.S. Senate,LIB,Joe Miller,98,04-230
4,U.S. Senate,REP,Lisa Murkowski,179,04-230
4,U.S. Senate,NA,Margaret Stock,139,04-230
4,U.S. Senate,,Write-ins,1,04-230
4,U.S. House,DEM,Steve Lindbeck,268,04-230
4,U.S. House,LIB,Jim McDermott,51,04-230
4,U.S. House,NA,Bernie Souphanavong,13,04-230
4,U.S. House,REP,Don Young,155,04-230
4,U.S. House,,Write-ins,2,04-230
4,State Senate,DEM,Luke Hopkins,324,04-230
4,State Senate,REP,John Coghill Jr,162,04-230
4,State Senate,,Write-ins,0,04-230
4,State House,DEM,David Guttenberg,354,04-230
4,State House,,Write-ins,31,04-230
4,President,CON,Darrell Castle,5,04-240
4,President,DEM,Hillary Clinton,559,04-240
4,President,NA,Roque De La Fuente,2,04-240
4,President,LIB,Gary Johnson,51,04-240
4,President,GRE,Jill Stein,31,04-240
4,President,REP,Donald Trump,460,04-240
4,President,,Write-ins,33,04-240
4,U.S. Senate,NA,Breck Craig,4,04-240
4,U.S. Senate,NA,Ted Gianoutsos,3,04-240
4,U.S. Senate,DEM,Ray Metcalfe,118,04-240
4,U.S. Senate,LIB,Joe Miller,235,04-240
4,U.S. Senate,REP,Lisa Murkowski,509,04-240
4,U.S. Senate,NA,Margaret Stock,263,04-240
4,U.S. Senate,,Write-ins,4,04-240
4,U.S. House,DEM,Steve Lindbeck,586,04-240
4,U.S. House,LIB,Jim McDermott,94,04-240
4,U.S. House,NA,Bernie Souphanavong,20,04-240
4,U.S. House,REP,Don Young,422,04-240
4,U.S. House,,Write-ins,6,04-240
4,State Senate,DEM,Luke Hopkins,703,04-240
4,State Senate,REP,John Coghill Jr,420,04-240
4,State Senate,,Write-ins,7,04-240
4,State House,DEM,David Guttenberg,823,04-240
4,State House,,Write-ins,53,04-240
4,President,CON,Darrell Castle,3,04-250
4,President,DEM,Hillary Clinton,251,04-250
4,President,NA,Roque De La Fuente,1,04-250
4,President,LIB,Gary Johnson,27,04-250
4,President,GRE,Jill Stein,15,04-250
4,President,REP,Donald Trump,185,04-250
4,President,,Write-ins,16,04-250
4,U.S. Senate,NA,Breck Craig,4,04-250
4,U.S. Senate,NA,Ted Gianoutsos,4,04-250
4,U.S. Senate,DEM,Ray Metcalfe,59,04-250
4,U.S. Senate,LIB,Joe Miller,122,04-250
4,U.S. Senate,REP,Lisa Murkowski,166,04-250
4,U.S. Senate,NA,Margaret Stock,143,04-250
4,U.S. Senate,,Write-ins,1,04-250
4,U.S. House,DEM,Steve Lindbeck,276,04-250
4,U.S. House,LIB,Jim McDermott,45,04-250
4,U.S. House,NA,Bernie Souphanavong,11,04-250
4,U.S. House,REP,Don Young,160,04-250
4,U.S. House,,Write-ins,2,04-250
4,State Senate,DEM,Luke Hopkins,315,04-250
4,State Senate,REP,John Coghill Jr,175,04-250
4,State Senate,,Write-ins,4,04-250
4,State House,DEM,David Guttenberg,355,04-250
4,State House,,Write-ins,35,04-250
4,President,CON,Darrell Castle,9,04-260
4,President,DEM,Hillary Clinton,411,04-260
4,President,NA,Roque De La Fuente,4,04-260
4,President,LIB,Gary Johnson,62,04-260
4,President,GRE,Jill Stein,38,04-260
4,President,REP,Donald Trump,202,04-260
4,President,,Write-ins,18,04-260
4,U.S. Senate,NA,Breck Craig,6,04-260
4,U.S. Senate,NA,Ted Gianoutsos,1,04-260
4,U.S. Senate,DEM,Ray Metcalfe,124,04-260
4,U.S. Senate,LIB,Joe Miller,138,04-260
4,U.S. Senate,REP,Lisa Murkowski,265,04-260
4,U.S. Senate,NA,Margaret Stock,202,04-260
4,U.S. Senate,,Write-ins,3,04-260
4,U.S. House,DEM,Steve Lindbeck,428,04-260
4,U.S. House,LIB,Jim McDermott,65,04-260
4,U.S. House,NA,Bernie Souphanavong,24,04-260
4,U.S. House,REP,Don Young,219,04-260
4,U.S. House,,Write-ins,4,04-260
4,State Senate,DEM,Luke Hopkins,498,04-260
4,State Senate,REP,John Coghill Jr,225,04-260
4,State Senate,,Write-ins,6,04-260
4,State House,DEM,David Guttenberg,570,04-260
4,State House,,Write-ins,29,04-260
4,President,CON,Darrell Castle,26,04-265
4,President,DEM,Hillary Clinton,341,04-265
4,President,NA,Roque De La Fuente,3,04-265
