community,state_legislative_district,candidate,votes,delegates
Fairbanks,1,Hillary Clinton,47,3
Fairbanks,2,Hillary Clinton,17,1
Fairbanks,3,Hillary Clinton,10,0
Fairbanks,4,Hillary Clinton,102,3
Fairbanks,5,Hillary Clinton,57,0
Rural/Interior,6,Hillary Clinton,0,0
Wasilla,7,Hillary Clinton,29,2
Big Lake,8,Hillary Clinton,12,0
MatSu/Delta Junction/Valdez,9,Hillary Clinton,41,2
Houston/Talkeetna,10,Hillary Clinton,21,2
Palmer,11,Hillary Clinton,28,2
MatSu/Anchorage,12,Hillary Clinton,16,0
Anchorage,13,Hillary Clinton,30,2
Anchorage,14,Hillary Clinton,71,4
Anchorage,15,Hillary Clinton,20,1
Anchorage,16,Hillary Clinton,60,3
Anchorage,17,Hillary Clinton,80,4
Anchorage,18,Hillary Clinton,86,4
Anchorage,19,Hillary Clinton,53,4
Anchorage,20,Hillary Clinton,134,6
Anchorage,21,Hillary Clinton,109,6
Anchorage,22,Hillary Clinton,50,3
Anchorage,23,Hillary Clinton,29,0
Anchorage,24,Hillary Clinton,82,5
Anchorage,25,Hillary Clinton,56,4
Anchorage,26,Hillary Clinton,69,4
Anchorage,27,Hillary Clinton,70,4
Anchorage,28,Hillary Clinton,102,5
Kenai Borough/Seward,29,Hillary Clinton,42,2
Kenai/Soldotna,30,Hillary Clinton,49,2
Homer/Kenai Borough,31,Hillary Clinton,67,0
Kodiak/Coastal,32,Hillary Clinton,41,0
Juneau/Southeast,33,Hillary Clinton,176,4
Juneau,34,Hillary Clinton,88,4
Sitka/Southeast,35,Hillary Clinton,83,4
Ketchikan/Southeast,36,Hillary Clinton,47,2
Dillingham/Interior/Aleutions,37,Hillary Clinton,29,3
Bethel,38,Hillary Clinton,11,0
Nome/Koyuk/Unalakleet,39,Hillary Clinton,19,4
Kotzebue/Barrow,40,Hillary Clinton,11,0
,,Hillary Clinton,2144,99
Fairbanks,1,Bernie Sanders,178,9
Fairbanks,2,Bernie Sanders,71,5
Fairbanks,3,Bernie Sanders,91,7
Fairbanks,4,Bernie Sanders,525,16
Fairbanks,5,Bernie Sanders,373,15
Rural/Interior,6,Bernie Sanders,195,12
Wasilla,7,Bernie Sanders,116,6
Big Lake,8,Bernie Sanders,98,7
MatSu/Delta Junction/Valdez,9,Bernie Sanders,130,8
Houston/Talkeetna,10,Bernie Sanders,112,8
Palmer,11,Bernie Sanders,160,9
MatSu/Anchorage,12,Bernie Sanders,121,10
Anchorage,13,Bernie Sanders,100,5
Anchorage,14,Bernie Sanders,154,9
Anchorage,15,Bernie Sanders,112,8
Anchorage,16,Bernie Sanders,232,12
Anchorage,17,Bernie Sanders,239,10
Anchorage,18,Bernie Sanders,352,14
Anchorage,19,Bernie Sanders,128,8
Anchorage,20,Bernie Sanders,294,12
Anchorage,21,Bernie Sanders,241,12
Anchorage,22,Bernie Sanders,209,11
Anchorage,23,Bernie Sanders,172,13
Anchorage,24,Bernie Sanders,153,10
Anchorage,25,Bernie Sanders,175,11
Anchorage,26,Bernie Sanders,154,10
Anchorage,27,Bernie Sanders,204,13
Anchorage,28,Bernie Sanders,257,14
Kenai Borough/Seward,29,Bernie Sanders,176,8
Kenai/Soldotna,30,Bernie Sanders,144,7
Homer/Kenai Borough,31,Bernie Sanders,504,16
Kodiak/Coastal,32,Bernie Sanders,271,13
Juneau/Southeast,33,Bernie Sanders,837,21
Juneau,34,Bernie Sanders,307,14
Sitka/Southeast,35,Bernie Sanders,342,14
Ketchikan/Southeast,36,Bernie Sanders,229,10
Dillingham/Interior/Aleutions,37,Bernie Sanders,104,11
Bethel,38,Bernie Sanders,65,17
Nome/Koyuk/Unalakleet,39,Bernie Sanders,55,13
Kotzebue/Barrow,40,Bernie Sanders,67,12
,,Bernie Sanders,8447,440
Fairbanks,1,Rocky De La Fuente,0,0
Fairbanks,2,Rocky De La Fuente,0,0
Fairbanks,3,Rocky De La Fuente,0,0
Fairbanks,4,Rocky De La Fuente,0,0
Fairbanks,5,Rocky De La Fuente,0,0
Rural/Interior,6,Rocky De La Fuente,0,0
Wasilla,7,Rocky De La Fuente,0,0
Big Lake,8,Rocky De La Fuente,0,0
MatSu/Delta Junction/Valdez,9,Rocky De La Fuente,0,0
Houston/Talkeetna,10,Rocky De La Fuente,0,0
Palmer,11,Rocky De La Fuente,0,0
MatSu/Anchorage,12,Rocky De La Fuente,1,0
Anchorage,13,Rocky De La Fuente,0,0
Anchorage,14,Rocky De La Fuente,0,0
Anchorage,15,Rocky De La Fuente,0,0
Anchorage,16,Rocky De La Fuente,0,0
Anchorage,17,Rocky De La Fuente,0,0
Anchorage,18,Rocky De La Fuente,0,0
Anchorage,19,Rocky De La Fuente,0,0
Anchorage,20,Rocky De La Fuente,0,0
Anchorage,21,Rocky De La Fuente,0,0
Anchorage,22,Rocky De La Fuente,0,0
Anchorage,23,Rocky De La Fuente,0,0
Anchorage,24,Rocky De La Fuente,0,0
Anchorage,25,Rocky De La Fuente,0,0
Anchorage,26,Rocky De La Fuente,0,0
Anchorage,27,Rocky De La Fuente,0,0
Anchorage,28,Rocky De La Fuente,0,0
Kenai Borough/Seward,29,Rocky De La Fuente,0,0
Kenai/Soldotna,30,Rocky De La Fuente,0,0
Homer/Kenai Borough,31,Rocky De La Fuente,0,0
Kodiak/Coastal,32,Rocky De La Fuente,0,0
Juneau/Southeast,33,Rocky De La Fuente,0,0
Juneau,34,Rocky De La Fuente,0,0
Sitka/Southeast,35,Rocky De La Fuente,0,0
Ketchikan/Southeast,36,Rocky De La Fuente,0,0
Dillingham/Interior/Aleutions,37,Rocky De La Fuente,0,0
Bethel,38,Rocky De La Fuente,0,0
Nome/Koyuk/Unalakleet,39,Rocky De La Fuente,0,0
Kotzebue/Barrow,40,Rocky De La Fuente,0,0
,,Rocky De La Fuente,1,0
Fairbanks,1,Uncommitted,0,0
Fairbanks,2,Uncommitted,0,0
Fairbanks,3,Uncommitted,0,0
Fairbanks,4,Uncommitted,0,0
Fairbanks,5,Uncommitted,7,0
Rural/Interior,6,Uncommitted,0,0
Wasilla,7,Uncommitted,0,0
Big Lake,8,Uncommitted,0,0
MatSu/Delta Junction/Valdez,9,Uncommitted,0,0
Houston/Talkeetna,10,Uncommitted,2,0
Palmer,11,Uncommitted,0,0
MatSu/Anchorage,12,Uncommitted,3,0
Anchorage,13,Uncommitted,0,0
Anchorage,14,Uncommitted,0,0
Anchorage,15,Uncommitted,0,0
Anchorage,16,Uncommitted,0,0
Anchorage,17,Uncommitted,1,0
Anchorage,18,Uncommitted,0,0
Anchorage,19,Uncommitted,0,0
Anchorage,20,Uncommitted,0,0
Anchorage,21,Uncommitted,1,0
Anchorage,22,Uncommitted,0,0
Anchorage,23,Uncommitted,0,0
Anchorage,24,Uncommitted,0,0
Anchorage,25,Uncommitted,0,0
Anchorage,26,Uncommitted,0,0
Anchorage,27,Uncommitted,0,0
Anchorage,28,Uncommitted,0,0
Kenai Borough/Seward,29,Uncommitted,2,0
Kenai/Soldotna,30,Uncommitted,0,0
Homer/Kenai Borough,31,Uncommitted,0,0
Kodiak/Coastal,32,Uncommitted,0,0
Juneau/Southeast,33,Uncommitted,0,0
Juneau,34,Uncommitted,0,0
Sitka/Southeast,35,Uncommitted,0,0
Ketchikan/Southeast,36,Uncommitted,0,0
Dillingham/Interior/Aleutions,37,Uncommitted,0,0
Bethel,38,Uncommitted,0,0
Nome/Koyuk/Unalakleet,39,Uncommitted,0,0
Kotzebue/Barrow,40,Uncommitted,0,0
,,Uncommitted,16,0
