district,office,party,candidate,votes,precinct
2,President,CON,Darrell Castle,21,02-345
2,President,DEM,Hillary Clinton,214,02-345
2,President,NA,Roque De La Fuente,6,02-345
2,President,LIB,Gary Johnson,73,02-345
2,President,GRE,Jill Stein,8,02-345
2,President,REP,Donald Trump,754,02-345
2,President,,Write-ins,22,02-345
2,U.S. Senate,NA,Breck Craig,14,02-345
2,U.S. Senate,NA,Ted Gianoutsos,10,02-345
2,U.S. Senate,DEM,Ray Metcalfe,69,02-345
2,U.S. Senate,LIB,Joe Miller,449,02-345
2,U.S. Senate,REP,Lisa Murkowski,498,02-345
2,U.S. Senate,NA,Margaret Stock,46,02-345
2,U.S. Senate,,Write-ins,5,02-345
2,U.S. House,DEM,Steve Lindbeck,254,02-345
2,U.S. House,LIB,Jim McDermott,160,02-345
2,U.S. House,NA,Bernie Souphanavong,32,02-345
2,U.S. House,REP,Don Young,623,02-345
2,U.S. House,,Write-ins,9,02-345
2,State House,REP,Steve Thompson,838,02-345
2,State House,DEM,Truno Holdaway,192,02-345
2,State House,,Write-ins,13,02-345
2,President,CON,Darrell Castle,3,02-355
2,President,DEM,Hillary Clinton,202,02-355
2,President,NA,Roque De La Fuente,3,02-355
2,President,LIB,Gary Johnson,37,02-355
2,President,GRE,Jill Stein,23,02-355
2,President,REP,Donald Trump,308,02-355
2,President,,Write-ins,25,02-355
2,U.S. Senate,NA,Breck Craig,7,02-355
2,U.S. Senate,NA,Ted Gianoutsos,5,02-355
2,U.S. Senate,DEM,Ray Metcalfe,72,02-355
2,U.S. Senate,LIB,Joe Miller,170,02-355
2,U.S. Senate,REP,Lisa Murkowski,266,02-355
2,U.S. Senate,NA,Margaret Stock,66,02-355
2,U.S. Senate,,Write-ins,3,02-355
2,U.S. House,DEM,Steve Lindbeck,216,02-355
2,U.S. House,LIB,Jim McDermott,63,02-355
2,U.S. House,NA,Bernie Souphanavong,23,02-355
2,U.S. House,REP,Don Young,268,02-355
2,U.S. House,,Write-ins,6,02-355
2,State House,REP,Steve Thompson,384,02-355
2,State House,DEM,Truno Holdaway,177,02-355
2,State House,,Write-ins,5,02-355
2,President,CON,Darrell Castle,12,02-365
2,President,DEM,Hillary Clinton,256,02-365
2,President,NA,Roque De La Fuente,4,02-365
2,President,LIB,Gary Johnson,54,02-365
2,President,GRE,Jill Stein,16,02-365
2,President,REP,Donald Trump,558,02-365
2,President,,Write-ins,53,02-365
