district,office,party,candidate,votes,precinct
37,President,CON,Darrell Castle,3,37-300
37,President,DEM,Hillary Clinton,22,37-300
37,President,NA,Roque De La Fuente,0,37-300
37,President,LIB,Gary Johnson,0,37-300
37,President,GRE,Jill Stein,2,37-300
37,President,REP,Donald Trump,5,37-300
37,President,,Write-ins,1,37-300
37,U.S. Senate,NA,Breck Craig,0,37-300
37,U.S. Senate,NA,Ted Gianoutsos,0,37-300
37,U.S. Senate,DEM,Ray Metcalfe,3,37-300
37,U.S. Senate,LIB,Joe Miller,3,37-300
37,U.S. Senate,REP,Lisa Murkowski,19,37-300
37,U.S. Senate,NA,Margaret Stock,7,37-300
37,U.S. Senate,,Write-ins,0,37-300
37,U.S. House,DEM,Steve Lindbeck,9,37-300
37,U.S. House,LIB,Jim McDermott,2,37-300
37,U.S. House,NA,Bernie Souphanavong,0,37-300
37,U.S. House,REP,Don Young,22,37-300
37,U.S. House,,Write-ins,0,37-300
37,State House,DEM,Bryce Edgmon,18,37-300
37,State House,REP,William Weatherby,15,37-300
37,State House,,Write-ins,0,37-300
37,President,CON,Darrell Castle,4,37-302
37,President,DEM,Hillary Clinton,25,37-302
37,President,NA,Roque De La Fuente,1,37-302
37,President,LIB,Gary Johnson,9,37-302
37,President,GRE,Jill Stein,0,37-302
37,President,REP,Donald Trump,14,37-302
37,President,,Write-ins,1,37-302
37,U.S. Senate,NA,Breck Craig,1,37-302
37,U.S. Senate,NA,Ted Gianoutsos,1,37-302
37,U.S. Senate,DEM,Ray Metcalfe,3,37-302
37,U.S. Senate,LIB,Joe Miller,15,37-302
37,U.S. Senate,REP,Lisa Murkowski,33,37-302
37,U.S. Senate,NA,Margaret Stock,4,37-302
37,U.S. Senate,,Write-ins,0,37-302
37,U.S. House,DEM,Steve Lindbeck,12,37-302
37,U.S. House,LIB,Jim McDermott,1,37-302
37,U.S. House,NA,Bernie Souphanavong,1,37-302
37,U.S. House,REP,Don Young,43,37-302
37,U.S. House,,Write-ins,0,37-302
37,State House,DEM,Bryce Edgmon,16,37-302
37,State House,REP,William Weatherby,38,37-302
37,State House,,Write-ins,0,37-302
37,President,CON,Darrell Castle,2,37-304
37,President,DEM,Hillary Clinton,47,37-304
37,President,NA,Roque De La Fuente,0,37-304
37,President,LIB,Gary Johnson,4,37-304
37,President,GRE,Jill Stein,1,37-304
37,President,REP,Donald Trump,12,37-304
37,President,,Write-ins,2,37-304
37,U.S. Senate,NA,Breck Craig,0,37-304
37,U.S. Senate,NA,Ted Gianoutsos,0,37-304
37,U.S. Senate,DEM,Ray Metcalfe,6,37-304
37,U.S. Senate,LIB,Joe Miller,16,37-304
37,U.S. Senate,REP,Lisa Murkowski,44,37-304
37,U.S. Senate,NA,Margaret Stock,2,37-304
37,U.S. Senate,,Write-ins,0,37-304
37,U.S. House,DEM,Steve Lindbeck,22,37-304
37,U.S. House,LIB,Jim McDermott,3,37-304
37,U.S. House,NA,Bernie Souphanavong,2,37-304
37,U.S. House,REP,Don Young,40,37-304
37,U.S. House,,Write-ins,1,37-304
37,State House,DEM,Bryce Edgmon,36,37-304
37,State House,REP,William Weatherby,28,37-304
37,State House,,Write-ins,0,37-304
37,President,CON,Darrell Castle,0,37-306
37,President,DEM,Hillary Clinton,29,37-306
37,President,NA,Roque De La Fuente,2,37-306
37,President,LIB,Gary Johnson,11,37-306
37,President,GRE,Jill Stein,0,37-306
37,President,REP,Donald Trump,45,37-306
37,President,,Write-ins,0,37-306
37,U.S. Senate,NA,Breck Craig,0,37-306
37,U.S. Senate,NA,Ted Gianoutsos,2,37-306
37,U.S. Senate,DEM,Ray Metcalfe,6,37-306
37,U.S. Senate,LIB,Joe Miller,24,37-306
37,U.S. Senate,REP,Lisa Murkowski,47,37-306
37,U.S. Senate,NA,Margaret Stock,11,37-306
37,U.S. Senate,,Write-ins,0,37-306
37,U.S. House,DEM,Steve Lindbeck,22,37-306
37,U.S. House,LIB,Jim McDermott,8,37-306
37,U.S. House,NA,Bernie Souphanavong,2,37-306
37,U.S. House,REP,Don Young,58,37-306
37,U.S. House,,Write-ins,0,37-306
37,State House,DEM,Bryce Edgmon,35,37-306
37,State House,REP,William Weatherby,48,37-306
37,State House,,Write-ins,1,37-306
37,President,CON,Darrell Castle,2,37-308
37,President,DEM,Hillary Clinton,20,37-308
37,President,NA,Roque De La Fuente,0,37-308
37,President,LIB,Gary Johnson,4,37-308
37,President,GRE,Jill Stein,0,37-308
37,President,REP,Donald Trump,12,37-308
37,President,,Write-ins,2,37-308
37,U.S. Senate,NA,Breck Craig,0,37-308
37,U.S. Senate,NA,Ted Gianoutsos,0,37-308
37,U.S. Senate,DEM,Ray Metcalfe,7,37-308
37,U.S. Senate,LIB,Joe Miller,5,37-308
37,U.S. Senate,REP,Lisa Murkowski,25,37-308
37,U.S. Senate,NA,Margaret Stock,5,37-308
37,U.S. Senate,,Write-ins,0,37-308
37,U.S. House,DEM,Steve Lindbeck,20,37-308
37,U.S. House,LIB,Jim McDermott,1,37-308
37,U.S. House,NA,Bernie Souphanavong,2,37-308
37,U.S. House,REP,Don Young,20,37-308
37,U.S. House,,Write-ins,0,37-308
37,State House,DEM,Bryce Edgmon,18,37-308
37,State House,REP,William Weatherby,18,37-308
37,State House,,Write-ins,0,37-308
37,President,CON,Darrell Castle,0,37-310
37,President,DEM,Hillary Clinton,15,37-310
37,President,NA,Roque De La Fuente,0,37-310
37,President,LIB,Gary Johnson,0,37-310
37,President,GRE,Jill Stein,0,37-310
37,President,REP,Donald Trump,1,37-310
37,President,,Write-ins,0,37-310
37,U.S. Senate,NA,Breck Craig,0,37-310
37,U.S. Senate,NA,Ted Gianoutsos,0,37-310
37,U.S. Senate,DEM,Ray Metcalfe,1,37-310
37,U.S. Senate,LIB,Joe Miller,1,37-310
37,U.S. Senate,REP,Lisa Murkowski,12,37-310
37,U.S. Senate,NA,Margaret Stock,2,37-310
37,U.S. Senate,,Write-ins,0,37-310
37,U.S. House,DEM,Steve Lindbeck,5,37-310
37,U.S. House,LIB,Jim McDermott,2,37-310
37,U.S. House,NA,Bernie Souphanavong,0,37-310
37,U.S. House,REP,Don Young,9,37-310
37,U.S. House,,Write-ins,0,37-310
37,State House,DEM,Bryce Edgmon,8,37-310
37,State House,REP,William Weatherby,8,37-310
37,State House,,Write-ins,0,37-310
37,President,CON,Darrell Castle,0,37-312
37,President,DEM,Hillary Clinton,1,37-312
37,President,NA,Roque De La Fuente,0,37-312
37,President,LIB,Gary Johnson,3,37-312
37,President,GRE,Jill Stein,0,37-312
37,President,REP,Donald Trump,6,37-312
37,President,,Write-ins,0,37-312
37,U.S. Senate,NA,Breck Craig,0,37-312
37,U.S. Senate,NA,Ted Gianoutsos,0,37-312
37,U.S. Senate,DEM,Ray Metcalfe,0,37-312
37,U.S. Senate,LIB,Joe Miller,3,37-312
37,U.S. Senate,REP,Lisa Murkowski,6,37-312
37,U.S. Senate,NA,Margaret Stock,1,37-312
37,U.S. Senate,,Write-ins,0,37-312
37,U.S. House,DEM,Steve Lindbeck,3,37-312
37,U.S. House,LIB,Jim McDermott,2,37-312
37,U.S. House,NA,Bernie Souphanavong,0,37-312
37,U.S. House,REP,Don Young,4,37-312
37,U.S. House,,Write-ins,0,37-312
37,State House,DEM,Bryce Edgmon,2,37-312
37,State House,REP,William Weatherby,8,37-312
37,State House,,Write-ins,0,37-312
37,President,CON,Darrell Castle,1,37-700
37,President,DEM,Hillary Clinton,46,37-700
37,President,NA,Roque De La Fuente,1,37-700
37,President,LIB,Gary Johnson,4,37-700
37,President,GRE,Jill Stein,2,37-700
37,President,REP,Donald Trump,16,37-700
37,President,,Write-ins,3,37-700
37,U.S. Senate,NA,Breck Craig,2,37-700
37,U.S. Senate,NA,Ted Gianoutsos,1,37-700
37,U.S. Senate,DEM,Ray Metcalfe,19,37-700
37,U.S. Senate,LIB,Joe Miller,7,37-700
37,U.S. Senate,REP,Lisa Murkowski,40,37-700
37,U.S. Senate,NA,Margaret Stock,4,37-700
37,U.S. Senate,,Write-ins,0,37-700
37,U.S. House,DEM,Steve Lindbeck,31,37-700
37,U.S. House,LIB,Jim McDermott,3,37-700
37,U.S. House,NA,Bernie Souphanavong,2,37-700
37,U.S. House,REP,Don Young,36,37-700
37,U.S. House,,Write-ins,0,37-700
37,State House,DEM,Bryce Edgmon,45,37-700
37,State House,REP,William Weatherby,23,37-700
37,State House,,Write-ins,2,37-700
37,President,CON,Darrell Castle,2,37-702
37,President,DEM,Hillary Clinton,23,37-702
37,President,NA,Roque De La Fuente,0,37-702
37,President,LIB,Gary Johnson,1,37-702
37,President,GRE,Jill Stein,1,37-702
37,President,REP,Donald Trump,27,37-702
37,President,,Write-ins,2,37-702
37,U.S. Senate,NA,Breck Craig,0,37-702
37,U.S. Senate,NA,Ted Gianoutsos,0,37-702
37,U.S. Senate,DEM,Ray Metcalfe,5,37-702
37,U.S. Senate,LIB,Joe Miller,11,37-702
37,U.S. Senate,REP,Lisa Murkowski,36,37-702
37,U.S. Senate,NA,Margaret Stock,8,37-702
37,U.S. Senate,,Write-ins,0,37-702
37,U.S. House,DEM,Steve Lindbeck,17,37-702
37,U.S. House,LIB,Jim McDermott,3,37-702
37,U.S. House,NA,Bernie Souphanavong,1,37-702
37,U.S. House,REP,Don Young,39,37-702
37,U.S. House,,Write-ins,0,37-702
37,State House,DEM,Bryce Edgmon,47,37-702
37,State House,REP,William Weatherby,11,37-702
37,State House,,Write-ins,0,37-702
37,President,CON,Darrell Castle,0,37-704
37,President,DEM,Hillary Clinton,15,37-704
37,President,NA,Roque De La Fuente,0,37-704
37,President,LIB,Gary Johnson,0,37-704
37,President,GRE,Jill Stein,0,37-704
37,President,REP,Donald Trump,9,37-704
37,President,,Write-ins,3,37-704
37,U.S. Senate,NA,Breck Craig,0,37-704
37,U.S. Senate,NA,Ted Gianoutsos,0,37-704
37,U.S. Senate,DEM,Ray Metcalfe,6,37-704
37,U.S. Senate,LIB,Joe Miller,3,37-704
37,U.S. Senate,REP,Lisa Murkowski,19,37-704
37,U.S. Senate,NA,Margaret Stock,0,37-704
37,U.S. Senate,,Write-ins,0,37-704
37,U.S. House,DEM,Steve Lindbeck,10,37-704
37,U.S. House,LIB,Jim McDermott,2,37-704
37,U.S. House,NA,Bernie Souphanavong,1,37-704
37,U.S. House,REP,Don Young,15,37-704
37,U.S. House,,Write-ins,0,37-704
