district,office,party,candidate,votes,precinct
39,President,CON,Darrell Castle,2,39-314
39,President,DEM,Hillary Clinton,97,39-314
39,President,NA,Roque De La Fuente,1,39-314
39,President,LIB,Gary Johnson,12,39-314
39,President,GRE,Jill Stein,2,39-314
39,President,REP,Donald Trump,67,39-314
39,President,,Write-ins,10,39-314
39,U.S. Senate,NA,Breck Craig,0,39-314
39,U.S. Senate,NA,Ted Gianoutsos,1,39-314
39,U.S. Senate,DEM,Ray Metcalfe,18,39-314
39,U.S. Senate,LIB,Joe Miller,27,39-314
39,U.S. Senate,REP,Lisa Murkowski,132,39-314
39,U.S. Senate,NA,Margaret Stock,11,39-314
39,U.S. Senate,,Write-ins,0,39-314
39,U.S. House,DEM,Steve Lindbeck,52,39-314
39,U.S. House,LIB,Jim McDermott,12,39-314
39,U.S. House,NA,Bernie Souphanavong,8,39-314
39,U.S. House,REP,Don Young,113,39-314
39,U.S. House,,Write-ins,0,39-314
39,State Senate,DEM,Donald Olson,157,39-314
39,State Senate,,Write-ins,6,39-314
39,State House,DEM,Neal Foster,156,39-314
39,State House,,Write-ins,4,39-314
39,President,CON,Darrell Castle,8,39-316
39,President,DEM,Hillary Clinton,71,39-316
39,President,NA,Roque De La Fuente,0,39-316
39,President,LIB,Gary Johnson,1,39-316
39,President,GRE,Jill Stein,2,39-316
39,President,REP,Donald Trump,13,39-316
39,President,,Write-ins,7,39-316
39,U.S. Senate,NA,Breck Craig,0,39-316
39,U.S. Senate,NA,Ted Gianoutsos,1,39-316
39,U.S. Senate,DEM,Ray Metcalfe,8,39-316
39,U.S. Senate,LIB,Joe Miller,24,39-316
39,U.S. Senate,REP,Lisa Murkowski,52,39-316
39,U.S. Senate,NA,Margaret Stock,19,39-316
39,U.S. Senate,,Write-ins,0,39-316
39,U.S. House,DEM,Steve Lindbeck,36,39-316
39,U.S. House,LIB,Jim McDermott,10,39-316
39,U.S. House,NA,Bernie Souphanavong,2,39-316
39,U.S. House,REP,Don Young,55,39-316
39,U.S. House,,Write-ins,2,39-316
39,State Senate,DEM,Donald Olson,95,39-316
39,State Senate,,Write-ins,4,39-316
39,State House,DEM,Neal Foster,87,39-316
39,State House,,Write-ins,3,39-316
39,President,CON,Darrell Castle,1,39-318
39,President,DEM,Hillary Clinton,37,39-318
39,President,NA,Roque De La Fuente,0,39-318
39,President,LIB,Gary Johnson,3,39-318
39,President,GRE,Jill Stein,0,39-318
39,President,REP,Donald Trump,5,39-318
39,President,,Write-ins,1,39-318
39,U.S. Senate,NA,Breck Craig,0,39-318
39,U.S. Senate,NA,Ted Gianoutsos,0,39-318
39,U.S. Senate,DEM,Ray Metcalfe,4,39-318
39,U.S. Senate,LIB,Joe Miller,3,39-318
39,U.S. Senate,REP,Lisa Murkowski,37,39-318
39,U.S. Senate,NA,Margaret Stock,3,39-318
39,U.S. Senate,,Write-ins,1,39-318
39,U.S. House,DEM,Steve Lindbeck,12,39-318
39,U.S. House,LIB,Jim McDermott,2,39-318
39,U.S. House,NA,Bernie Souphanavong,2,39-318
39,U.S. House,REP,Don Young,31,39-318
39,U.S. House,,Write-ins,0,39-318
39,State Senate,DEM,Donald Olson,40,39-318
39,State Senate,,Write-ins,0,39-318
39,State House,DEM,Neal Foster,45,39-318
39,State House,,Write-ins,0,39-318
39,President,CON,Darrell Castle,3,39-320
39,President,DEM,Hillary Clinton,32,39-320
39,President,NA,Roque De La Fuente,0,39-320
39,President,LIB,Gary Johnson,6,39-320
39,President,GRE,Jill Stein,0,39-320
39,President,REP,Donald Trump,2,39-320
39,President,,Write-ins,0,39-320
39,U.S. Senate,NA,Breck Craig,0,39-320
39,U.S. Senate,NA,Ted Gianoutsos,0,39-320
39,U.S. Senate,DEM,Ray Metcalfe,3,39-320
39,U.S. Senate,LIB,Joe Miller,3,39-320
39,U.S. Senate,REP,Lisa Murkowski,36,39-320
39,U.S. Senate,NA,Margaret Stock,2,39-320
39,U.S. Senate,,Write-ins,0,39-320
39,U.S. House,DEM,Steve Lindbeck,19,39-320
39,U.S. House,LIB,Jim McDermott,2,39-320
39,U.S. House,NA,Bernie Souphanavong,0,39-320
39,U.S. House,REP,Don Young,22,39-320
39,U.S. House,,Write-ins,0,39-320
39,State Senate,DEM,Donald Olson,40,39-320
39,State Senate,,Write-ins,0,39-320
39,State House,DEM,Neal Foster,35,39-320
39,State House,,Write-ins,0,39-320
39,President,CON,Darrell Castle,4,39-322
39,President,DEM,Hillary Clinton,52,39-322
39,President,NA,Roque De La Fuente,1,39-322
39,President,LIB,Gary Johnson,2,39-322
39,President,GRE,Jill Stein,2,39-322
39,President,REP,Donald Trump,13,39-322
39,President,,Write-ins,4,39-322
39,U.S. Senate,NA,Breck Craig,1,39-322
39,U.S. Senate,NA,Ted Gianoutsos,0,39-322
39,U.S. Senate,DEM,Ray Metcalfe,7,39-322
39,U.S. Senate,LIB,Joe Miller,11,39-322
39,U.S. Senate,REP,Lisa Murkowski,63,39-322
39,U.S. Senate,NA,Margaret Stock,2,39-322
39,U.S. Senate,,Write-ins,0,39-322
39,U.S. House,DEM,Steve Lindbeck,22,39-322
39,U.S. House,LIB,Jim McDermott,3,39-322
39,U.S. House,NA,Bernie Souphanavong,0,39-322
39,U.S. House,REP,Don Young,58,39-322
39,U.S. House,,Write-ins,0,39-322
39,State Senate,DEM,Donald Olson,78,39-322
39,State Senate,,Write-ins,0,39-322
39,State House,DEM,Neal Foster,74,39-322
39,State House,,Write-ins,0,39-322
39,President,CON,Darrell Castle,3,39-324
39,President,DEM,Hillary Clinton,35,39-324
39,President,NA,Roque De La Fuente,0,39-324
39,President,LIB,Gary Johnson,2,39-324
39,President,GRE,Jill Stein,0,39-324
39,President,REP,Donald Trump,10,39-324
39,President,,Write-ins,2,39-324
39,U.S. Senate,NA,Breck Craig,0,39-324
39,U.S. Senate,NA,Ted Gianoutsos,0,39-324
39,U.S. Senate,DEM,Ray Metcalfe,3,39-324
39,U.S. Senate,LIB,Joe Miller,11,39-324
39,U.S. Senate,REP,Lisa Murkowski,28,39-324
39,U.S. Senate,NA,Margaret Stock,10,39-324
