district,office,party,candidate,votes,precinct
36,President,CON,Darrell Castle,9,36-600
36,President,DEM,Hillary Clinton,277,36-600
36,President,NA,Roque De La Fuente,3,36-600
36,President,LIB,Gary Johnson,69,36-600
36,President,GRE,Jill Stein,17,36-600
36,President,REP,Donald Trump,299,36-600
36,President,,Write-ins,15,36-600
36,U.S. Senate,NA,Breck Craig,14,36-600
36,U.S. Senate,NA,Ted Gianoutsos,5,36-600
36,U.S. Senate,DEM,Ray Metcalfe,76,36-600
36,U.S. Senate,LIB,Joe Miller,126,36-600
36,U.S. Senate,REP,Lisa Murkowski,332,36-600
36,U.S. Senate,NA,Margaret Stock,127,36-600
36,U.S. Senate,,Write-ins,0,36-600
36,U.S. House,DEM,Steve Lindbeck,250,36-600
36,U.S. House,LIB,Jim McDermott,70,36-600
36,U.S. House,NA,Bernie Souphanavong,30,36-600
36,U.S. House,REP,Don Young,317,36-600
36,U.S. House,,Write-ins,3,36-600
36,State Senate,REP,Bert Stedman,517,36-600
36,State Senate,,Write-ins,24,36-600
36,State House,CON,Kenneth Shaw,48,36-600
36,State House,REP,Robert Sivertsen,240,36-600
36,State House,NA,Daniel Ortiz,395,36-600
36,State House,,Write-ins,1,36-600
36,President,CON,Darrell Castle,15,36-610
36,President,DEM,Hillary Clinton,348,36-610
36,President,NA,Roque De La Fuente,3,36-610
36,President,LIB,Gary Johnson,80,36-610
36,President,GRE,Jill Stein,16,36-610
36,President,REP,Donald Trump,435,36-610
36,President,,Write-ins,36,36-610
36,U.S. Senate,NA,Breck Craig,5,36-610
36,U.S. Senate,NA,Ted Gianoutsos,6,36-610
36,U.S. Senate,DEM,Ray Metcalfe,101,36-610
36,U.S. Senate,LIB,Joe Miller,175,36-610
36,U.S. Senate,REP,Lisa Murkowski,519,36-610
36,U.S. Senate,NA,Margaret Stock,120,36-610
36,U.S. Senate,,Write-ins,1,36-610
36,U.S. House,DEM,Steve Lindbeck,283,36-610
36,U.S. House,LIB,Jim McDermott,97,36-610
36,U.S. House,NA,Bernie Souphanavong,40,36-610
36,U.S. House,REP,Don Young,490,36-610
36,U.S. House,,Write-ins,4,36-610
36,State Senate,REP,Bert Stedman,679,36-610
36,State Senate,,Write-ins,32,36-610
36,State House,CON,Kenneth Shaw,52,36-610
36,State House,REP,Robert Sivertsen,352,36-610
36,State House,NA,Daniel Ortiz,527,36-610
36,State House,,Write-ins,0,36-610
36,President,CON,Darrell Castle,12,36-620
36,President,DEM,Hillary Clinton,155,36-620
36,President,NA,Roque De La Fuente,3,36-620
36,President,LIB,Gary Johnson,57,36-620
36,President,GRE,Jill Stein,13,36-620
36,President,REP,Donald Trump,394,36-620
36,President,,Write-ins,13,36-620
36,U.S. Senate,NA,Breck Craig,10,36-620
36,U.S. Senate,NA,Ted Gianoutsos,5,36-620
36,U.S. Senate,DEM,Ray Metcalfe,57,36-620
36,U.S. Senate,LIB,Joe Miller,140,36-620
36,U.S. Senate,REP,Lisa Murkowski,374,36-620
36,U.S. Senate,NA,Margaret Stock,55,36-620
36,U.S. Senate,,Write-ins,1,36-620
36,U.S. House,DEM,Steve Lindbeck,161,36-620
36,U.S. House,LIB,Jim McDermott,70,36-620
36,U.S. House,NA,Bernie Souphanavong,22,36-620
36,U.S. House,REP,Don Young,377,36-620
36,U.S. House,,Write-ins,2,36-620
36,State Senate,REP,Bert Stedman,504,36-620
36,State Senate,,Write-ins,16,36-620
36,State House,CON,Kenneth Shaw,31,36-620
36,State House,REP,Robert Sivertsen,307,36-620
36,State House,NA,Daniel Ortiz,305,36-620
36,State House,,Write-ins,3,36-620
36,President,CON,Darrell Castle,2,36-640
36,President,DEM,Hillary Clinton,86,36-640
36,President,NA,Roque De La Fuente,0,36-640
36,President,LIB,Gary Johnson,19,36-640
36,President,GRE,Jill Stein,13,36-640
36,President,REP,Donald Trump,268,36-640
36,President,,Write-ins,3,36-640
36,U.S. Senate,NA,Breck Craig,1,36-640
36,U.S. Senate,NA,Ted Gianoutsos,7,36-640
36,U.S. Senate,DEM,Ray Metcalfe,21,36-640
36,U.S. Senate,LIB,Joe Miller,110,36-640
36,U.S. Senate,REP,Lisa Murkowski,205,36-640
36,U.S. Senate,NA,Margaret Stock,39,36-640
36,U.S. Senate,,Write-ins,0,36-640
36,U.S. House,DEM,Steve Lindbeck,87,36-640
36,U.S. House,LIB,Jim McDermott,44,36-640
36,U.S. House,NA,Bernie Souphanavong,14,36-640
36,U.S. House,REP,Don Young,229,36-640
