district,office,party,candidate,votes,precinct
21,President,CON,Darrell Castle,2,21-600
21,President,DEM,Hillary Clinton,528,21-600
21,President,NA,Roque De La Fuente,0,21-600
21,President,LIB,Gary Johnson,46,21-600
21,President,GRE,Jill Stein,10,21-600
21,President,REP,Donald Trump,271,21-600
21,President,,Write-ins,16,21-600
21,U.S. Senate,NA,Breck Craig,1,21-600
21,U.S. Senate,NA,Ted Gianoutsos,0,21-600
21,U.S. Senate,DEM,Ray Metcalfe,85,21-600
21,U.S. Senate,LIB,Joe Miller,102,21-600
21,U.S. Senate,REP,Lisa Murkowski,414,21-600
21,U.S. Senate,NA,Margaret Stock,277,21-600
21,U.S. Senate,,Write-ins,0,21-600
21,U.S. House,DEM,Steve Lindbeck,493,21-600
21,U.S. House,LIB,Jim McDermott,32,21-600
21,U.S. House,NA,Bernie Souphanavong,25,21-600
21,U.S. House,REP,Don Young,320,21-600
21,U.S. House,,Write-ins,1,21-600
21,State House,REP,Marilyn Stewart,343,21-600
21,State House,DEM,Matt Claman,521,21-600
21,State House,,Write-ins,1,21-600
21,President,CON,Darrell Castle,3,21-605
21,President,DEM,Hillary Clinton,317,21-605
21,President,NA,Roque De La Fuente,3,21-605
21,President,LIB,Gary Johnson,37,21-605
21,President,GRE,Jill Stein,12,21-605
21,President,REP,Donald Trump,410,21-605
21,President,,Write-ins,21,21-605
21,U.S. Senate,NA,Breck Craig,7,21-605
21,U.S. Senate,NA,Ted Gianoutsos,2,21-605
21,U.S. Senate,DEM,Ray Metcalfe,105,21-605
21,U.S. Senate,LIB,Joe Miller,222,21-605
21,U.S. Senate,REP,Lisa Murkowski,357,21-605
21,U.S. Senate,NA,Margaret Stock,105,21-605
21,U.S. Senate,,Write-ins,3,21-605
21,U.S. House,DEM,Steve Lindbeck,311,21-605
21,U.S. House,LIB,Jim McDermott,81,21-605
21,U.S. House,NA,Bernie Souphanavong,31,21-605
21,U.S. House,REP,Don Young,372,21-605
21,U.S. House,,Write-ins,4,21-605
21,State House,REP,Marilyn Stewart,431,21-605
21,State House,DEM,Matt Claman,344,21-605
21,State House,,Write-ins,7,21-605
21,President,CON,Darrell Castle,3,21-610
21,President,DEM,Hillary Clinton,277,21-610
21,President,NA,Roque De La Fuente,1,21-610
21,President,LIB,Gary Johnson,53,21-610
21,President,GRE,Jill Stein,13,21-610
21,President,REP,Donald Trump,324,21-610
21,President,,Write-ins,20,21-610
21,U.S. Senate,NA,Breck Craig,8,21-610
21,U.S. Senate,NA,Ted Gianoutsos,3,21-610
21,U.S. Senate,DEM,Ray Metcalfe,95,21-610
21,U.S. Senate,LIB,Joe Miller,155,21-610
21,U.S. Senate,REP,Lisa Murkowski,329,21-610
21,U.S. Senate,NA,Margaret Stock,92,21-610
21,U.S. Senate,,Write-ins,0,21-610
21,U.S. House,DEM,Steve Lindbeck,264,21-610
21,U.S. House,LIB,Jim McDermott,63,21-610
21,U.S. House,NA,Bernie Souphanavong,31,21-610
21,U.S. House,REP,Don Young,319,21-610
21,U.S. House,,Write-ins,1,21-610
21,State House,REP,Marilyn Stewart,384,21-610
21,State House,DEM,Matt Claman,281,21-610
21,State House,,Write-ins,1,21-610
21,President,CON,Darrell Castle,8,21-615
21,President,DEM,Hillary Clinton,232,21-615
21,President,NA,Roque De La Fuente,4,21-615
21,President,LIB,Gary Johnson,45,21-615
21,President,GRE,Jill Stein,11,21-615
21,President,REP,Donald Trump,257,21-615
21,President,,Write-ins,15,21-615
21,U.S. Senate,NA,Breck Craig,4,21-615
21,U.S. Senate,NA,Ted Gianoutsos,7,21-615
21,U.S. Senate,DEM,Ray Metcalfe,75,21-615
21,U.S. Senate,LIB,Joe Miller,151,21-615
21,U.S. Senate,REP,Lisa Murkowski,249,21-615
21,U.S. Senate,NA,Margaret Stock,86,21-615
21,U.S. Senate,,Write-ins,2,21-615
21,U.S. House,DEM,Steve Lindbeck,230,21-615
21,U.S. House,LIB,Jim McDermott,59,21-615
21,U.S. House,NA,Bernie Souphanavong,21,21-615
21,U.S. House,REP,Don Young,254,21-615
21,U.S. House,,Write-ins,2,21-615
21,State House,REP,Marilyn Stewart,300,21-615
21,State House,DEM,Matt Claman,254,21-615
21,State House,,Write-ins,3,21-615
21,President,CON,Darrell Castle,3,21-620
21,President,DEM,Hillary Clinton,244,21-620
21,President,NA,Roque De La Fuente,5,21-620
21,President,LIB,Gary Johnson,26,21-620
21,President,GRE,Jill Stein,11,21-620
21,President,REP,Donald Trump,273,21-620
21,President,,Write-ins,15,21-620
21,U.S. Senate,NA,Breck Craig,1,21-620
21,U.S. Senate,NA,Ted Gianoutsos,4,21-620
21,U.S. Senate,DEM,Ray Metcalfe,69,21-620
21,U.S. Senate,LIB,Joe Miller,146,21-620
21,U.S. Senate,REP,Lisa Murkowski,267,21-620
21,U.S. Senate,NA,Margaret Stock,85,21-620
21,U.S. Senate,,Write-ins,1,21-620
21,U.S. House,DEM,Steve Lindbeck,216,21-620
21,U.S. House,LIB,Jim McDermott,48,21-620
21,U.S. House,NA,Bernie Souphanavong,20,21-620
21,U.S. House,REP,Don Young,280,21-620
21,U.S. House,,Write-ins,2,21-620
21,State House,REP,Marilyn Stewart,304,21-620
21,State House,DEM,Matt Claman,250,21-620
21,State House,,Write-ins,0,21-620
