district,office,party,candidate,votes,precinct
33,President,CON,Darrell Castle,8,33-500
33,President,DEM,Hillary Clinton,456,33-500
33,President,NA,Roque De La Fuente,1,33-500
33,President,LIB,Gary Johnson,41,33-500
33,President,GRE,Jill Stein,24,33-500
33,President,REP,Donald Trump,156,33-500
33,President,,Write-ins,15,33-500
33,U.S. Senate,NA,Breck Craig,2,33-500
33,U.S. Senate,NA,Ted Gianoutsos,2,33-500
33,U.S. Senate,DEM,Ray Metcalfe,144,33-500
33,U.S. Senate,LIB,Joe Miller,100,33-500
33,U.S. Senate,REP,Lisa Murkowski,264,33-500
33,U.S. Senate,NA,Margaret Stock,181,33-500
33,U.S. Senate,,Write-ins,2,33-500
33,U.S. House,DEM,Steve Lindbeck,413,33-500
33,U.S. House,LIB,Jim McDermott,56,33-500
33,U.S. House,NA,Bernie Souphanavong,22,33-500
33,U.S. House,REP,Don Young,194,33-500
33,U.S. House,,Write-ins,1,33-500
33,State House,DEM,Sam Kito III,567,33-500
33,State House,,Write-ins,14,33-500
33,President,CON,Darrell Castle,4,33-505
33,President,DEM,Hillary Clinton,124,33-505
33,President,NA,Roque De La Fuente,4,33-505
33,President,LIB,Gary Johnson,7,33-505
33,President,GRE,Jill Stein,12,33-505
33,President,REP,Donald Trump,57,33-505
33,President,,Write-ins,1,33-505
33,U.S. Senate,NA,Breck Craig,1,33-505
33,U.S. Senate,NA,Ted Gianoutsos,0,33-505
33,U.S. Senate,DEM,Ray Metcalfe,58,33-505
33,U.S. Senate,LIB,Joe Miller,33,33-505
33,U.S. Senate,REP,Lisa Murkowski,56,33-505
33,U.S. Senate,NA,Margaret Stock,56,33-505
33,U.S. Senate,,Write-ins,0,33-505
33,U.S. House,DEM,Steve Lindbeck,124,33-505
33,U.S. House,LIB,Jim McDermott,16,33-505
33,U.S. House,NA,Bernie Souphanavong,9,33-505
33,U.S. House,REP,Don Young,52,33-505
33,U.S. House,,Write-ins,0,33-505
33,State House,DEM,Sam Kito III,174,33-505
33,State House,,Write-ins,9,33-505
33,President,CON,Darrell Castle,3,33-510
33,President,DEM,Hillary Clinton,395,33-510
33,President,NA,Roque De La Fuente,1,33-510
33,President,LIB,Gary Johnson,32,33-510
33,President,GRE,Jill Stein,21,33-510
33,President,REP,Donald Trump,159,33-510
33,President,,Write-ins,13,33-510
33,U.S. Senate,NA,Breck Craig,2,33-510
33,U.S. Senate,NA,Ted Gianoutsos,3,33-510
