district,office,party,candidate,votes,precinct
38,President,CON,Darrell Castle,13,38-800
38,President,DEM,Hillary Clinton,52,38-800
38,President,NA,Roque De La Fuente,3,38-800
38,President,LIB,Gary Johnson,7,38-800
38,President,GRE,Jill Stein,3,38-800
38,President,REP,Donald Trump,28,38-800
38,President,,Write-ins,6,38-800
38,U.S. Senate,NA,Breck Craig,1,38-800
38,U.S. Senate,NA,Ted Gianoutsos,0,38-800
38,U.S. Senate,DEM,Ray Metcalfe,13,38-800
38,U.S. Senate,LIB,Joe Miller,46,38-800
38,U.S. Senate,REP,Lisa Murkowski,42,38-800
38,U.S. Senate,NA,Margaret Stock,10,38-800
38,U.S. Senate,,Write-ins,0,38-800
38,U.S. House,DEM,Steve Lindbeck,44,38-800
38,U.S. House,LIB,Jim McDermott,3,38-800
38,U.S. House,NA,Bernie Souphanavong,1,38-800
38,U.S. House,REP,Don Young,61,38-800
38,U.S. House,,Write-ins,1,38-800
38,State House,DEM,Zach Fansler,87,38-800
38,State House,,Write-ins,0,38-800
38,President,CON,Darrell Castle,21,38-802
38,President,DEM,Hillary Clinton,46,38-802
38,President,NA,Roque De La Fuente,1,38-802
38,President,LIB,Gary Johnson,6,38-802
38,President,GRE,Jill Stein,1,38-802
38,President,REP,Donald Trump,15,38-802
38,President,,Write-ins,6,38-802
38,U.S. Senate,NA,Breck Craig,3,38-802
38,U.S. Senate,NA,Ted Gianoutsos,1,38-802
38,U.S. Senate,DEM,Ray Metcalfe,16,38-802
38,U.S. Senate,LIB,Joe Miller,38,38-802
38,U.S. Senate,REP,Lisa Murkowski,32,38-802
38,U.S. Senate,NA,Margaret Stock,9,38-802
38,U.S. Senate,,Write-ins,0,38-802
38,U.S. House,DEM,Steve Lindbeck,58,38-802
38,U.S. House,LIB,Jim McDermott,1,38-802
38,U.S. House,NA,Bernie Souphanavong,5,38-802
38,U.S. House,REP,Don Young,35,38-802
38,U.S. House,,Write-ins,1,38-802
38,State House,DEM,Zach Fansler,89,38-802
38,State House,,Write-ins,2,38-802
38,President,CON,Darrell Castle,5,38-804
38,President,DEM,Hillary Clinton,80,38-804
38,President,NA,Roque De La Fuente,0,38-804
38,President,LIB,Gary Johnson,2,38-804
38,President,GRE,Jill Stein,1,38-804
38,President,REP,Donald Trump,43,38-804
38,President,,Write-ins,5,38-804
38,U.S. Senate,NA,Breck Craig,1,38-804
38,U.S. Senate,NA,Ted Gianoutsos,3,38-804
38,U.S. Senate,DEM,Ray Metcalfe,15,38-804
38,U.S. Senate,LIB,Joe Miller,27,38-804
38,U.S. Senate,REP,Lisa Murkowski,77,38-804
38,U.S. Senate,NA,Margaret Stock,14,38-804
38,U.S. Senate,,Write-ins,0,38-804
38,U.S. House,DEM,Steve Lindbeck,54,38-804
38,U.S. House,LIB,Jim McDermott,7,38-804
38,U.S. House,NA,Bernie Souphanavong,4,38-804
38,U.S. House,REP,Don Young,74,38-804
38,U.S. House,,Write-ins,0,38-804
38,State House,DEM,Zach Fansler,108,38-804
38,State House,,Write-ins,10,38-804
38,President,CON,Darrell Castle,6,38-806
38,President,DEM,Hillary Clinton,35,38-806
38,President,NA,Roque De La Fuente,0,38-806
38,President,LIB,Gary Johnson,3,38-806
38,President,GRE,Jill Stein,5,38-806
38,President,REP,Donald Trump,5,38-806
38,President,,Write-ins,5,38-806
38,U.S. Senate,NA,Breck Craig,1,38-806
38,U.S. Senate,NA,Ted Gianoutsos,0,38-806
38,U.S. Senate,DEM,Ray Metcalfe,9,38-806
38,U.S. Senate,LIB,Joe Miller,13,38-806
38,U.S. Senate,REP,Lisa Murkowski,29,38-806
38,U.S. Senate,NA,Margaret Stock,7,38-806
38,U.S. Senate,,Write-ins,0,38-806
38,U.S. House,DEM,Steve Lindbeck,34,38-806
38,U.S. House,LIB,Jim McDermott,2,38-806
38,U.S. House,NA,Bernie Souphanavong,1,38-806
38,U.S. House,REP,Don Young,21,38-806
38,U.S. House,,Write-ins,0,38-806
38,State House,DEM,Zach Fansler,52,38-806
38,State House,,Write-ins,1,38-806
38,President,CON,Darrell Castle,23,38-808
38,President,DEM,Hillary Clinton,320,38-808
38,President,NA,Roque De La Fuente,1,38-808
38,President,LIB,Gary Johnson,34,38-808
38,President,GRE,Jill Stein,14,38-808
38,President,REP,Donald Trump,174,38-808
38,President,,Write-ins,34,38-808
38,U.S. Senate,NA,Breck Craig,6,38-808
38,U.S. Senate,NA,Ted Gianoutsos,3,38-808
38,U.S. Senate,DEM,Ray Metcalfe,58,38-808
