district,office,party,candidate,votes,precinct
35,President,CON,Darrell Castle,9,35-700
35,President,DEM,Hillary Clinton,110,35-700
35,President,NA,Roque De La Fuente,2,35-700
35,President,LIB,Gary Johnson,18,35-700
35,President,GRE,Jill Stein,4,35-700
35,President,REP,Donald Trump,27,35-700
35,President,,Write-ins,7,35-700
35,U.S. Senate,NA,Breck Craig,2,35-700
35,U.S. Senate,NA,Ted Gianoutsos,0,35-700
35,U.S. Senate,DEM,Ray Metcalfe,29,35-700
35,U.S. Senate,LIB,Joe Miller,35,35-700
35,U.S. Senate,REP,Lisa Murkowski,99,35-700
35,U.S. Senate,NA,Margaret Stock,14,35-700
35,U.S. Senate,,Write-ins,0,35-700
35,U.S. House,DEM,Steve Lindbeck,68,35-700
35,U.S. House,LIB,Jim McDermott,10,35-700
35,U.S. House,NA,Bernie Souphanavong,7,35-700
35,U.S. House,REP,Don Young,92,35-700
35,U.S. House,,Write-ins,0,35-700
35,State Senate,REP,Bert Stedman,143,35-700
35,State Senate,,Write-ins,7,35-700
35,State House,REP,Sheila Finkenbinder,24,35-700
35,State House,DEM,Jona Kreiss-Tomkins,151,35-700
35,State House,,Write-ins,1,35-700
35,President,CON,Darrell Castle,7,35-705
35,President,DEM,Hillary Clinton,126,35-705
35,President,NA,Roque De La Fuente,5,35-705
35,President,LIB,Gary Johnson,21,35-705
35,President,GRE,Jill Stein,11,35-705
35,President,REP,Donald Trump,234,35-705
35,President,,Write-ins,17,35-705
35,U.S. Senate,NA,Breck Craig,9,35-705
35,U.S. Senate,NA,Ted Gianoutsos,1,35-705
35,U.S. Senate,DEM,Ray Metcalfe,57,35-705
35,U.S. Senate,LIB,Joe Miller,106,35-705
35,U.S. Senate,REP,Lisa Murkowski,207,35-705
35,U.S. Senate,NA,Margaret Stock,33,35-705
35,U.S. Senate,,Write-ins,2,35-705
35,U.S. House,DEM,Steve Lindbeck,137,35-705
35,U.S. House,LIB,Jim McDermott,50,35-705
35,U.S. House,NA,Bernie Souphanavong,17,35-705
35,U.S. House,REP,Don Young,205,35-705
35,U.S. House,,Write-ins,3,35-705
35,State Senate,REP,Bert Stedman,313,35-705
35,State Senate,,Write-ins,14,35-705
35,State House,REP,Sheila Finkenbinder,206,35-705
35,State House,DEM,Jona Kreiss-Tomkins,199,35-705
35,State House,,Write-ins,2,35-705
35,President,CON,Darrell Castle,15,35-720
35,President,DEM,Hillary Clinton,122,35-720
35,President,NA,Roque De La Fuente,5,35-720
35,President,LIB,Gary Johnson,16,35-720
35,President,GRE,Jill Stein,7,35-720
35,President,REP,Donald Trump,131,35-720
35,President,,Write-ins,9,35-720
35,U.S. Senate,NA,Breck Craig,5,35-720
35,U.S. Senate,NA,Ted Gianoutsos,3,35-720
35,U.S. Senate,DEM,Ray Metcalfe,42,35-720
35,U.S. Senate,LIB,Joe Miller,87,35-720
35,U.S. Senate,REP,Lisa Murkowski,142,35-720
35,U.S. Senate,NA,Margaret Stock,27,35-720
35,U.S. Senate,,Write-ins,1,35-720
35,U.S. House,DEM,Steve Lindbeck,108,35-720
35,U.S. House,LIB,Jim McDermott,41,35-720
35,U.S. House,NA,Bernie Souphanavong,9,35-720
35,U.S. House,REP,Don Young,147,35-720
35,U.S. House,,Write-ins,0,35-720
35,State Senate,REP,Bert Stedman,224,35-720
35,State Senate,,Write-ins,5,35-720
35,State House,REP,Sheila Finkenbinder,98,35-720
35,State House,DEM,Jona Kreiss-Tomkins,199,35-720
35,State House,,Write-ins,2,35-720
35,President,CON,Darrell Castle,12,35-730
35,President,DEM,Hillary Clinton,77,35-730
35,President,NA,Roque De La Fuente,9,35-730
35,President,LIB,Gary Johnson,11,35-730
35,President,GRE,Jill Stein,6,35-730
35,President,REP,Donald Trump,67,35-730
35,President,,Write-ins,0,35-730
35,U.S. Senate,NA,Breck Craig,4,35-730
35,U.S. Senate,NA,Ted Gianoutsos,0,35-730
35,U.S. Senate,DEM,Ray Metcalfe,22,35-730
35,U.S. Senate,LIB,Joe Miller,40,35-730
35,U.S. Senate,REP,Lisa Murkowski,103,35-730
35,U.S. Senate,NA,Margaret Stock,16,35-730
35,U.S. Senate,,Write-ins,0,35-730
35,U.S. House,DEM,Steve Lindbeck,61,35-730
35,U.S. House,LIB,Jim McDermott,23,35-730
35,U.S. House,NA,Bernie Souphanavong,7,35-730
35,U.S. House,REP,Don Young,89,35-730
35,U.S. House,,Write-ins,0,35-730
35,State Senate,REP,Bert Stedman,136,35-730
35,State Senate,,Write-ins,4,35-730
35,State House,REP,Sheila Finkenbinder,50,35-730
35,State House,DEM,Jona Kreiss-Tomkins,128,35-730
35,State House,,Write-ins,1,35-730
35,President,CON,Darrell Castle,1,35-735
35,President,DEM,Hillary Clinton,4,35-735
35,President,NA,Roque De La Fuente,0,35-735
35,President,LIB,Gary Johnson,7,35-735
35,President,GRE,Jill Stein,1,35-735
35,President,REP,Donald Trump,7,35-735
