precinct,office,district,party,candidate,votes
01-446 Aurora,U.S. Senate,,REP,Registered Voters,2805
01-446 Aurora,U.S. Senate,,REP,Times Counted,190
01-446 Aurora,U.S. Senate,,REP,Sullivan Dan - R,184
01-446 Aurora,U.S. Senate,,AD,Registered Voters,2805
01-446 Aurora,U.S. Senate,,AD,Times Counted,154
01-446 Aurora,U.S. Senate,,AD,Blatchford Edgar - D,12
01-446 Aurora,U.S. Senate,,AD,Cumings Chris C. - N,9
01-446 Aurora,U.S. Senate,,AD,Gross Al - N,117
01-446 Aurora,U.S. Senate,,AD,Howe John Wayne - A,12
01-446 Aurora,U.S. House,1,REP,Registered Voters,2805
01-446 Aurora,U.S. House,1,REP,Times Counted,190
01-446 Aurora,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",12
01-446 Aurora,U.S. House,1,REP,"Nelson T. John"" - R""",27
01-446 Aurora,U.S. House,1,REP,Young Don - R,149
01-446 Aurora,U.S. House,1,AD,Registered Voters,2805
01-446 Aurora,U.S. House,1,AD,Times Counted,154
01-446 Aurora,U.S. House,1,AD,Galvin Alyse S. - N,125
01-446 Aurora,U.S. House,1,AD,"Hibler William Bill"" - D""",10
01-446 Aurora,U.S. House,1,AD,Tugatuk Ray Sean - D,16
01-446 Aurora,State House,1,REP,Registered Voters,2805
01-446 Aurora,State House,1,REP,Times Counted,190
01-446 Aurora,State House,1,REP,"Lebon Barton S. Bart"" - R""",178
01-446 Aurora,State House,1,AD,Registered Voters,2805
01-446 Aurora,State House,1,AD,Times Counted,154
01-446 Aurora,State House,1,AD,Colbert Bennie D. - D,67
01-446 Aurora,State House,1,AD,Quist Christopher - D,82
01-455 Fairbanks No. 1,U.S. Senate,,REP,Registered Voters,512
01-455 Fairbanks No. 1,U.S. Senate,,REP,Times Counted,28
01-455 Fairbanks No. 1,U.S. Senate,,REP,Sullivan Dan - R,26
01-455 Fairbanks No. 1,U.S. Senate,,AD,Registered Voters,512
01-455 Fairbanks No. 1,U.S. Senate,,AD,Times Counted,34
01-455 Fairbanks No. 1,U.S. Senate,,AD,Blatchford Edgar - D,4
01-455 Fairbanks No. 1,U.S. Senate,,AD,Cumings Chris C. - N,1
01-455 Fairbanks No. 1,U.S. Senate,,AD,Gross Al - N,26
01-455 Fairbanks No. 1,U.S. Senate,,AD,Howe John Wayne - A,3
01-455 Fairbanks No. 1,U.S. House,1,REP,Registered Voters,512
01-455 Fairbanks No. 1,U.S. House,1,REP,Times Counted,28
01-455 Fairbanks No. 1,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",5
