precinct,office,district,party,candidate,votes
01-455 Fairbanks No. 1,U.S. House,1,REP,"Nelson T. John"" - R""",4
01-455 Fairbanks No. 1,U.S. House,1,REP,Young Don - R,18
01-455 Fairbanks No. 1,U.S. House,1,AD,Registered Voters,512
01-455 Fairbanks No. 1,U.S. House,1,AD,Times Counted,34
01-455 Fairbanks No. 1,U.S. House,1,AD,Galvin Alyse S. - N,27
01-455 Fairbanks No. 1,U.S. House,1,AD,"Hibler William Bill"" - D""",3
01-455 Fairbanks No. 1,U.S. House,1,AD,Tugatuk Ray Sean - D,4
01-455 Fairbanks No. 1,State House,1,REP,Registered Voters,512
01-455 Fairbanks No. 1,State House,1,REP,Times Counted,28
01-455 Fairbanks No. 1,State House,1,REP,"Lebon Barton S. Bart"" - R""",27
01-455 Fairbanks No. 1,State House,1,AD,Registered Voters,512
01-455 Fairbanks No. 1,State House,1,AD,Times Counted,34
01-455 Fairbanks No. 1,State House,1,AD,Colbert Bennie D. - D,14
01-455 Fairbanks No. 1,State House,1,AD,Quist Christopher - D,20
01-465 Fairbanks No. 2,U.S. Senate,,REP,Registered Voters,1277
01-465 Fairbanks No. 2,U.S. Senate,,REP,Times Counted,55
01-465 Fairbanks No. 2,U.S. Senate,,REP,Sullivan Dan - R,52
01-465 Fairbanks No. 2,U.S. Senate,,AD,Registered Voters,1277
01-465 Fairbanks No. 2,U.S. Senate,,AD,Times Counted,55
01-465 Fairbanks No. 2,U.S. Senate,,AD,Blatchford Edgar - D,4
01-465 Fairbanks No. 2,U.S. Senate,,AD,Cumings Chris C. - N,8
01-465 Fairbanks No. 2,U.S. Senate,,AD,Gross Al - N,40
01-465 Fairbanks No. 2,U.S. Senate,,AD,Howe John Wayne - A,3
01-465 Fairbanks No. 2,U.S. House,1,REP,Registered Voters,1277
01-465 Fairbanks No. 2,U.S. House,1,REP,Times Counted,55
01-465 Fairbanks No. 2,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",3
01-465 Fairbanks No. 2,U.S. House,1,REP,"Nelson T. John"" - R""",12
01-465 Fairbanks No. 2,U.S. House,1,REP,Young Don - R,37
01-465 Fairbanks No. 2,U.S. House,1,AD,Registered Voters,1277
01-465 Fairbanks No. 2,U.S. House,1,AD,Times Counted,55
01-465 Fairbanks No. 2,U.S. House,1,AD,Galvin Alyse S. - N,43
01-465 Fairbanks No. 2,U.S. House,1,AD,"Hibler William Bill"" - D""",2
01-465 Fairbanks No. 2,U.S. House,1,AD,Tugatuk Ray Sean - D,10
01-465 Fairbanks No. 2,State House,1,REP,Registered Voters,1277
01-465 Fairbanks No. 2,State House,1,REP,Times Counted,55
01-465 Fairbanks No. 2,State House,1,REP,"Lebon Barton S. Bart"" - R""",49
01-465 Fairbanks No. 2,State House,1,AD,Registered Voters,1277
01-465 Fairbanks No. 2,State House,1,AD,Times Counted,55
01-465 Fairbanks No. 2,State House,1,AD,Colbert Bennie D. - D,23
01-465 Fairbanks No. 2,State House,1,AD,Quist Christopher - D,31
01-470 Fairbanks No. 3,U.S. Senate,,REP,Registered Voters,1539
01-470 Fairbanks No. 3,U.S. Senate,,REP,Times Counted,98
01-470 Fairbanks No. 3,U.S. Senate,,REP,Sullivan Dan - R,92
01-470 Fairbanks No. 3,U.S. Senate,,AD,Registered Voters,1539
01-470 Fairbanks No. 3,U.S. Senate,,AD,Times Counted,116
01-470 Fairbanks No. 3,U.S. Senate,,AD,Blatchford Edgar - D,6
01-470 Fairbanks No. 3,U.S. Senate,,AD,Cumings Chris C. - N,9
01-470 Fairbanks No. 3,U.S. Senate,,AD,Gross Al - N,93
01-470 Fairbanks No. 3,U.S. Senate,,AD,Howe John Wayne - A,5
01-470 Fairbanks No. 3,U.S. House,1,REP,Registered Voters,1539
01-470 Fairbanks No. 3,U.S. House,1,REP,Times Counted,98
01-470 Fairbanks No. 3,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",7
01-470 Fairbanks No. 3,U.S. House,1,REP,"Nelson T. John"" - R""",13
01-470 Fairbanks No. 3,U.S. House,1,REP,Young Don - R,77
01-470 Fairbanks No. 3,U.S. House,1,AD,Registered Voters,1539
01-470 Fairbanks No. 3,U.S. House,1,AD,Times Counted,116
01-470 Fairbanks No. 3,U.S. House,1,AD,Galvin Alyse S. - N,90
01-470 Fairbanks No. 3,U.S. House,1,AD,"Hibler William Bill"" - D""",21
01-470 Fairbanks No. 3,U.S. House,1,AD,Tugatuk Ray Sean - D,2
01-470 Fairbanks No. 3,State House,1,REP,Registered Voters,1539
01-470 Fairbanks No. 3,State House,1,REP,Times Counted,98
01-470 Fairbanks No. 3,State House,1,REP,"Lebon Barton S. Bart"" - R""",90
01-470 Fairbanks No. 3,State House,1,AD,Registered Voters,1539
01-470 Fairbanks No. 3,State House,1,AD,Times Counted,116
01-470 Fairbanks No. 3,State House,1,AD,Colbert Bennie D. - D,50
01-470 Fairbanks No. 3,State House,1,AD,Quist Christopher - D,62
01-475 Fairbanks No. 4,U.S. Senate,,REP,Registered Voters,818
01-475 Fairbanks No. 4,U.S. Senate,,REP,Times Counted,44
01-475 Fairbanks No. 4,U.S. Senate,,REP,Sullivan Dan - R,43
01-475 Fairbanks No. 4,U.S. Senate,,AD,Registered Voters,818
01-475 Fairbanks No. 4,U.S. Senate,,AD,Times Counted,72
01-475 Fairbanks No. 4,U.S. Senate,,AD,Blatchford Edgar - D,10
01-475 Fairbanks No. 4,U.S. Senate,,AD,Cumings Chris C. - N,5
01-475 Fairbanks No. 4,U.S. Senate,,AD,Gross Al - N,51
01-475 Fairbanks No. 4,U.S. Senate,,AD,Howe John Wayne - A,5
01-475 Fairbanks No. 4,U.S. House,1,REP,Registered Voters,818
01-475 Fairbanks No. 4,U.S. House,1,REP,Times Counted,44
01-475 Fairbanks No. 4,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",4
01-475 Fairbanks No. 4,U.S. House,1,REP,"Nelson T. John"" - R""",10
01-475 Fairbanks No. 4,U.S. House,1,REP,Young Don - R,28
01-475 Fairbanks No. 4,U.S. House,1,AD,Registered Voters,818
01-475 Fairbanks No. 4,U.S. House,1,AD,Times Counted,72
01-475 Fairbanks No. 4,U.S. House,1,AD,Galvin Alyse S. - N,56
01-475 Fairbanks No. 4,U.S. House,1,AD,"Hibler William Bill"" - D""",8
01-475 Fairbanks No. 4,U.S. House,1,AD,Tugatuk Ray Sean - D,6
01-475 Fairbanks No. 4,State House,1,REP,Registered Voters,818
01-475 Fairbanks No. 4,State House,1,REP,Times Counted,44
01-475 Fairbanks No. 4,State House,1,REP,"Lebon Barton S. Bart"" - R""",41
01-475 Fairbanks No. 4,State House,1,AD,Registered Voters,818
01-475 Fairbanks No. 4,State House,1,AD,Times Counted,72
01-475 Fairbanks No. 4,State House,1,AD,Colbert Bennie D. - D,30
01-475 Fairbanks No. 4,State House,1,AD,Quist Christopher - D,40
01-480 Fairbanks No. 5,U.S. Senate,,REP,Registered Voters,2234
01-480 Fairbanks No. 5,U.S. Senate,,REP,Times Counted,166
01-480 Fairbanks No. 5,U.S. Senate,,REP,Sullivan Dan - R,163
01-480 Fairbanks No. 5,U.S. Senate,,AD,Registered Voters,2234
01-480 Fairbanks No. 5,U.S. Senate,,AD,Times Counted,144
01-480 Fairbanks No. 5,U.S. Senate,,AD,Blatchford Edgar - D,16
01-480 Fairbanks No. 5,U.S. Senate,,AD,Cumings Chris C. - N,8
01-480 Fairbanks No. 5,U.S. Senate,,AD,Gross Al - N,106
01-480 Fairbanks No. 5,U.S. Senate,,AD,Howe John Wayne - A,12
01-480 Fairbanks No. 5,U.S. House,1,REP,Registered Voters,2234
01-480 Fairbanks No. 5,U.S. House,1,REP,Times Counted,166
01-480 Fairbanks No. 5,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",6
01-480 Fairbanks No. 5,U.S. House,1,REP,"Nelson T. John"" - R""",16
01-480 Fairbanks No. 5,U.S. House,1,REP,Young Don - R,141
01-480 Fairbanks No. 5,U.S. House,1,AD,Registered Voters,2234
01-480 Fairbanks No. 5,U.S. House,1,AD,Times Counted,144
01-480 Fairbanks No. 5,U.S. House,1,AD,Galvin Alyse S. - N,119
01-480 Fairbanks No. 5,U.S. House,1,AD,"Hibler William Bill"" - D""",12
01-480 Fairbanks No. 5,U.S. House,1,AD,Tugatuk Ray Sean - D,10
01-480 Fairbanks No. 5,State House,1,REP,Registered Voters,2234
01-480 Fairbanks No. 5,State House,1,REP,Times Counted,166
01-480 Fairbanks No. 5,State House,1,REP,"Lebon Barton S. Bart"" - R""",159
01-480 Fairbanks No. 5,State House,1,AD,Registered Voters,2234
01-480 Fairbanks No. 5,State House,1,AD,Times Counted,144
01-480 Fairbanks No. 5,State House,1,AD,Colbert Bennie D. - D,90
01-480 Fairbanks No. 5,State House,1,AD,Quist Christopher - D,48
01-485 Fairbanks No. 6,U.S. Senate,,REP,Registered Voters,1610
01-485 Fairbanks No. 6,U.S. Senate,,REP,Times Counted,65
01-485 Fairbanks No. 6,U.S. Senate,,REP,Sullivan Dan - R,62
01-485 Fairbanks No. 6,U.S. Senate,,AD,Registered Voters,1610
01-485 Fairbanks No. 6,U.S. Senate,,AD,Times Counted,50
01-485 Fairbanks No. 6,U.S. Senate,,AD,Blatchford Edgar - D,11
01-485 Fairbanks No. 6,U.S. Senate,,AD,Cumings Chris C. - N,2
01-485 Fairbanks No. 6,U.S. Senate,,AD,Gross Al - N,31
01-485 Fairbanks No. 6,U.S. Senate,,AD,Howe John Wayne - A,4
01-485 Fairbanks No. 6,U.S. House,1,REP,Registered Voters,1610
01-485 Fairbanks No. 6,U.S. House,1,REP,Times Counted,65
01-485 Fairbanks No. 6,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",5
01-485 Fairbanks No. 6,U.S. House,1,REP,"Nelson T. John"" - R""",12
01-485 Fairbanks No. 6,U.S. House,1,REP,Young Don - R,47
01-485 Fairbanks No. 6,U.S. House,1,AD,Registered Voters,1610
01-485 Fairbanks No. 6,U.S. House,1,AD,Times Counted,50
01-485 Fairbanks No. 6,U.S. House,1,AD,Galvin Alyse S. - N,40
01-485 Fairbanks No. 6,U.S. House,1,AD,"Hibler William Bill"" - D""",3
01-485 Fairbanks No. 6,U.S. House,1,AD,Tugatuk Ray Sean - D,5
01-485 Fairbanks No. 6,State House,1,REP,Registered Voters,1610
01-485 Fairbanks No. 6,State House,1,REP,Times Counted,65
01-485 Fairbanks No. 6,State House,1,REP,"Lebon Barton S. Bart"" - R""",61
01-485 Fairbanks No. 6,State House,1,AD,Registered Voters,1610
01-485 Fairbanks No. 6,State House,1,AD,Times Counted,50
01-485 Fairbanks No. 6,State House,1,AD,Colbert Bennie D. - D,23
01-485 Fairbanks No. 6,State House,1,AD,Quist Christopher - D,26
01-490 Fairbanks No. 7,U.S. Senate,,REP,Registered Voters,2041
01-490 Fairbanks No. 7,U.S. Senate,,REP,Times Counted,101
01-490 Fairbanks No. 7,U.S. Senate,,REP,Sullivan Dan - R,100
01-490 Fairbanks No. 7,U.S. Senate,,AD,Registered Voters,2041
01-490 Fairbanks No. 7,U.S. Senate,,AD,Times Counted,72
01-490 Fairbanks No. 7,U.S. Senate,,AD,Blatchford Edgar - D,11
01-490 Fairbanks No. 7,U.S. Senate,,AD,Cumings Chris C. - N,5
01-490 Fairbanks No. 7,U.S. Senate,,AD,Gross Al - N,51
01-490 Fairbanks No. 7,U.S. Senate,,AD,Howe John Wayne - A,5
01-490 Fairbanks No. 7,U.S. House,1,REP,Registered Voters,2041
01-490 Fairbanks No. 7,U.S. House,1,REP,Times Counted,101
01-490 Fairbanks No. 7,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",6
01-490 Fairbanks No. 7,U.S. House,1,REP,"Nelson T. John"" - R""",28
01-490 Fairbanks No. 7,U.S. House,1,REP,Young Don - R,61
01-490 Fairbanks No. 7,U.S. House,1,AD,Registered Voters,2041
01-490 Fairbanks No. 7,U.S. House,1,AD,Times Counted,72
01-490 Fairbanks No. 7,U.S. House,1,AD,Galvin Alyse S. - N,49
01-490 Fairbanks No. 7,U.S. House,1,AD,"Hibler William Bill"" - D""",11
01-490 Fairbanks No. 7,U.S. House,1,AD,Tugatuk Ray Sean - D,11
01-490 Fairbanks No. 7,State House,1,REP,Registered Voters,2041
01-490 Fairbanks No. 7,State House,1,REP,Times Counted,101
01-490 Fairbanks No. 7,State House,1,REP,"Lebon Barton S. Bart"" - R""",89
01-490 Fairbanks No. 7,State House,1,AD,Registered Voters,2041
01-490 Fairbanks No. 7,State House,1,AD,Times Counted,72
01-490 Fairbanks No. 7,State House,1,AD,Colbert Bennie D. - D,41
01-490 Fairbanks No. 7,State House,1,AD,Quist Christopher - D,31
01-495 Fairbanks No. 10,U.S. Senate,,REP,Registered Voters,888
01-495 Fairbanks No. 10,U.S. Senate,,REP,Times Counted,54
01-495 Fairbanks No. 10,U.S. Senate,,REP,Sullivan Dan - R,50
01-495 Fairbanks No. 10,U.S. Senate,,AD,Registered Voters,888
01-495 Fairbanks No. 10,U.S. Senate,,AD,Times Counted,29
01-495 Fairbanks No. 10,U.S. Senate,,AD,Blatchford Edgar - D,1
01-495 Fairbanks No. 10,U.S. Senate,,AD,Cumings Chris C. - N,5
01-495 Fairbanks No. 10,U.S. Senate,,AD,Gross Al - N,22
01-495 Fairbanks No. 10,U.S. Senate,,AD,Howe John Wayne - A,1
01-495 Fairbanks No. 10,U.S. House,1,REP,Registered Voters,888
01-495 Fairbanks No. 10,U.S. House,1,REP,Times Counted,54
01-495 Fairbanks No. 10,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",7
01-495 Fairbanks No. 10,U.S. House,1,REP,"Nelson T. John"" - R""",8
01-495 Fairbanks No. 10,U.S. House,1,REP,Young Don - R,38
01-495 Fairbanks No. 10,U.S. House,1,AD,Registered Voters,888
01-495 Fairbanks No. 10,U.S. House,1,AD,Times Counted,29
01-495 Fairbanks No. 10,U.S. House,1,AD,Galvin Alyse S. - N,25
01-495 Fairbanks No. 10,U.S. House,1,AD,"Hibler William Bill"" - D""",1
01-495 Fairbanks No. 10,U.S. House,1,AD,Tugatuk Ray Sean - D,3
01-495 Fairbanks No. 10,State House,1,REP,Registered Voters,888
01-495 Fairbanks No. 10,State House,1,REP,Times Counted,54
01-495 Fairbanks No. 10,State House,1,REP,"Lebon Barton S. Bart"" - R""",47
01-495 Fairbanks No. 10,State House,1,AD,Registered Voters,888
01-495 Fairbanks No. 10,State House,1,AD,Times Counted,29
01-495 Fairbanks No. 10,State House,1,AD,Colbert Bennie D. - D,15
01-495 Fairbanks No. 10,State House,1,AD,Quist Christopher - D,13
02-345 Badger No. 2,U.S. Senate,,REP,Registered Voters,3223
02-345 Badger No. 2,U.S. Senate,,REP,Times Counted,324
02-345 Badger No. 2,U.S. Senate,,REP,Sullivan Dan - R,305
02-345 Badger No. 2,U.S. Senate,,AD,Registered Voters,3223
02-345 Badger No. 2,U.S. Senate,,AD,Times Counted,110
02-345 Badger No. 2,U.S. Senate,,AD,Blatchford Edgar - D,6
02-345 Badger No. 2,U.S. Senate,,AD,Cumings Chris C. - N,9
02-345 Badger No. 2,U.S. Senate,,AD,Gross Al - N,81
02-345 Badger No. 2,U.S. Senate,,AD,Howe John Wayne - A,12
02-345 Badger No. 2,U.S. House,1,REP,Registered Voters,3223
02-345 Badger No. 2,U.S. House,1,REP,Times Counted,324
02-345 Badger No. 2,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",18
02-345 Badger No. 2,U.S. House,1,REP,"Nelson T. John"" - R""",63
02-345 Badger No. 2,U.S. House,1,REP,Young Don - R,236
02-345 Badger No. 2,U.S. House,1,AD,Registered Voters,3223
02-345 Badger No. 2,U.S. House,1,AD,Times Counted,110
02-345 Badger No. 2,U.S. House,1,AD,Galvin Alyse S. - N,84
02-345 Badger No. 2,U.S. House,1,AD,"Hibler William Bill"" - D""",14
02-345 Badger No. 2,U.S. House,1,AD,Tugatuk Ray Sean - D,7
02-345 Badger No. 2,State House,2,REP,Registered Voters,3223
02-345 Badger No. 2,State House,2,REP,Times Counted,324
02-345 Badger No. 2,State House,2,REP,Selle Dave - R,151
02-345 Badger No. 2,State House,2,REP,Thompson Steve M. - R,165
02-345 Badger No. 2,State House,2,AD,Registered Voters,3223
02-345 Badger No. 2,State House,2,AD,Times Counted,110
02-345 Badger No. 2,State House,2,AD,Youmans Jeremiah A. - D,93
02-355 Fairbanks No. 8,U.S. Senate,,REP,Registered Voters,2116
02-355 Fairbanks No. 8,U.S. Senate,,REP,Times Counted,150
02-355 Fairbanks No. 8,U.S. Senate,,REP,Sullivan Dan - R,147
02-355 Fairbanks No. 8,U.S. Senate,,AD,Registered Voters,2116
02-355 Fairbanks No. 8,U.S. Senate,,AD,Times Counted,114
02-355 Fairbanks No. 8,U.S. Senate,,AD,Blatchford Edgar - D,12
02-355 Fairbanks No. 8,U.S. Senate,,AD,Cumings Chris C. - N,6
02-355 Fairbanks No. 8,U.S. Senate,,AD,Gross Al - N,85
02-355 Fairbanks No. 8,U.S. Senate,,AD,Howe John Wayne - A,10
02-355 Fairbanks No. 8,U.S. House,1,REP,Registered Voters,2116
02-355 Fairbanks No. 8,U.S. House,1,REP,Times Counted,150
02-355 Fairbanks No. 8,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",10
02-355 Fairbanks No. 8,U.S. House,1,REP,"Nelson T. John"" - R""",31
02-355 Fairbanks No. 8,U.S. House,1,REP,Young Don - R,107
02-355 Fairbanks No. 8,U.S. House,1,AD,Registered Voters,2116
02-355 Fairbanks No. 8,U.S. House,1,AD,Times Counted,114
02-355 Fairbanks No. 8,U.S. House,1,AD,Galvin Alyse S. - N,94
02-355 Fairbanks No. 8,U.S. House,1,AD,"Hibler William Bill"" - D""",7
02-355 Fairbanks No. 8,U.S. House,1,AD,Tugatuk Ray Sean - D,10
02-355 Fairbanks No. 8,State House,2,REP,Registered Voters,2116
02-355 Fairbanks No. 8,State House,2,REP,Times Counted,150
02-355 Fairbanks No. 8,State House,2,REP,Selle Dave - R,77
02-355 Fairbanks No. 8,State House,2,REP,Thompson Steve M. - R,73
02-355 Fairbanks No. 8,State House,2,AD,Registered Voters,2116
02-355 Fairbanks No. 8,State House,2,AD,Times Counted,114
02-355 Fairbanks No. 8,State House,2,AD,Youmans Jeremiah A. - D,94
02-365 Fairbanks No. 9,U.S. Senate,,REP,Registered Voters,3207
02-365 Fairbanks No. 9,U.S. Senate,,REP,Times Counted,190
02-365 Fairbanks No. 9,U.S. Senate,,REP,Sullivan Dan - R,182
02-365 Fairbanks No. 9,U.S. Senate,,AD,Registered Voters,3207
02-365 Fairbanks No. 9,U.S. Senate,,AD,Times Counted,111
02-365 Fairbanks No. 9,U.S. Senate,,AD,Blatchford Edgar - D,8
02-365 Fairbanks No. 9,U.S. Senate,,AD,Cumings Chris C. - N,7
02-365 Fairbanks No. 9,U.S. Senate,,AD,Gross Al - N,77
02-365 Fairbanks No. 9,U.S. Senate,,AD,Howe John Wayne - A,16
02-365 Fairbanks No. 9,U.S. House,1,REP,Registered Voters,3207
02-365 Fairbanks No. 9,U.S. House,1,REP,Times Counted,190
02-365 Fairbanks No. 9,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",11
02-365 Fairbanks No. 9,U.S. House,1,REP,"Nelson T. John"" - R""",45
02-365 Fairbanks No. 9,U.S. House,1,REP,Young Don - R,132
02-365 Fairbanks No. 9,U.S. House,1,AD,Registered Voters,3207
02-365 Fairbanks No. 9,U.S. House,1,AD,Times Counted,111
02-365 Fairbanks No. 9,U.S. House,1,AD,Galvin Alyse S. - N,91
02-365 Fairbanks No. 9,U.S. House,1,AD,"Hibler William Bill"" - D""",9
02-365 Fairbanks No. 9,U.S. House,1,AD,Tugatuk Ray Sean - D,7
02-365 Fairbanks No. 9,State House,2,REP,Registered Voters,3207
02-365 Fairbanks No. 9,State House,2,REP,Times Counted,190
02-365 Fairbanks No. 9,State House,2,REP,Selle Dave - R,90
02-365 Fairbanks No. 9,State House,2,REP,Thompson Steve M. - R,99
02-365 Fairbanks No. 9,State House,2,AD,Registered Voters,3207
02-365 Fairbanks No. 9,State House,2,AD,Times Counted,111
02-365 Fairbanks No. 9,State House,2,AD,Youmans Jeremiah A. - D,94
02-375 Fort Wainwright,U.S. Senate,,REP,Registered Voters,3089
02-375 Fort Wainwright,U.S. Senate,,REP,Times Counted,11
02-375 Fort Wainwright,U.S. Senate,,REP,Sullivan Dan - R,11
02-375 Fort Wainwright,U.S. Senate,,AD,Registered Voters,3089
02-375 Fort Wainwright,U.S. Senate,,AD,Times Counted,3
02-375 Fort Wainwright,U.S. Senate,,AD,Blatchford Edgar - D,0
02-375 Fort Wainwright,U.S. Senate,,AD,Cumings Chris C. - N,1
02-375 Fort Wainwright,U.S. Senate,,AD,Gross Al - N,2
02-375 Fort Wainwright,U.S. Senate,,AD,Howe John Wayne - A,0
02-375 Fort Wainwright,U.S. House,1,REP,Registered Voters,3089
02-375 Fort Wainwright,U.S. House,1,REP,Times Counted,11
02-375 Fort Wainwright,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",0
02-375 Fort Wainwright,U.S. House,1,REP,"Nelson T. John"" - R""",4
02-375 Fort Wainwright,U.S. House,1,REP,Young Don - R,7
02-375 Fort Wainwright,U.S. House,1,AD,Registered Voters,3089
02-375 Fort Wainwright,U.S. House,1,AD,Times Counted,3
02-375 Fort Wainwright,U.S. House,1,AD,Galvin Alyse S. - N,2
02-375 Fort Wainwright,U.S. House,1,AD,"Hibler William Bill"" - D""",0
02-375 Fort Wainwright,U.S. House,1,AD,Tugatuk Ray Sean - D,1
02-375 Fort Wainwright,State House,2,REP,Registered Voters,3089
02-375 Fort Wainwright,State House,2,REP,Times Counted,11
02-375 Fort Wainwright,State House,2,REP,Selle Dave - R,7
02-375 Fort Wainwright,State House,2,REP,Thompson Steve M. - R,4
02-375 Fort Wainwright,State House,2,AD,Registered Voters,3089
02-375 Fort Wainwright,State House,2,AD,Times Counted,3
02-375 Fort Wainwright,State House,2,AD,Youmans Jeremiah A. - D,3
03-130 Badger No. 1,U.S. Senate,,REP,Registered Voters,3467
03-130 Badger No. 1,U.S. Senate,,REP,Times Counted,289
03-130 Badger No. 1,U.S. Senate,,REP,Sullivan Dan - R,278
03-130 Badger No. 1,U.S. Senate,,AD,Registered Voters,3467
03-130 Badger No. 1,U.S. Senate,,AD,Times Counted,91
03-130 Badger No. 1,U.S. Senate,,AD,Blatchford Edgar - D,8
03-130 Badger No. 1,U.S. Senate,,AD,Cumings Chris C. - N,9
03-130 Badger No. 1,U.S. Senate,,AD,Gross Al - N,61
03-130 Badger No. 1,U.S. Senate,,AD,Howe John Wayne - A,12
03-130 Badger No. 1,U.S. House,1,REP,Registered Voters,3467
03-130 Badger No. 1,U.S. House,1,REP,Times Counted,289
03-130 Badger No. 1,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",16
03-130 Badger No. 1,U.S. House,1,REP,"Nelson T. John"" - R""",63
03-130 Badger No. 1,U.S. House,1,REP,Young Don - R,206
03-130 Badger No. 1,U.S. House,1,AD,Registered Voters,3467
03-130 Badger No. 1,U.S. House,1,AD,Times Counted,91
03-130 Badger No. 1,U.S. House,1,AD,Galvin Alyse S. - N,75
03-130 Badger No. 1,U.S. House,1,AD,"Hibler William Bill"" - D""",5
03-130 Badger No. 1,U.S. House,1,AD,Tugatuk Ray Sean - D,8
03-130 Badger No. 1,State Senate,B,REP,Registered Voters,3467
03-130 Badger No. 1,State Senate,B,REP,Times Counted,289
03-130 Badger No. 1,State Senate,B,REP,Coghill John B. Jr. - R,142
03-130 Badger No. 1,State Senate,B,REP,Myers Robert H. Jr. - R,147
03-130 Badger No. 1,State House,3,REP,Registered Voters,3467
03-130 Badger No. 1,State House,3,REP,Times Counted,289
03-130 Badger No. 1,State House,3,REP,"Prax Glenn M. Mike"" - R""",269
03-135 Chena Lakes,U.S. Senate,,REP,Registered Voters,2886
03-135 Chena Lakes,U.S. Senate,,REP,Times Counted,364
03-135 Chena Lakes,U.S. Senate,,REP,Sullivan Dan - R,347
03-135 Chena Lakes,U.S. Senate,,AD,Registered Voters,2886
03-135 Chena Lakes,U.S. Senate,,AD,Times Counted,87
03-135 Chena Lakes,U.S. Senate,,AD,Blatchford Edgar - D,6
03-135 Chena Lakes,U.S. Senate,,AD,Cumings Chris C. - N,5
03-135 Chena Lakes,U.S. Senate,,AD,Gross Al - N,56
03-135 Chena Lakes,U.S. Senate,,AD,Howe John Wayne - A,18
03-135 Chena Lakes,U.S. House,1,REP,Registered Voters,2886
03-135 Chena Lakes,U.S. House,1,REP,Times Counted,364
03-135 Chena Lakes,U.S. House,1,REP,"Heikes Gerald L. Jer"" - R""",25
03-135 Chena Lakes,U.S. House,1,REP,"Nelson T. John"" - R""",83
03-135 Chena Lakes,U.S. House,1,REP,Young Don - R,253
03-135 Chena Lakes,U.S. House,1,AD,Registered Voters,2886
03-135 Chena Lakes,U.S. House,1,AD,Times Counted,87
03-135 Chena Lakes,U.S. House,1,AD,Galvin Alyse S. - N,62
